问题发生时间,平台名称,所在地区,上线时间,出问题原因
2019-01-16,一点成圆,浙江省杭州市,2015-08-20,警方介入
2019-01-16,鼠贷金融,上海市闸北区,2015-06-18,平台失联
2019-01-16,御龙e贷,广西壮族自治区柳州市,2015-12-28,暂停运营
2019-01-16,互存金融,浙江省杭州市,2016-01-28,平台失联
2019-01-16,开元信贷,江西省上饶市,2016-08-08,平台失联
2019-01-14,民民贷,浙江省温州市,2012-10-24,平台清盘
2019-01-11,贷款易,北京市东城区,2013-05-01,平台清盘
2019-01-11,觅银金服,北京市朝阳区,2018-02-24,平台失联
2019-01-11,鱼米金服,上海市黄浦区,--,暂停运营
2019-01-11,云联牧场,北京市东城区,2014-12-31,平台展期
2019-01-11,投这家,浙江省杭州市,2015-07-28,暂停运营
2019-01-11,优存网,山东省青岛市,2015-11-01,平台失联
2019-01-11,宜定投,北京市东城区,2015-08-08,平台清盘
2019-01-11,同乐宝,四川省成都市,2015-05-18,暂停运营
2019-01-07,铂恒金服,浙江省杭州市,2016-12-07,警方介入
2019-01-03,苏中贷,江苏省扬州市,2014-03-11,平台清盘
2019-01-02,国融贷,浙江省台州市,2017-02-13,平台失联
2019-01-02,公众理财,浙江省舟山市,2016-12-07,平台失联
2019-01-02,浙江车邦贷,浙江省杭州市,2015-05-04,平台清盘
2019-01-02,浙江车贷网,浙江省杭州市,2014-02-27,平台清盘
2019-01-02,益投网贷,广东省深圳市,2014-01-10,平台清盘
2018-12-29,宜贷网,上海市嘉定区,2014-01-01,平台清盘
2018-12-28,青蓝金服,浙江省温州市,2016-08-01,平台清盘
2018-12-27,润阳贷,江苏省扬州市,2016-08-05,平台清盘
2018-12-26,丰丰金融,湖南省株洲市,2018-01-09,暂停运营
2018-12-24,123便利贷,上海市浦东新区,2014-09-09,平台清盘
2018-12-24,金多子,浙江省杭州市,2017-12-05,平台失联
2018-12-24,瑞泽会,江苏省南京市,2017-06-11,平台失联
2018-12-24,皖都金融,安徽省合肥市,2013-08-18,暂停运营
2018-12-21,阀门贷,上海市杨浦区,--,平台失联
2018-12-21,融烨金融,云南省昆明市,--,暂停运营
2018-12-21,易袋富,广东省深圳市,2018-03-01,暂停运营
2018-12-21,观鑫网,浙江省杭州市,2018-05-28,暂停运营
2018-12-21,铂宁贷,广西壮族自治区南宁市,2017-11-30,平台失联
2018-12-21,阳光黔贷,贵州省贵阳市,2015-11-27,平台清盘
2018-12-20,富仕生财富,辽宁省大连市,--,平台失联
2018-12-20,金联贷,浙江省杭州市,2014-03-18,暂停运营
2018-12-20,赢众投,北京市东城区,2016-01-20,暂停运营
2018-12-20,7号管家,浙江省宁波市,2017-01-17,平台清盘
2018-12-20,益农金服,浙江省杭州市,2016-09-05,平台清盘
2018-12-20,佑昌财富,浙江省杭州市,--,平台失联
2018-12-20,互金贷,上海市卢湾区,--,平台清盘
2018-12-20,爱投吧,湖北省武汉市,--,平台失联
2018-12-20,贤贵金融,上海市金山区,--,暂停运营
2018-12-20,哲朴金所,上海市金山区,--,暂停运营
2018-12-20,小米富,天津市塘沽区,--,平台失联
2018-12-19,金竹金服,浙江省杭州市,2018-07-09,平台失联
2018-12-19,恒信财富,浙江省杭州市,--,平台失联
2018-12-19,前海大众金融,广东省深圳市,2015-02-02,平台失联
2018-12-19,白鹿贷,福建省南平市,--,平台失联
2018-12-19,慧晟金服,浙江省杭州市,--,平台失联
2018-12-19,融乐贷,浙江省杭州市,--,平台清盘
2018-12-19,寓安金服,浙江省宁波市,2018-05-22,暂停运营
2018-12-19,财米薪,浙江省杭州市,2018-07-23,提现困难
2018-12-19,唯吾财富,浙江省宁波市,2018-01-15,平台失联
2018-12-19,派财网,上海市黄浦区,2015-04-19,平台失联
2018-12-18,好利网,上海市杨浦区,2014-09-15,警方介入
2018-12-17,皓月金服,山东省青岛市,2017-09-17,平台失联
2018-12-11,茂业财富,江苏省南京市,--,平台失联
2018-12-11,寻贷网,浙江省金华市,2014-08-21,平台清盘
2018-12-11,咕咕理财,浙江省杭州市,2017-09-15,暂停运营
2018-12-11,金猪理财,浙江省杭州市,2017-09-01,平台清盘
2018-12-11,慧之桥财富,江苏省南通市,2018-08-16,平台失联
2018-12-11,达圆投资,浙江省杭州市,--,平台失联
2018-12-11,恒隆投资,浙江省宁波市,--,平台失联
2018-12-11,沃和金融,浙江省温州市,2018-05-09,平台失联
2018-12-11,赵云理财,浙江省杭州市,--,平台失联
2018-12-11,铜板匠,浙江省杭州市,--,平台清盘
2018-12-11,投钱侠,浙江省杭州市,--,暂停运营
2018-12-11,绿盈金服,浙江省杭州市,--,暂停运营
2018-12-11,祥益金服,浙江省杭州市,--,平台展期
2018-12-10,云回通宝,浙江省宁波市,2015-08-03,警方介入
2018-12-10,宏财网,北京市东城区,2014-12-15,提现困难
2018-12-10,宜投通,湖南省长沙市,2014-03-26,平台清盘
2018-12-10,乐金所,安徽省合肥市,2015-04-28,提现困难
2018-12-10,外滩云财富,上海市黄浦区,2015-06-24,暂停运营
2018-12-10,御坤财富,浙江省丽水市,2017-08-23,警方介入
2018-12-10,摇旺理财,上海市浦东新区,2014-01-28,平台失联
2018-12-10,鲸明理财,浙江省杭州市,2018-04-28,平台失联
2018-12-10,亚泰普惠,湖北省武汉市,2016-09-20,平台失联
2018-12-10,资越投资,上海市宝山区,2017-11-15,平台失联
2018-12-07,乐贷网,湖北省武汉市,2014-11-18,平台清盘
2018-12-06,融金交易,云南省昆明市,2014-11-15,平台失联
2018-12-06,银点财富,河北省石家庄市,2014-11-11,平台失联
2018-12-06,保金所,上海市黄浦区,2014-11-12,暂停运营
2018-12-06,恒昇贷,陕西省西安市,2015-09-06,平台失联
2018-12-05,见大金服,浙江省杭州市,--,平台清盘
2018-12-05,源金所,浙江省温州市,2015-05-04,警方介入
2018-12-04,前金所,广东省深圳市,2013-12-03,警方介入
2018-12-02,慧米财富,浙江省杭州市,2018-03-26,平台清盘
2018-12-02,米宝理财,吉林省长春市,2015-08-01,暂停运营
2018-11-30,牛人街,浙江省杭州市,2016-07-01,暂停运营
2018-11-28,小胖理财,浙江省杭州市,2018-04-19,平台清盘
2018-11-28,银承猫,北京市东城区,2015-06-26,平台清盘
2018-11-27,泊洋金融,浙江省杭州市,2018-03-01,平台清盘
2018-11-24,温易贷,浙江省温州市,2014-10-26,平台清盘
2018-11-24,赢发金服,上海市松江区,2017-08-10,平台展期
2018-11-23,网易理财,浙江省杭州市,2015-05-06,暂停运营
2018-11-22,互助贷,山东省青岛市,2014-08-06,平台清盘
2018-11-20,顺心理财,浙江省杭州市,2017-08-03,警方介入
2018-11-19,寸芒金融,湖南省长沙市,2016-08-29,平台清盘
2018-11-19,余易贷,湖南省长沙市,2014-10-19,平台清盘
2018-11-19,招商贷,贵州省贵阳市,2013-06-28,提现困难
2018-11-18,金满赢,浙江省丽水市,2017-12-13,警方介入
2018-11-16,板凳理财,上海市静安区,2016-07-28,平台清盘
2018-11-16,锐银理财,浙江省杭州市,2018-05-01,提现困难
2018-11-15,今金贷,甘肃省兰州市,2015-05-16,警方介入
2018-11-15,大时贷,广东省深圳市,2014-06-16,警方介入
2018-11-14,优聚投,北京市东城区,2014-12-24,平台失联
2018-11-14,儒商财富,山东省济南市,2013-11-11,平台失联
2018-11-14,生金所,山东省东营市,2013-05-05,平台失联
2018-11-14,贷信通,河北省石家庄市,2014-05-08,暂停运营
2018-11-14,玖融网,湖北省武汉市,2013-07-18,平台展期
2018-11-14,聚富蛙,浙江省杭州市,2017-07-01,警方介入
2018-11-14,小丰年,浙江省杭州市,2017-09-01,平台清盘
2018-11-12,贵人贷,浙江省杭州市,2015-10-27,平台清盘
2018-11-12,跃龙财富,上海市黄浦区,2015-01-07,暂停运营
2018-11-12,房众金融,广东省广州市,2015-10-01,暂停运营
2018-11-11,晴天助,浙江省杭州市,2016-07-28,平台清盘
2018-11-09,世纪金服,广东省深圳市,2014-07-21,暂停运营
2018-11-08,予财缘,浙江省杭州市,2016-04-29,平台清盘
2018-11-07,晋商贷,山西省太原市,2012-08-08,警方介入
2018-11-06,小行家金服,浙江省杭州市,2016-04-09,平台清盘
2018-11-05,理财去,浙江省杭州市,2015-09-01,警方介入
2018-11-05,现代众车在线,广东省深圳市,2016-03-26,警方介入
2018-11-05,东朗理财,浙江省杭州市,2018-02-01,平台清盘
2018-11-05,小满金服,辽宁省大连市,2016-07-15,平台清盘
2018-11-02,民富宝,浙江省台州市,2017-06-19,平台清盘
2018-10-30,有财气,浙江省台州市,2016-05-16,平台清盘
2018-10-29,坤泉理财,浙江省宁波市,2017-07-18,争议平台
2018-10-29,优宝汇,浙江省台州市,2016-10-02,平台失联
2018-10-29,新华金典,浙江省杭州市,2015-06-30,平台清盘
2018-10-26,超人贷,浙江省宁波市,2014-01-09,平台展期
2018-10-25,创银贷,四川省成都市,2017-12-29,平台失联
2018-10-25,91飞猫,浙江省宁波市,2017-08-01,警方介入
2018-10-22,投理想,北京市丰台区,2015-05-18,平台清盘
2018-10-22,53财服,浙江省宁波市,2016-04-18,警方介入
2018-10-22,助商金服,四川省成都市,2014-11-21,争议平台
2018-10-22,理想宝,广东省深圳市,2014-05-23,提现困难
2018-10-19,紫金聚宝,广东省深圳市,2016-09-25,暂停运营
2018-10-19,草根投资,浙江省杭州市,2014-03-03,警方介入
2018-10-19,汇泰在线,广西壮族自治区南宁市,2016-04-20,争议平台
2018-10-19,积财金融,浙江省杭州市,2016-05-30,平台清盘
2018-10-17,车e融,北京市海淀区,2015-08-01,争议平台
2018-10-16,网投网,广东省深圳市,2014-06-25,警方介入
2018-10-16,钱保姆,浙江省杭州市,2014-11-01,警方介入
2018-10-16,钱庄网,浙江省杭州市,2014-05-22,警方介入
2018-10-16,迷你贷,广东省深圳市,2013-11-16,警方介入
2018-10-15,浣熊理财,浙江省宁波市,2017-09-05,警方介入
2018-10-15,巴巴汇,辽宁省大连市,2015-07-06,平台清盘
2018-10-15,蜜蜂有钱,广东省深圳市,2015-10-25,警方介入
2018-10-15,富金利,广东省深圳市,2015-08-31,平台清盘
2018-10-14,羊宝宝,浙江省杭州市,2017-05-15,平台清盘
2018-10-12,微铭投资,上海市浦东新区,--,平台失联
2018-10-11,蜜蜂聚财,浙江省杭州市,2016-05-01,平台清盘
2018-10-09,718金融,北京市东城区,2016-02-02,暂停运营
2018-10-09,安心贷,北京市石景山区,2011-07-01,警方介入
2018-10-09,鼎信贷,浙江省温州市,2012-12-24,争议平台
2018-10-09,惠众金融,江西省赣州市,2013-03-20,暂停运营
2018-10-08,拍财富,上海市浦东新区,2015-10-16,平台清盘
2018-10-08,易投资,上海市浦东新区,2016-02-01,平台清盘
2018-10-08,央金所,浙江省杭州市,2016-06-15,平台清盘
2018-10-08,沃顿金服,海南省海口市,2017-08-21,平台清盘
2018-10-08,通通理财,浙江省杭州市,2016-04-10,平台清盘
2018-10-03,合拍在线,广东省深圳市,2012-06-08,警方介入
2018-10-01,乐钱宝,浙江省杭州市,2016-05-27,平台失联
2018-10-01,皇金所,广东省广州市,2015-03-15,暂停运营
2018-09-30,一起好金融,湖北省武汉市,2012-09-28,平台展期
2018-09-30,毕投金服,浙江省杭州市,2018-02-01,暂停运营
2018-09-30,无忧微贷,广东省深圳市,2017-05-01,警方介入
2018-09-30,摇财树,广东省深圳市,2015-04-10,提现困难
2018-09-29,华夏万家,北京市朝阳区,--,警方介入
2018-09-29,金储宝,浙江省杭州市,2015-04-02,警方介入
2018-09-29,一贷添交,北京市东城区,2015-07-31,暂停运营
2018-09-29,壹宝贷,广东省广州市,2014-06-25,警方介入
2018-09-29,鄂汇金融,湖北省武汉市,2014-03-10,提现困难
2018-09-28,贷你盈,北京市房山区,2015-02-05,警方介入
2018-09-28,小猪罐子,广东省深圳市,2014-08-15,警方介入
2018-09-28,贷贷网,广东省广州市,2013-08-19,警方介入
2018-09-28,京圆柚理财,浙江省杭州市,2015-12-01,警方介入
2018-09-28,日融财富,浙江省宁波市,2015-04-20,警方介入
2018-09-28,巨元优财,浙江省宁波市,2016-06-06,警方介入
2018-09-28,青蚨资产,北京市东城区,2016-04-20,警方介入
2018-09-27,点贷诚金,北京市朝阳区,2016-11-15,平台失联
2018-09-27,白杨金融,浙江省杭州市,2017-05-08,平台清盘
2018-09-27,饭饭金服,浙江省嘉兴市,2016-05-18,警方介入
2018-09-27,惠金贷,上海市浦东新区,2015-10-10,平台清盘
2018-09-25,宝宝钱包,四川省成都市,--,争议平台
2018-09-25,易小钱,四川省成都市,2015-06-29,争议平台
2018-09-25,聚爱财,北京市西城区,2014-08-18,平台展期
2018-09-25,钱富通,广东省深圳市,2014-07-08,平台展期
2018-09-22,小零钱,广东省深圳市,2017-11-23,警方介入
2018-09-21,前金融,广东省深圳市,2017-07-10,警方介入
2018-09-21,鑫天下财富,广东省深圳市,2014-04-30,平台失联
2018-09-21,三益宝,北京市海淀区,2014-12-03,争议平台
2018-09-20,汇通易贷,广东省深圳市,2011-10-01,警方介入
2018-09-20,易汇人人,江苏省泰州市,2015-09-08,暂停运营
2018-09-19,钱多多,上海市浦东新区,2013-10-08,暂停运营
2018-09-19,八条鱼,天津市河西区,2014-10-01,警方介入
2018-09-18,风零度,广东省深圳市,2016-09-06,平台清盘
2018-09-18,量子金融,安徽省合肥市,2015-01-06,暂停运营
2018-09-18,智融会,广东省深圳市,2013-11-25,争议平台
2018-09-17,有融网,浙江省杭州市,2014-11-19,警方介入
2018-09-16,互融CLUB,上海市黄浦区,2015-02-14,争议平台
2018-09-14,悠米钱包,上海市浦东新区,2015-09-01,暂停运营
2018-09-14,椰子理财,广东省深圳市,2016-02-01,平台失联
2018-09-14,天玑汇富,广东省深圳市,2014-10-24,争议平台
2018-09-13,博安杰,浙江省宁波市,2017-07-31,警方介入
2018-09-13,中青金服,广东省广州市,2015-09-01,警方介入
2018-09-12,智佳金服,广东省深圳市,2016-04-20,警方介入
2018-09-12,浙商e贷,浙江省嘉兴市,2014-10-22,警方介入
2018-09-11,中融投,广东省深圳市,2014-12-19,警方介入
2018-09-11,爱当宝,北京市朝阳区,2015-03-10,平台清盘
2018-09-11,绿化贷,广东省深圳市,2015-04-29,警方介入
2018-09-10,微拍贷,上海市黄浦区,2015-07-01,暂停运营
2018-09-09,两只老虎,北京市朝阳区,2014-07-07,平台展期
2018-09-07,联金所,广东省深圳市,2013-11-01,争议平台
2018-09-06,余盆网,北京市朝阳区,2015-07-03,平台清盘
2018-09-06,掌指理财,浙江省台州市,2015-06-18,平台清盘
2018-09-06,得融在线,北京市东城区,2014-12-24,平台清盘
2018-09-05,宜聚网,广东省深圳市,2013-04-16,警方介入
2018-09-04,富民财富,上海市黄浦区,2016-08-08,暂停运营
2018-09-04,雨桥金融,浙江省杭州市,2017-10-12,平台清盘
2018-09-03,菠萝理财,北京市海淀区,2015-10-15,暂停运营
2018-09-03,多盈理财,上海市黄浦区,2014-08-07,平台清盘
2018-09-03,聚宝普惠,广东省深圳市,2017-11-02,争议平台
2018-09-03,口贷网,四川省成都市,2011-01-01,提现困难
2018-09-01,宜联易贷,山东省滨州市,2014-12-15,警方介入
2018-08-31,理财范,北京市平谷区,2014-03-14,争议平台
2018-08-31,稳贷网,广东省佛山市,2014-06-03,警方介入
2018-08-31,安捷财富,上海市黄浦区,2014-07-01,警方介入
2018-08-31,有利金服,北京市西城区,2015-08-12,警方介入
2018-08-31,鑫仁财富,浙江省杭州市,2018-01-26,暂停运营
2018-08-30,企商理财,浙江省杭州市,2017-06-16,平台清盘
2018-08-30,天盛财富,浙江省台州市,2016-02-25,警方介入
2018-08-30,蜂涌理财,上海市奉贤区,2015-08-28,提现困难
2018-08-30,中普金服,北京市东城区,2014-11-01,提现困难
2018-08-30,易通贷,北京市东城区,2013-02-01,平台展期
2018-08-29,金票通,江苏省南京市,2014-09-25,争议平台
2018-08-29,四季财富,浙江省杭州市,2017-04-12,暂停运营
2018-08-29,黔龙普信,贵州省贵阳市,2016-11-16,平台失联
2018-08-29,领先贷,上海市黄浦区,2015-07-26,暂停运营
2018-08-29,好车贷,安徽省合肥市,2014-01-01,警方介入
2018-08-29,新联在线,广东省广州市,2013-07-31,警方介入
2018-08-28,皖乾商贷,安徽省合肥市,2015-03-09,平台清盘
2018-08-28,万盈金融,广东省深圳市,2015-05-09,平台展期
2018-08-27,零钱包,北京市海淀区,2015-02-02,平台清盘
2018-08-26,平安理财网,北京市东城区,2014-09-19,争议平台
2018-08-25,好收益,北京市东城区,2014-04-23,平台展期
2018-08-24,掌盈金服,浙江省杭州市,2016-08-03,平台清盘
2018-08-24,新空间财富,安徽省马鞍山市,2015-12-01,平台清盘
2018-08-24,宝点网,四川省成都市,2012-08-06,平台展期
2018-08-24,小算盘,浙江省杭州市,2014-10-27,警方介入
2018-08-23,人众金服,浙江省杭州市,2013-04-27,平台展期
2018-08-23,58money,广东省深圳市,2015-06-08,平台失联
2018-08-23,左右逢园,北京市丰台区,2014-10-25,平台清盘
2018-08-22,惠信网,北京市朝阳区,2018-07-06,平台失联
2018-08-22,才米公社,上海市黄浦区,2014-04-02,警方介入
2018-08-22,小猪理财,江西省南昌市,2015-03-01,警方介入
2018-08-21,金大圣,浙江省杭州市,2017-11-10,警方介入
2018-08-20,E宠贷,浙江省宁波市,2017-11-22,平台失联
2018-08-20,来浙投,浙江省杭州市,2017-11-08,平台失联
2018-08-20,正道金服,浙江省杭州市,2016-11-15,争议平台
2018-08-20,惠财,浙江省杭州市,2016-07-25,争议平台
2018-08-18,我能理财,北京市朝阳区,--,提现困难
2018-08-17,索星金服,广东省深圳市,2017-08-01,平台展期
2018-08-17,87汇财,四川省成都市,2014-03-26,平台展期
2018-08-16,众源理财,浙江省杭州市,--,平台清盘
2018-08-16,车蚁金服,浙江省杭州市,--,警方介入
2018-08-16,多点金服,浙江省杭州市,2017-11-01,平台清盘
2018-08-16,念钱安,浙江省杭州市,2016-11-01,平台展期
2018-08-16,华融道,上海市黄浦区,2014-06-28,平台清盘
2018-08-15,钱包金融,福建省福州市,2017-09-01,平台展期
2018-08-15,聪明钱,浙江省杭州市,2017-03-20,提现困难
2018-08-15,旺隶轩金服,上海市虹口区,2016-05-25,争议平台
2018-08-15,财金圈,北京市东城区,2015-03-31,警方介入
2018-08-15,粤融贷,广东省肇庆市,2015-12-12,提现困难
2018-08-15,零用贷,上海市嘉定区,2015-04-20,平台展期
2018-08-15,金佳金融,上海市黄浦区,2015-08-08,平台清盘
2018-08-15,秒钱,宁夏回族自治区银川市,2015-11-08,提现困难
2018-08-14,邦邦理财,上海市虹口区,2014-09-28,警方介入
2018-08-14,蜂融网,上海市浦东新区,2015-05-20,平台展期
2018-08-14,稳赚宝,浙江省杭州市,2015-03-23,警方介入
2018-08-14,龙龙理财,浙江省杭州市,2017-11-29,提现困难
2018-08-13,海象理财,北京市东城区,2015-03-23,平台展期
2018-08-13,曼振财富,云南省昆明市,--,平台失联
2018-08-13,点金金服,浙江省杭州市,--,提现困难
2018-08-13,鼎财富,上海市浦东新区,2017-11-15,平台失联
2018-08-13,团聚创投,浙江省嘉兴市,2017-09-21,平台失联
2018-08-13,金碗理财,浙江省杭州市,2017-08-06,提现困难
2018-08-13,骏合金信,上海市黄浦区,2014-03-18,提现困难
2018-08-13,财富星球,北京市海淀区,2013-12-25,警方介入
2018-08-11,君融贷,辽宁省大连市,2014-10-10,警方介入
2018-08-10,钱市网,浙江省杭州市,2014-09-22,平台展期
2018-08-10,温商贷,新疆维吾尔自治区吐鲁番地区,2013-03-27,平台展期
2018-08-10,爱投资,北京市海淀区,2013-03-31,平台展期
2018-08-10,鑫合汇,浙江省杭州市,2013-12-12,平台展期
2018-08-10,链金所,广东省深圳市,2015-10-19,警方介入
2018-08-10,爱达财富,重庆市万州区,2014-08-27,暂停运营
2018-08-10,守财奴,海南省海口市,2015-05-20,提现困难
2018-08-10,微金在线,广东省深圳市,2014-03-26,提现困难
2018-08-09,e鹭理财,上海市浦东新区,2017-12-01,争议平台
2018-08-09,鲁小姐理财,浙江省杭州市,2017-11-03,平台失联
2018-08-08,美环艺速,北京市海淀区,2017-09-15,提现困难
2018-08-08,悠哉猫,广东省深圳市,2017-10-25,警方介入
2018-08-08,渝金所,广东省深圳市,2014-11-26,警方介入
2018-08-08,小九金服,浙江省杭州市,2015-10-29,提现困难
2018-08-08,三信贷,浙江省温州市,2012-08-01,平台展期
2018-08-07,e资产,湖南省长沙市,2016-04-20,提现困难
2018-08-07,知合金服,浙江省杭州市,2017-05-08,提现困难
2018-08-07,宜泉资本,上海市普陀区,2016-07-15,提现困难
2018-08-06,58车贷,湖南省长沙市,2015-03-12,提现困难
2018-08-06,小微金融,广东省深圳市,2014-06-18,警方介入
2018-08-06,365易贷,江苏省南京市,2010-02-01,平台展期
2018-08-06,懒人投资,浙江省杭州市,2014-07-15,提现困难
2018-08-06,招财猫理财,浙江省杭州市,2015-04-09,提现困难
2018-08-06,来存吧,浙江省杭州市,2016-03-16,警方介入
2018-08-06,票票喵,浙江省杭州市,2016-02-23,提现困难
2018-08-06,新能源金服,浙江省杭州市,2017-05-02,平台失联
2018-08-06,京县理财,云南省丽江市,--,警方介入
2018-08-06,金砖财行,北京市海淀区,2015-11-02,警方介入
2018-08-06,金盛源,浙江省宁波市,--,平台失联
2018-08-05,合家金融,浙江省杭州市,2014-10-31,提现困难
2018-08-04,花生票号,北京市朝阳区,--,提现困难
2018-08-03,金融博士,北京市东城区,2016-05-27,提现困难
2018-08-03,溪安金服,上海市普陀区,--,警方介入
2018-08-03,鑫龙金服,上海市崇明县,--,警方介入
2018-08-03,应文投资,上海市奉贤区,--,警方介入
2018-08-03,靓钱宝,上海市闵行区,2017-11-30,警方介入
2018-08-03,中投融,上海市徐汇区,--,平台失联
2018-08-03,惠人贷,北京市东城区,2012-08-03,暂停运营
2018-08-03,礼德财富,广东省广州市,2013-08-28,警方介入
2018-08-02,金联储,北京市朝阳区,2014-09-01,警方介入
2018-08-02,海贝金融,上海市嘉定区,2017-12-28,提现困难
2018-08-02,货融贷,安徽省合肥市,2016-01-05,提现困难
2018-08-02,财蜂发财树,广东省深圳市,2015-10-15,警方介入
2018-08-02,鑫宝宝,山西省太原市,--,提现困难
2018-08-02,好麦金融,浙江省杭州市,2016-08-08,提现困难
2018-08-02,圆小财,浙江省杭州市,2015-05-18,提现困难
2018-08-02,UU理财,浙江省杭州市,2017-11-03,警方介入
2018-08-01,51丰收宝,广东省深圳市,--,警方介入
2018-08-01,博节金融,上海市杨浦区,--,提现困难
2018-08-01,启点金融,浙江省杭州市,2016-03-05,平台失联
2018-08-01,金刚金服,浙江省杭州市,2017-08-01,平台失联
2018-08-01,快车财富,安徽省合肥市,2016-04-20,提现困难
2018-08-01,红海贷,北京市东城区,2015-02-02,暂停运营
2018-08-01,河马在线,广东省深圳市,2014-02-14,提现困难
2018-08-01,诚汇通,广东省深圳市,2013-07-10,平台展期
2018-07-31,利得行,浙江省杭州市,2015-04-18,警方介入
2018-07-31,闪电金融,重庆市万州区,2014-02-20,提现困难
2018-07-31,国金宝,上海市黄浦区,2014-09-18,警方介入
2018-07-31,元泰金服,浙江省杭州市,2016-04-13,平台失联
2018-07-31,四喜进宝,浙江省杭州市,--,提现困难
2018-07-31,梦熙金融,福建省泉州市,--,警方介入
2018-07-30,圣贤财富,浙江省杭州市,2016-04-18,平台清盘
2018-07-30,信广立诚贷,北京市东城区,2014-10-08,提现困难
2018-07-30,鸿金宝,广东省深圳市,2014-11-01,暂停运营
2018-07-30,握握金服,山东省济南市,2014-06-14,争议平台
2018-07-30,中再融,北京市朝阳区,2015-12-10,提现困难
2018-07-30,金贝猫,上海市普陀区,2017-08-01,提现困难
2018-07-30,红丰智投,江苏省苏州市,2016-11-01,平台失联
2018-07-30,聚龙理财,浙江省杭州市,2017-03-21,提现困难
2018-07-30,金财蛙,上海市崇明县,2017-10-01,提现困难
2018-07-30,银强金融,浙江省台州市,2016-07-19,暂停运营
2018-07-29,众信金服,黑龙江省哈尔滨市,2016-01-25,暂停运营
2018-07-29,大印财富通,河南省南阳市,2014-04-03,暂停运营
2018-07-29,一鼎金融,浙江省杭州市,2016-08-08,警方介入
2018-07-29,禄安宝,湖南省长沙市,2016-03-17,暂停运营
2018-07-29,善行创投,广东省深圳市,2014-04-18,平台失联
2018-07-27,中通融贷,广东省深圳市,2015-02-09,暂停运营
2018-07-27,大同行,北京市丰台区,2014-04-21,提现困难
2018-07-27,众易贷,河南省郑州市,2014-10-25,提现困难
2018-07-27,帝象金融,上海市徐汇区,2018-02-06,提现困难
2018-07-27,普汇云通,广东省深圳市,2015-08-24,平台展期
2018-07-27,商房所,北京市东城区,2016-10-27,提现困难
2018-07-26,百仁贷,北京市东城区,2015-05-01,平台失联
2018-07-26,魔袋金融,上海市黄浦区,2013-09-04,提现困难
2018-07-26,隆泰贷,浙江省宁波市,2014-04-08,警方介入
2018-07-26,诚乾贷,天津市南开区,2016-06-06,平台清盘
2018-07-26,啄米理财,浙江省杭州市,2016-04-12,警方介入
2018-07-26,春天金融,广东省深圳市,2015-06-29,平台展期
2018-07-26,叮叮理财,浙江省杭州市,2017-10-10,警方介入
2018-07-25,买金呗,广东省深圳市,--,警方介入
2018-07-25,正经事理财,浙江省台州市,2016-01-17,暂停运营
2018-07-24,中泰理财,浙江省杭州市,--,平台清盘
2018-07-24,首投理财,上海市虹口区,2016-05-31,提现困难
2018-07-24,金坳财富,上海市静安区,2017-07-28,暂停运营
2018-07-24,钱路理财,浙江省杭州市,2017-04-14,警方介入
2018-07-24,今算盘,浙江省杭州市,2016-03-18,提现困难
2018-07-24,易贷在线,浙江省宁波市,2014-11-11,提现困难
2018-07-23,合盘金服,上海市浦东新区,2013-04-01,警方介入
2018-07-23,徽嘉金融,四川省成都市,2014-12-09,提现困难
2018-07-23,金蜂财富,上海市虹口区,2014-04-02,提现困难
2018-07-23,聚有钱,北京市朝阳区,2016-09-12,提现困难
2018-07-23,瑞涛财富,浙江省金华市,2014-10-08,暂停运营
2018-07-23,九斗鱼,北京市朝阳区,2014-06-01,平台失联
2018-07-23,钱贷网,广东省深圳市,2012-12-24,警方介入
2018-07-23,网格金服,上海市崇明县,2017-11-13,平台清盘
2018-07-23,和祥行,浙江省杭州市,2017-05-19,平台失联
2018-07-23,钱宝财,浙江省杭州市,2017-08-07,平台失联
2018-07-23,攒多多,浙江省宁波市,2017-10-16,提现困难
2018-07-23,狐小狸理财,陕西省西安市,2016-05-01,平台清盘
2018-07-23,繁锦财富,浙江省杭州市,2014-09-11,平台失联
2018-07-23,宏亚金融,浙江省杭州市,2017-06-19,提现困难
2018-07-20,有理树金服,浙江省杭州市,2017-11-30,警方介入
2018-07-20,嗷呜宝,上海市松江区,2017-09-11,提现困难
2018-07-20,爱钱帮,北京市东城区,2014-04-01,警方介入
2018-07-19,星时贷,浙江省杭州市,2017-08-09,提现困难
2018-07-19,利民网,广东省深圳市,2014-09-22,警方介入
2018-07-19,中航生意贷,上海市长宁区,2017-06-16,警方介入
2018-07-19,汇淘金,浙江省杭州市,2017-10-30,平台清盘
2018-07-19,百荣金服,上海市黄浦区,2018-01-11,提现困难
2018-07-19,拾锦财富,江苏省南京市,--,平台失联
2018-07-18,巨汇财富,北京市朝阳区,--,平台清盘
2018-07-18,大仓谷理财,浙江省宁波市,--,警方介入
2018-07-18,随取宝,上海市虹口区,--,提现困难
2018-07-18,抓钱猫,浙江省杭州市,2014-08-13,警方介入
2018-07-18,网贷网,江西省南昌市,2014-03-06,平台清盘
2018-07-18,聚财猫,上海市黄浦区,2014-08-18,警方介入
2018-07-18,金银猫,上海市浦东新区,2013-11-18,警方介入
2018-07-18,银豆网,北京市海淀区,2014-01-23,警方介入
2018-07-17,车能贷,浙江省宁波市,2014-11-05,警方介入
