序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,90.61,11.05,0.0,5.45,4.44,0.72,7.49,0.56,12.83,3.96
2,宜人贷,A+,89.09,28.91,0.0,12.0,237.06,5.52,5.58,7.68,7.17,7.45
3,人人贷,A+,86.74,46.39,0.0,9.87,156.9,3.09,5.58,13.65,15.71,15.44
4,开鑫贷,A+,86.35,29.21,0.0,8.79,424.46,1.43,4.88,7.29,206.13,358.99
5,投哪网,A+,85.65,37.44,0.0,10.81,325.62,0.67,6.28,3.77,9.77,29.58
6,微贷网,A,83.81,35.76,0.0,10.99,354.62,0.47,4.57,1.4,6.43,23.24
7,点融网,A,82.84,42.4,0.0,8.05,285.71,0.86,8.14,0.25,226.31,5.52
8,拍拍贷,A,82.5,23.49,0.0,14.56,10.31,1.12,8.14,5.53,1.95,2.34
9,小牛在线,A,82.3,43.77,0.0,12.34,715.65,1.45,6.28,21.49,46.26,93.7
10,鑫合汇,A,81.61,34.03,0.0,9.46,1187.98,0.14,4.57,137.94,1215.57,38.85
11,宜贷网,A,81.42,46.91,0.0,11.06,578.16,0.27,5.79,2.76,47.46,38.79
12,PPmoney,A,80.8,50.66,0.0,9.77,1089.66,0.38,6.28,6.23,14.76,208.36
13,翼龙贷网,A,80.18,46.22,0.0,17.33,466.74,1.57,5.58,1.79,8.47,27.99
14,积木盒子,A,80.03,28.63,0.0,5.91,271.14,0.68,5.58,1.32,3.72,10.82
15,爱钱进,B+,79.87,49.33,0.0,13.51,263.84,4.94,5.58,6.69,5.99,4.3
16,有利网,B+,78.43,62.86,0.0,10.27,231.3,2.05,5.58,1.46,0.82,73.88
17,麻袋理财,B+,76.21,67.35,0.0,11.65,522.61,4.64,8.14,1.9,3.28,45.55
18,理财范,B+,75.49,29.22,0.0,12.52,53.17,0.96,5.58,60.24,100.54,34.15
19,金宝保,B+,74.89,40.07,0.0,8.08,131.26,1.02,4.23,6.96,403.2,15.73
20,链家理财,B+,71.51,41.43,0.0,8.33,1037.46,0.29,5.58,5.72,86.0,279.64
21,爱投资,B+,71.27,28.5,0.0,11.86,214.2,1.4,5.58,11.16,21.68,45.0
22,银客网,B+,70.92,52.38,0.0,9.68,164.83,0.72,5.58,35.38,283.93,7.16
23,民贷天下,B+,70.58,66.55,0.0,8.28,303.94,0.42,6.28,827.02,2313.7,5.34
24,银湖网,B+,70.32,49.25,0.0,12.82,66.3,2.91,5.58,4.34,15.41,1.24
25,理想宝,B+,70.06,30.71,0.0,12.44,149.57,0.47,6.28,96.4,163.8,142.01
26,德众金融,B,69.84,39.58,0.0,9.37,61.68,0.95,4.26,16.81,82.38,26.64
27,红岭创投,B,69.7,34.44,0.0,9.68,1113.82,0.27,6.28,10.0,98.27,152.56
28,诺诺镑客,B,69.64,49.16,0.0,11.43,53.9,3.41,8.14,0.4,1.38,2.99
29,你我贷,B,69.44,39.43,0.0,12.22,191.97,4.25,8.14,7.38,16.92,11.46
30,短融网,B,69.28,41.66,0.0,12.25,70.86,0.2,5.58,266.15,79.22,6.29
31,一起好,B,69.2,41.94,0.0,15.14,106.9,0.72,3.79,5.1,16.38,40.09
32,合拍在线,B,69.13,33.62,0.0,12.48,89.58,0.38,6.28,38.8,155.81,5.55
33,网利宝,B,69.13,62.9,0.0,11.59,236.67,0.48,5.58,502.3,988.45,15.37
34,北京众信金融,B,68.85,45.7,0.0,11.5,283.75,1.04,5.58,78.31,873.08,67.52
35,信融财富,B,68.79,35.26,0.0,15.92,79.36,0.8,6.28,4.59,11.89,14.46
