序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,95.35,39.43,44.97,8.18,100.0,5.05,16.43,0.95,5.9,8.24
2,开鑫贷,A+,92.01,23.45,4.61,7.55,8.02,1.71,4.3,13.99,144.79,38.95
3,宜人贷,A+,89.22,34.67,57.75,11.59,18.5,5.4,30.63,7.55,6.98,59.2
4,点融网,A+,87.2,45.02,4.98,7.87,10.57,1.64,16.43,1.4,6.35,6.29
5,人人贷,A+,86.24,33.56,63.29,9.37,12.47,3.92,30.63,10.89,13.95,60.06
6,拍拍贷,A,84.6,31.81,10.82,15.44,0.64,1.35,16.43,2.87,0.96,22.34
7,微贷网,A,84.29,37.23,12.25,9.64,31.64,0.41,11.89,1.31,6.53,7.43
8,投哪网,A,83.32,26.9,10.52,9.96,15.18,1.03,28.33,3.66,6.04,30.03
9,积木盒子,A,83.01,27.1,13.23,7.75,19.92,1.05,30.63,0.13,0.38,109.21
10,宜贷网,A,82.73,40.31,4.57,10.49,51.62,0.26,2.55,2.52,63.56,5.35
11,翼龙贷网,A,81.45,42.29,49.34,9.44,19.77,1.83,30.63,2.14,8.84,145.38
12,有利网,A,81.32,44.61,26.42,10.2,13.19,2.92,30.63,1.64,1.04,162.87
13,小牛在线,A,80.46,55.39,10.41,12.05,50.05,0.6,28.33,13.98,30.09,51.95
14,爱钱进,A,80.13,42.47,89.44,12.6,16.69,5.69,30.63,4.8,4.76,21.14
15,麻袋理财,B+,79.26,42.39,16.24,11.14,23.26,4.63,16.43,0.94,1.95,97.98
16,鑫合汇,B+,78.65,25.81,3.2,8.83,63.77,0.12,11.89,503.31,4752.47,71.81
17,你我贷,B+,78.5,37.3,25.45,11.78,17.7,4.44,16.43,0.28,0.33,44.75
18,银湖网,B+,78.36,52.89,28.38,10.04,6.22,1.89,30.63,10.97,22.21,1.74
19,爱投资,B+,78.28,36.15,12.49,11.88,17.53,1.58,30.63,13.44,34.43,93.34
20,链家理财,B+,78.22,35.29,-4.24,7.88,76.43,0.29,30.63,3.76,58.73,25.07
21,PPmoney,B+,78.18,33.51,-1.38,9.3,59.77,0.44,28.33,4.52,15.78,97.56
22,金开贷,B+,78.12,44.03,39.71,6.28,3.73,1.46,0.31,8.82,771.58,75.08
23,红岭创投,B+,78.03,26.02,-3.23,8.92,58.94,0.27,28.33,10.37,81.78,166.29
24,德众金融,B+,77.74,36.05,59.66,8.59,4.94,2.51,0.84,7.8,60.64,58.08
25,银客网,B+,77.02,34.63,15.88,9.73,15.66,0.93,30.63,17.59,141.3,129.36
26,短融网,B+,76.46,32.24,5.35,9.83,4.09,0.3,30.63,149.12,23.04,1.37
27,民贷天下,B+,75.89,51.57,14.94,7.01,27.76,0.26,28.33,1975.43,2412.98,3.2
28,诺诺镑客,B+,74.9,49.79,84.43,11.64,5.45,3.23,16.43,0.72,1.25,17.52
29,北京众信金融,B+,73.6,31.69,38.55,10.31,14.49,1.11,30.63,78.85,891.67,239.27
30,合拍在线,B+,72.61,25.59,9.78,11.62,4.99,0.4,28.33,80.8,302.34,1.57
31,理财范,B+,72.02,33.67,45.7,11.6,7.97,1.22,30.63,72.42,200.84,96.73
32,金宝保,B+,71.35,33.59,-1.61,6.97,5.15,1.17,0.85,8.96,441.02,41.84
33,腾邦创投,B,69.99,46.97,0.21,13.42,8.78,0.44,28.33,89.21,1070.24,58.48
34,银豆网,B,69.83,29.01,48.48,12.66,3.08,1.82,30.63,71.61,425.61,117.2
35,理想宝,B,69.7,32.8,-3.75,12.6,9.97,0.48,28.33,134.61,143.78,3.29
36,珠宝贷,B,69.6,27.06,8.82,11.99,9.01,0.51,28.33,123.28,589.18,0.51
37,91旺财,B,69.23,24.77,-0.93,7.87,6.71,0.24,30.63,7.88,140.58,0.89
38,团贷网,B,69.19,29.01,19.02,11.93,30.23,0.94,28.33,1.46,5.94,28.13
39,道口贷,B,69.15,36.8,-22.18,8.79,4.46,0.65,30.63,20.42,111.99,20.88
40,玖融网,B,68.93,27.95,17.82,13.07,1.52,0.91,1.4,5.95,9.92,4.0
41,网利宝,B,68.66,39.29,1.99,9.93,12.67,0.52,30.63,728.33,1461.79,9.04
42,铜掌柜,B,68.15,32.07,1.54,10.08,21.99,0.29,11.89,148.14,325.86,20.8
43,信融财富,B,67.46,38.18,28.33,15.55,6.74,1.21,28.33,3.51,10.49,119.23
44,邦帮堂,B,67.31,16.4,91.42,9.45,2.98,1.7,30.63,58.57,146.91,3.15
45,抱财网,B,65.41,34.75,-3.75,10.81,4.18,0.71,30.63,251.74,780.74,6.93
46,一起好,B,64.36,22.49,22.99,14.03,4.64,1.12,1.4,4.48,11.6,32.05
47,金融工场,B,63.99,19.91,-34.23,8.58,8.03,0.64,30.63,783.79,1296.93,72.03
48,向上金服,B,62.52,23.57,120.08,9.57,8.87,0.59,30.63,60.2,46.69,3.91
49,付融宝,B,61.98,37.94,22.37,11.29,5.51,0.67,4.3,122.49,168.1,60.09
50,钜宝盆,B,61.87,44.17,96.27,9.35,15.4,5.28,16.43,1.36,8.74,11.61
51,和信贷,B,61.45,20.89,52.14,13.43,5.77,0.86,30.63,31.91,86.17,4.28
52,中瑞财富,B,61.27,19.06,-59.67,7.61,3.66,0.24,30.63,2966.33,316.65,1.17
53,金联储,B,61.06,43.72,-4.25,9.43,14.48,0.36,30.63,495.15,1387.79,3.5
54,广州e贷,B,60.47,27.43,21.41,11.16,3.38,0.82,28.33,27.48,133.82,1.0
55,友金所,B,60.12,51.02,74.77,10.0,4.49,5.42,28.33,12.81,72.62,9.27
