序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金服,A+,93.43,0.33,28.37,7.88,76.18,3.38,27.9,0.92,2.76,94.55
2,宜人贷,A+,91.23,8.66,68.57,11.77,18.84,3.56,23.07,2.32,2.4,100.1
3,拍拍贷,A+,89.78,20.57,36.36,14.09,18.06,1.27,27.9,0.18,0.54,121.35
4,人人贷,A+,88.89,6.83,51.3,9.38,8.4,2.89,23.07,2.33,3.33,98.22
5,微贷网,A+,88.07,11.06,8.73,7.64,16.83,0.33,16.03,1.3,1.63,110.74
6,开鑫金服,A+,87.68,99.93,36.42,6.67,7.43,1.57,3.07,3.47,12.38,51.89
7,宜贷网,A+,86.94,8.37,13.12,10.31,36.47,0.46,2.46,2.1,6.84,30.27
8,小赢理财,A+,85.36,5.12,43.97,7.19,61.84,0.92,24.22,0.33,0.81,127.47
9,投哪网,A,84.73,9.56,9.91,8.64,10.47,0.94,24.22,2.52,2.84,40.55
10,有利网,A,84.5,8.07,29.82,9.96,9.52,2.31,23.07,1.04,0.95,54.78
11,积木盒子,A,83.65,11.01,19.49,8.17,15.36,0.78,23.07,0.19,0.34,62.29
12,凤凰金融,A,83.56,7.42,9.53,6.35,27.73,1.01,23.07,2.59,4.77,436.7
13,麻袋理财,A,83.26,14.59,54.63,8.39,18.04,2.39,27.9,0.48,0.7,13.95
14,点融网,A,82.6,3.81,-62.35,7.72,2.42,1.01,27.9,23.02,5.37,4.65
15,团贷网,A,82.25,8.94,14.47,9.63,26.05,0.75,24.22,2.68,3.56,6.12
16,东方汇,A,81.85,6.07,9.25,4.99,17.28,0.24,27.9,1.54,7.84,1.75
17,翼龙贷,A,81.01,5.39,-72.24,8.93,5.87,1.31,23.07,1.07,1.51,66.73
18,小牛在线,A,80.74,2.26,20.77,9.17,22.66,0.66,24.22,2.59,4.32,51.1
19,民贷天下,A,80.37,7.46,0.84,6.3,21.04,0.37,24.22,0.51,1.85,4.83
20,爱钱进,B+,79.75,12.67,84.48,10.3,30.33,3.6,23.07,1.45,1.87,14.39
21,海融易,B+,79.39,15.22,84.23,7.29,13.18,17.11,2.9,4.31,31.75,207.74
22,PPmoney理财,B+,79.13,29.1,9.07,9.34,20.42,0.7,24.22,0.94,1.04,29.77
23,你我贷,B+,78.88,13.25,4.41,10.92,12.97,2.08,27.9,0.54,0.68,41.04
24,金开贷,B+,78.39,7.98,-24.86,7.77,1.18,0.98,0.14,5.46,12.59,3.21
25,财富星球,B+,77.9,1.86,-30.99,8.4,1.55,0.76,23.07,4.73,7.01,9.9
26,北京众信金融,B+,77.35,13.61,-48.29,8.15,4.15,0.68,23.07,2.55,13.22,165.37
27,鑫合汇,B+,76.71,15.21,4.92,7.34,69.43,0.11,16.03,3.88,15.94,104.44
28,理财范,B+,76.52,9.6,14.6,9.49,6.13,0.87,23.07,3.91,7.39,9.95
29,生菜金融,B+,76.17,5.61,2.51,8.77,7.56,0.21,27.9,1.19,4.85,3.22
30,道口贷,B+,75.88,14.52,3.68,8.54,4.55,0.44,23.07,3.88,8.35,69.41
31,链链金融,B+,75.49,48.2,-19.97,6.0,0.89,0.29,23.07,1.44,3.19,8.39
32,银湖网,B+,75.14,1.47,-10.2,12.06,5.18,2.7,23.07,1.92,3.38,2.08
33,恒大金服,B+,74.73,90.18,36.18,7.8,4.09,1.48,24.22,3.58,9.95,0.11
34,人人聚财,B+,74.15,7.8,8.04,9.85,3.73,0.94,24.22,9.68,2.71,25.65
35,博金贷,B+,73.54,11.51,64.1,6.07,12.3,0.26,0.36,3.57,12.52,10.11
36,铜掌柜,B+,73.25,1.8,30.35,7.68,4.76,0.93,16.03,4.84,13.28,7.68
37,红岭创投,B+,72.96,7.25,-10.4,7.82,36.87,0.25,24.22,3.48,7.14,200.15
38,广州e贷,B+,72.33,12.6,-23.37,8.55,1.34,0.5,24.22,2.73,6.71,1.78
39,和信贷,B+,71.73,17.13,8.14,12.29,4.76,0.4,23.07,5.14,8.44,12.08
40,玖融网,B+,71.54,4.41,58.99,11.24,1.53,1.67,0.94,2.33,3.58,8.65
41,短融网,B+,70.97,6.79,16.57,9.28,2.36,0.45,23.07,11.67,3.42,7.23
42,融金所,B+,70.2,7.74,19.69,11.25,6.27,0.87,24.22,2.67,4.3,40.55
43,银豆网,B,69.83,9.26,67.68,12.65,4.1,1.35,23.07,1.47,5.27,6.34
44,广信贷,B,69.22,18.27,14.51,11.55,3.38,1.05,23.07,2.01,4.35,17.26
45,友金所,B,69.04,26.91,-10.48,9.0,9.65,3.98,24.22,4.54,4.62,3.62
46,理想宝,B,68.45,6.8,10.46,10.25,4.29,0.41,24.22,5.4,8.21,6.87
47,奇乐融,B,68.07,1.9,-89.56,7.17,0.76,0.42,0.43,1.04,2.54,1.47
48,付融宝,B,67.94,13.51,33.08,10.25,5.69,0.97,3.07,16.91,8.27,6.75
49,拓道金服,B,67.81,9.16,36.1,11.05,3.37,0.71,16.03,1.57,2.89,10.54
50,诺诺镑客,B,67.66,9.33,5.87,11.21,2.78,2.3,27.9,0.78,0.88,15.38
51,口袋理财,B,67.27,15.03,-13.11,8.09,11.2,0.27,27.9,0.38,0.28,60.37
52,联连理财,B,66.89,12.15,6.08,10.46,3.8,0.14,27.9,0.65,1.12,8.35
53,万盈金融,B,66.67,16.47,28.01,12.06,2.27,1.31,24.22,3.58,5.81,2.83
54,首金网,B,66.34,19.49,31.78,8.32,23.33,0.38,23.07,3.95,12.64,20.83
