序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,93.72,15.02,80.02,6.63,100.0,2.62,26.63,0.48,2.09,347.48
2,拍拍贷,A+,91.37,16.6,35.82,14.24,2.79,1.89,26.63,0.25,0.56,154.9
3,宜人贷,A+,89.04,11.64,58.47,11.81,5.5,5.35,23.4,2.38,2.48,160.65
4,开鑫贷,A+,88.27,10.29,6.3,6.7,0.61,2.14,2.52,3.17,5.64,42.98
5,人人贷,A+,87.09,9.3,3.09,9.09,2.88,3.28,23.4,4.52,4.45,126.04
6,微贷网,A+,86.15,13.46,17.31,9.41,11.9,0.43,13.55,1.16,2.71,18.39
7,投哪网,A+,85.33,6.17,38.56,10.69,3.46,1.49,25.57,2.02,2.78,61.33
8,宜贷网,A,84.0,9.88,8.65,10.42,10.78,0.32,1.97,1.57,7.9,8.23
9,小赢理财,A,83.94,37.93,-157.93,6.47,12.26,0.83,25.57,0.72,2.04,128.23
10,有利网,A,82.03,7.45,40.88,9.98,3.0,3.03,23.4,1.18,1.08,244.71
11,东方汇,A,81.76,6.67,0.66,5.04,6.0,0.27,26.63,2.02,9.6,35.12
12,点融网,A,81.71,12.16,46.89,9.15,8.92,2.62,26.63,0.02,0.88,311.71
13,凤凰金融,A,80.9,13.52,57.65,7.24,15.23,0.71,23.4,1.86,4.08,933.4
14,翼龙贷网,A,80.28,18.22,8.31,11.15,4.8,2.33,23.4,1.2,2.8,177.79
15,积木盒子,A,80.15,6.45,22.39,8.18,2.77,1.1,23.4,0.25,0.42,453.24
16,金开贷,B+,78.9,9.39,8.54,8.0,0.42,0.97,0.14,5.15,15.85,52.23
17,海融易,B+,77.76,23.67,336.28,7.77,2.91,0.53,2.39,4.18,38.21,180.01
18,麻袋理财,B+,77.31,9.4,35.42,9.02,6.18,3.35,26.63,0.46,0.87,254.44
19,PPmoney,B+,76.69,4.34,25.59,9.19,8.42,1.29,25.57,0.8,1.19,94.7
20,爱钱进,B+,76.46,14.47,81.66,11.93,5.13,5.08,23.4,1.0,2.11,41.92
21,银客理财,B+,75.71,9.13,-242.55,8.49,0.54,0.8,23.4,3.82,6.16,81.92
22,小牛在线,B+,75.33,10.68,-14.53,10.38,11.33,0.42,25.57,2.62,4.69,34.3
23,短融网,B+,74.93,8.89,2.38,10.22,0.81,0.54,23.4,7.07,3.79,5.92
24,德众金融,B+,74.53,7.26,-12.34,7.99,0.51,0.85,0.41,2.84,6.36,60.19
25,链链金融,B+,74.49,1.84,-207.69,6.01,1.49,0.3,23.4,1.26,4.02,1.47
26,红岭创投,B+,73.57,5.92,-20.39,8.87,9.25,0.33,25.57,2.36,6.29,185.27
27,理财范,B+,73.23,7.97,14.18,9.24,1.47,0.79,23.4,6.14,10.25,165.64
28,金宝保,B+,73.16,6.01,-8.54,5.86,1.13,1.1,0.55,4.56,19.35,194.62
29,北京众信金融,B+,72.78,13.13,-11.66,8.44,2.42,0.67,23.4,5.87,21.58,186.02
30,团贷网,B+,71.66,8.73,34.23,11.34,10.8,1.21,25.57,2.68,4.69,53.43
31,你我贷,B+,71.03,9.84,27.15,11.41,4.67,3.88,26.63,0.79,1.04,65.49
32,91旺财,B+,70.98,17.95,7.63,7.76,3.12,0.23,23.4,4.63,9.31,1.45
33,民贷天下,B+,70.91,8.0,7.27,7.76,8.6,0.51,25.57,0.89,1.87,7.0
34,道口贷,B+,70.66,8.94,19.15,9.02,1.14,0.69,23.4,3.82,8.94,36.0
35,玖融网,B+,70.34,10.18,43.38,11.79,0.57,1.52,0.86,1.82,3.73,8.69
36,鑫合汇,B+,70.22,12.01,2.58,8.96,17.67,0.1,13.55,27.6,89.14,47.4
37,理想宝,B,69.95,6.34,-2.55,9.45,1.37,0.44,25.57,6.64,14.11,3.77
38,诺诺镑客,B,69.17,15.78,40.07,11.45,1.05,2.7,26.63,0.76,0.99,28.68
39,恒大金服,B,68.7,89.99,17.66,7.35,1.24,2.84,25.57,6.81,15.99,0.09
40,生菜金融,B,67.76,5.78,-4.74,8.62,1.03,0.81,26.63,1.5,5.17,18.7
41,铜掌柜,B,67.69,3.82,4.45,8.92,2.49,0.48,13.55,10.22,17.11,33.36
42,银湖网,B,67.28,3.74,-215.29,11.17,0.14,1.54,23.4,7.51,8.66,3.55
43,付融宝,B,66.26,7.4,22.26,10.41,1.09,1.0,2.52,21.8,8.48,92.62
44,人人聚财,B,65.84,3.81,-39.61,11.89,0.88,0.97,25.57,9.24,2.77,31.31
45,广州e贷,B,65.64,7.9,24.22,9.99,0.53,0.9,25.57,3.38,7.92,2.04
46,腾邦创投,B,64.53,2.98,-76.82,14.78,0.49,0.01,25.57,1.21,9.21,2.89
47,银豆网,B,64.12,16.81,5.75,12.87,0.62,1.85,23.4,5.09,15.31,140.46
48,和信贷,B,63.86,5.97,40.29,13.14,1.03,1.12,23.4,4.51,7.51,10.68
49,广信贷,B,63.43,9.48,52.19,13.42,0.73,1.44,23.4,2.0,4.85,8.11
50,钜宝盆,B,62.92,7.21,60.76,8.0,2.85,5.5,26.63,1.73,3.11,20.18
51,珠宝贷,B,62.74,8.12,9.72,11.15,1.7,0.53,25.57,9.19,20.52,0.87
52,融金所,B,62.7,9.32,145.79,12.19,0.16,0.84,25.57,1.97,1.33,19.61
53,万盈金融,B,62.42,16.58,47.4,13.13,0.71,1.5,25.57,2.69,5.1,6.4
54,大麦理财,B,62.32,2.71,-5.79,9.92,0.58,0.66,25.57,27.39,44.74,32.23
55,奇乐融,B,62.31,14.13,-14.63,6.94,1.29,0.42,0.41,3.77,12.64,4.44
56,博金贷,B,61.93,8.81,63.93,8.79,2.81,0.24,0.35,3.87,15.27,6.1
57,合拍在线,B,61.91,7.18,-4.77,10.07,0.85,0.39,25.57,10.56,20.5,2.37
58,中瑞财富,B,61.88,5.83,-4.45,7.34,1.06,0.34,23.4,9.16,29.36,18.32
59,向上金服,B,61.74,16.19,12.1,9.39,6.87,0.29,23.4,12.09,19.1,8.45
60,首金网,B,61.45,89.88,61.58,8.41,6.86,0.38,23.4,3.35,12.46,2.21
61,看看钱包,B,61.36,26.64,-25.42,8.42,0.06,0.53,0.19,2.32,5.4,0.71
62,抱财网,B,61.31,4.68,26.09,11.97,0.71,0.97,23.4,10.86,17.86,14.77
63,友金所,B,61.29,10.21,18.34,10.0,0.45,5.32,25.57,14.85,7.41,12.9
64,一起好,B,61.16,4.75,-16.39,12.37,0.6,1.24,0.86,1.86,2.98,24.01
65,拓道金服,B,61.15,17.47,10.11,12.51,0.71,0.55,13.55,1.17,2.62,1.49
66,华人金融,B,61.13,4.42,42.24,8.48,1.94,0.53,25.57,24.4,47.17,0.52
67,口袋理财,B,61.07,7.39,71.97,8.17,4.9,0.76,26.63,0.6,0.97,78.15
68,汉金所,B,60.99,9.73,-23.97,8.42,0.3,1.13,0.86,3.12,7.51,4.57
69,果树财富,B,60.89,7.24,28.92,15.06,0.23,0.91,25.57,1.91,2.41,17.41
70,口贷网,B,60.46,0.1,101.22,16.41,0.38,0.78,1.97,10.08,27.43,0.01
