序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,陆金服, 0,A+,93.55,77.5,77.5,2.57,8.49,2012-06-01,上海,10.42,14.34,100.0,21.36,0.87,2.03,36.07
2,宜人贷, 0,A+,91.52,77.5,84.0,2.17,11.54,2012-07-01,北京,4.97,44.34,24.79,27.97,2.51,2.66,285.67
3,微贷网, 0,A+,91.26,79.5,81.0,0.34,7.19,2011-08-01,浙江,4.56,-5.88,37.76,15.02,1.5,2.89,94.33
4,团贷网, 5,A+,90.3,77.5,83.0,1.69,10.49,2012-07-01,广东,7.75,26.59,13.49,25.17,3.1,2.97,37.53
5,拍拍贷, 0,A+,89.54,77.5,66.5,0.74,14.25,2007-06-01,上海,1.72,54.41,19.64,21.36,0.23,0.61,29.16
6,人人贷, -2,A+,89.38,87.5,83.0,2.13,9.44,2010-10-01,北京,7.16,6.09,13.29,27.97,1.2,3.31,51.16
7,爱钱进, 3,A+,88.48,77.5,83.0,2.44,10.28,2014-05-01,北京,11.13,15.04,25.73,27.97,1.44,2.03,30.66
8,你我贷, 3,A+,87.64,82.5,65.5,1.36,10.51,2011-06-01,上海,6.69,53.22,26.98,21.36,0.65,1.04,55.85
9,凤凰金融, -3,A+,87.54,77.5,73.0,0.99,7.09,2014-12-01,北京,4.77,-50.19,13.41,27.97,3.65,8.73,63.81
10,点融网, 5,A+,87.01,80.0,65.5,2.14,10.06,2014-11-01,上海,1.56,93.97,9.67,21.36,0.74,1.57,0.59
11,开鑫贷, -4,A+,86.82,75.0,95.0,0.64,6.54,2012-12-01,江苏,0.2,-265.28,0.15,3.89,1.01,2.71,1.44
12,小赢网金, -4,A+,85.85,77.5,77.0,0.91,7.85,2014-08-01,广东,5.35,-1.19,33.41,25.17,0.6,1.08,38.57
13,积木盒子, 7,A+,85.78,85.0,83.0,1.42,9.73,2013-08-01,北京,3.95,-3.34,10.95,27.97,0.31,1.31,24.52
14,小牛在线, 3,A+,85.21,72.5,70.5,0.45,10.14,2013-06-01,广东,9.48,28.11,42.79,25.17,1.52,3.01,42.48
15,鑫合汇, 3,A,84.92,69.5,77.5,0.06,7.03,2013-12-01,浙江,2.89,-0.09,57.55,15.02,1.22,4.89,361.26
16,宜贷网, -4,A,84.88,82.5,85.0,0.67,10.79,2014-01-01,上海,0.1,8.09,4.54,3.06,2.26,4.01,20.11
17,投哪网, -4,A,84.74,78.5,80.0,0.81,8.64,2012-07-01,广东,3.73,-86.02,5.13,25.17,1.55,2.57,17.4
18,博金贷, 1,A,83.75,80.0,63.0,0.46,8.63,2014-09-01,江西,2.06,25.3,5.03,0.46,1.61,4.3,10.53
19,友金所, 3,A,83.6,75.0,58.0,2.71,9.0,2014-10-01,广东,32.39,-8.03,8.59,25.17,1.91,4.5,31.35
20,海融易, 3,A,83.52,50.0,75.0,0.37,7.14,2014-12-01,山东,32.77,-19.14,26.01,2.76,2.82,27.44,60.94
21,有利网, -7,A,83.13,77.5,78.5,1.5,9.16,2013-02-01,北京,9.19,23.87,17.32,27.97,0.63,0.79,94.14
22,道口贷, 6,A,82.72,70.0,82.5,0.33,8.77,2014-12-01,北京,10.17,-30.94,5.05,27.97,2.49,5.73,60.89
23,麻袋理财, -7,A,82.52,72.5,65.5,0.43,8.5,2014-12-01,上海,7.75,46.64,23.02,21.36,0.54,1.1,26.67
24,翼龙贷, -3,A,82.26,75.0,70.5,0.94,9.5,2011-04-01,北京,3.59,-13.07,9.39,27.97,1.2,2.16,37.5
25,银湖网, 2,A,81.42,72.5,51.0,1.54,12.01,2014-07-01,北京,12.52,4.06,5.4,27.97,1.52,2.38,4.58
26,付融宝, 6,A,80.79,67.5,75.0,0.64,10.78,2013-11-01,江苏,1.87,70.03,4.02,3.89,2.17,4.09,4.93
27,融金所, 7,A,80.48,72.5,75.0,0.46,10.26,2013-05-01,广东,11.3,1.42,9.66,25.17,2.39,5.37,78.9
28,和信贷, 1,A,80.04,79.0,79.0,0.09,10.15,2013-08-01,北京,6.36,-26.26,6.47,27.97,4.01,10.05,10.76
29,东方汇, 4,B+,79.87,65.0,61.5,0.64,6.4,2014-06-01,上海,1.25,-38.65,3.79,21.36,1.67,7.09,9.1
30,财富星球, 6,B+,79.47,75.0,75.5,1.04,10.48,2013-10-01,北京,3.08,40.62,1.68,27.97,5.55,7.21,3.4
31,金开贷, -7,B+,79.26,80.0,77.5,0.67,7.67,2013-12-01,陕西,2.42,-41.12,0.4,0.18,4.07,7.51,3.21
32,PPmoney网贷, -7,B+,78.96,77.5,78.0,0.41,9.22,2012-12-01,广东,11.94,-254.34,8.35,25.17,0.89,0.71,51.7
33,民贷天下, -7,B+,78.87,77.5,65.5,1.26,9.76,2014-12-01,广东,0.64,20.51,3.04,25.17,0.7,0.7,3.18
34,玖融网, -3,B+,78.0,69.0,78.5,0.69,11.12,2013-07-01,湖北,8.64,-36.0,0.97,1.3,1.49,2.94,15.02
35,人人聚财, -5,B+,76.65,72.5,71.5,1.18,9.85,2011-11-01,广东,6.24,-16.52,3.39,25.17,6.27,2.04,22.77
36,联金所, 1,B+,76.33,70.0,75.0,1.52,12.58,2013-11-01,广东,6.31,13.59,2.23,25.17,1.05,2.48,8.05
37,理财范, 2,B+,75.99,75.0,73.0,0.83,10.51,2014-03-01,北京,2.0,66.54,6.13,27.97,2.02,4.24,8.16
38,生菜金融, 3,B+,75.74,67.5,60.5,0.43,9.79,2014-09-01,上海,3.62,77.85,3.45,21.36,0.35,0.64,2.4
39,爱钱帮, -1,B+,75.47,77.5,70.5,0.33,10.21,2014-03-01,北京,2.07,-7.48,4.07,27.97,1.71,2.85,78.5
40,短融网, -5,B+,75.25,80.0,71.5,0.59,9.21,2014-06-01,北京,10.78,-120.95,2.15,27.97,6.55,2.36,14.01
41,红岭创投, 4,B+,75.08,67.5,73.0,0.14,8.34,2009-03-01,广东,7.3,-7.88,46.9,25.17,3.17,10.47,213.22
42,图腾贷, -2,B+,74.85,62.5,77.0,0.4,12.02,2014-09-01,四川,22.35,-48.93,4.56,3.06,0.59,2.49,23.83
