序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,95.01,16.1,91.92,6.28,100.0,2.31,27.21,0.5,2.07,37.45
2,宜人贷,A+,89.89,11.12,56.04,11.81,5.68,5.45,23.7,2.48,2.45,122.11
3,拍拍贷,A+,87.14,6.4,41.38,13.31,0.13,1.42,27.21,1.91,1.26,30.43
4,开鑫贷,A+,86.87,10.4,-11.37,6.77,0.65,1.89,2.86,3.89,7.78,40.63
5,人人贷,A+,86.68,10.01,-4.22,9.03,3.18,3.35,23.7,4.6,5.54,128.25
6,宜贷网,A+,85.8,9.69,3.77,10.26,11.88,0.28,2.24,1.45,9.05,8.46
7,微贷网,A+,85.17,13.51,15.98,9.26,12.97,0.45,14.14,1.2,3.3,19.7
8,投哪网,A,83.75,5.82,33.47,10.48,3.85,1.45,23.73,1.97,3.23,54.74
9,小赢理财,A,83.63,7.42,17.25,6.63,7.56,0.72,23.73,4.68,11.24,268.22
10,有利网,A,82.76,7.39,36.31,9.98,3.26,3.11,23.7,1.03,1.31,233.2
11,东方汇,A,82.59,6.19,-5.21,4.98,6.65,0.24,27.21,2.0,9.33,34.82
12,翼龙贷网,A,81.99,16.24,21.56,9.55,5.72,2.29,23.7,1.22,3.68,179.19
13,凤凰金融,A,81.9,11.18,55.1,7.24,14.39,0.72,23.7,1.78,3.97,833.4
14,点融网,A,81.3,7.18,330.3,8.34,1.28,1.01,27.21,2.93,13.07,8.61
15,金开贷,A,80.9,11.94,-6.99,8.25,0.47,0.94,0.15,5.12,16.48,51.56
16,积木盒子,A,80.64,5.6,6.04,8.18,3.36,1.12,23.7,0.24,0.42,434.14
17,海融易,A,80.42,18.53,58.29,7.22,3.04,0.53,2.8,2.79,24.15,155.15
18,麻袋理财,A,80.39,9.21,36.07,9.08,7.71,3.45,27.21,0.5,1.21,243.14
19,银客理财,A,80.31,7.78,-176.79,8.44,0.73,0.79,23.7,3.65,7.7,87.9
20,爱钱进,B+,79.4,14.71,80.03,11.92,5.38,5.17,23.7,2.04,2.46,38.52
21,PPmoney,B+,78.63,3.51,26.57,9.19,8.99,1.43,23.73,2.2,4.48,116.72
22,小牛在线,B+,77.9,10.89,2.48,10.63,14.42,0.43,23.73,2.64,5.72,41.74
23,德众金融,B+,76.18,9.24,-3.73,7.98,0.72,0.89,0.47,3.2,8.97,64.16
24,短融网,B+,75.71,9.85,-6.62,10.04,0.05,0.38,23.7,12.39,3.87,3.82
25,红岭创投,B+,75.65,18.67,-5.08,9.11,13.08,0.37,23.73,2.53,8.44,190.01
26,团贷网,B+,74.78,6.95,26.1,10.66,10.15,1.02,23.73,1.22,2.84,46.29
27,你我贷,B+,74.4,9.61,26.44,11.59,5.13,4.1,27.21,0.52,0.78,62.64
28,北京众信金融,B+,73.62,13.08,-7.46,9.15,2.86,0.81,23.7,5.91,25.97,241.2
29,链家理财,B+,73.6,2.69,-168.97,6.88,2.64,0.31,23.7,1.29,5.05,1.94
30,金宝保,B+,73.56,6.25,-7.56,5.88,1.25,1.12,0.62,4.65,19.5,12.37
31,道口贷,B+,73.53,7.68,22.27,9.12,1.26,0.73,23.7,3.99,11.63,37.71
32,理财范,B+,73.34,9.98,11.34,9.47,1.79,0.89,23.7,9.75,19.95,167.04
33,理想宝,B+,72.71,6.28,-6.81,9.48,1.59,0.45,23.73,6.53,17.53,3.44
34,玖融网,B+,72.41,9.53,40.35,12.11,0.63,1.42,0.97,1.82,3.54,7.57
35,鑫合汇,B+,71.88,10.94,4.05,9.03,20.23,0.1,14.14,27.06,104.59,45.64
36,银湖网,B+,71.87,3.39,-39.14,11.86,0.35,1.8,23.7,10.96,17.09,3.47
37,民贷天下,B+,70.91,9.91,9.03,7.38,10.8,0.4,23.73,2.75,8.81,6.9
38,91旺财,B+,70.9,17.91,11.35,7.8,3.61,0.23,23.7,5.45,12.75,1.62
39,铜掌柜,B+,70.85,4.39,-0.7,8.93,3.26,0.44,14.14,10.37,21.32,35.86
40,人人聚财,B+,70.5,4.75,-56.96,12.26,1.05,1.4,23.73,9.41,3.3,34.98
41,付融宝,B+,70.45,6.85,22.26,10.2,1.27,0.94,2.86,26.49,10.47,83.94
42,腾邦创投,B+,70.22,5.32,-114.92,14.67,0.64,0.01,23.73,1.39,11.93,11.96
43,恒大金服,B+,70.13,90.18,46.05,7.2,0.48,2.74,23.73,7.23,10.95,0.03
44,诺诺镑客,B+,70.05,16.32,46.99,11.49,1.25,2.97,27.21,0.81,1.29,27.96
45,和信贷,B,69.78,7.95,24.52,13.27,1.22,1.14,23.7,4.7,9.7,10.09
46,生菜金融,B,69.15,7.37,-7.72,8.51,1.13,1.08,27.21,1.44,7.81,19.81
47,万盈金融,B,68.26,19.27,55.96,13.21,0.89,1.47,23.73,2.88,6.74,5.96
48,广州e贷,B,67.61,6.5,35.99,10.04,0.65,0.81,23.73,9.25,26.59,2.18
49,钜宝盆,B,67.43,11.57,57.57,8.49,4.03,4.47,27.21,1.3,4.47,21.84
50,鹏金所,B,66.15,6.25,52.01,6.23,9.14,0.96,23.73,2.62,12.94,0.08
51,银豆网,B,65.67,9.34,34.61,12.75,0.67,1.85,23.7,4.81,17.12,130.31
52,广信贷,B,65.16,8.08,45.52,13.5,0.73,1.22,23.7,2.22,6.48,7.56
53,大麦理财,B,64.81,3.04,4.76,9.94,0.81,0.66,23.73,28.71,57.36,37.87
54,珠宝贷,B,64.77,8.4,11.69,11.43,2.09,0.49,23.73,10.26,28.42,0.82
55,首金网,B,64.73,94.12,73.18,8.53,6.13,0.38,23.7,16.02,18.53,1.57
56,合拍在线,B,64.67,6.76,-1.19,9.93,0.99,0.29,23.73,10.87,25.61,1.93
57,中瑞财富,B,64.16,6.25,1.23,7.66,1.24,0.48,23.7,8.92,28.47,8.77
58,奇乐融,B,63.5,14.6,-13.32,6.95,1.37,0.44,0.47,5.82,22.41,5.09
59,融金所,B,62.66,8.17,10.65,12.47,2.08,0.75,23.73,1.91,5.29,17.55
60,博金贷,B,62.61,7.74,61.24,5.77,3.1,0.28,0.39,3.99,19.33,6.07
61,友金所,B,62.53,10.79,39.23,10.0,0.66,5.41,23.73,4.18,9.7,12.78
62,向上金服,B,61.69,18.52,11.44,9.2,8.27,0.3,23.7,12.77,24.58,10.17
63,抱财网,B,61.53,5.33,22.74,12.31,0.91,1.01,23.7,14.29,24.99,15.48
64,口贷网,B,61.29,0.37,91.75,16.33,0.38,0.76,2.24,9.12,28.56,0.01
65,汉金所,B,61.26,9.09,-20.2,8.47,0.42,1.22,0.97,4.13,10.41,4.74
66,一起好,B,61.21,4.99,-20.58,12.18,0.75,1.14,0.97,2.04,3.9,27.81
67,华人金融,B,60.89,6.12,38.77,8.3,2.66,0.53,23.73,23.91,57.79,0.44
68,果树财富,B,60.55,12.19,-14.32,15.22,0.23,0.91,23.73,1.94,3.0,16.41
69,迷你贷,B,60.49,8.91,7.44,12.78,0.89,0.26,23.73,6.43,12.05,8.63
70,拓道金服,B,60.43,18.08,7.64,12.36,0.75,0.45,14.14,1.27,3.34,1.18
