序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,95.5,38.8,58.82,8.09,94.07,5.29,13.97,0.91,5.7,6.66
2,宜人贷,A+,93.52,35.31,52.45,11.58,18.31,5.73,28.69,8.11,6.92,53.23
3,开鑫贷,A+,88.82,26.98,3.54,7.86,11.33,1.83,3.49,3.93,82.37,71.98
4,人人贷,A+,87.73,30.69,54.27,9.64,10.38,4.34,28.69,13.7,13.91,57.51
5,点融网,A+,86.18,41.59,19.04,7.89,11.72,1.43,13.97,2.17,197.45,6.74
6,微贷网,A+,85.93,36.76,8.04,9.84,33.52,0.43,12.99,1.39,6.47,6.98
7,拍拍贷,A+,85.9,31.47,8.93,14.96,0.74,1.46,13.97,2.93,1.01,21.66
8,宜贷网,A+,85.53,43.12,2.27,10.47,62.77,0.21,2.6,2.85,73.65,4.77
9,积木盒子,A,84.45,26.43,2.51,7.68,21.46,0.74,28.69,0.15,0.39,113.02
10,小牛在线,A,82.64,68.46,8.72,12.08,65.88,0.66,29.23,22.75,47.63,63.22
11,投哪网,A,82.56,24.8,11.94,10.08,16.79,1.02,29.23,4.45,6.74,24.91
12,有利网,A,82.33,44.03,16.55,10.11,12.28,2.97,28.69,2.0,0.98,149.31
13,PPmoney,A,82.12,41.61,8.25,8.93,95.53,0.38,29.23,5.24,18.58,94.13
14,翼龙贷网,A,81.85,43.56,59.55,10.09,25.58,1.9,28.69,2.11,8.71,139.55
15,你我贷,A,81.58,37.9,42.46,11.82,22.06,4.78,13.97,0.29,0.35,43.22
16,麻袋理财,A,81.17,50.98,1.54,11.57,26.31,5.04,13.97,1.07,1.97,90.44
17,爱投资,A,81.14,35.04,4.92,11.74,18.41,1.66,28.69,12.59,29.03,82.96
18,爱钱进,A,80.62,43.73,85.85,12.95,16.7,5.97,28.69,4.67,4.61,19.35
19,银湖网,A,80.36,51.79,32.71,10.21,6.79,1.96,28.69,14.74,23.36,1.67
20,鑫合汇,B+,79.97,24.56,3.85,8.94,75.87,0.14,12.99,446.07,3876.39,85.42
21,链家理财,B+,79.83,35.06,8.32,7.95,92.32,0.33,28.69,4.22,60.79,34.98
22,红岭创投,B+,78.95,25.67,2.24,9.29,74.52,0.34,29.23,10.81,86.42,152.08
23,德众金融,B+,76.22,39.33,60.52,8.84,6.29,3.18,0.66,8.55,70.56,61.12
24,银客网,B+,75.77,30.45,-48.08,9.57,11.1,0.86,28.69,24.36,125.24,117.04
25,金开贷,B+,75.41,33.91,219.56,5.77,0.75,1.56,0.34,11.97,123.06,68.84
26,诺诺镑客,B+,74.52,49.42,78.11,11.48,4.38,3.72,13.97,0.68,1.14,14.02
27,短融网,B+,74.38,32.17,7.56,10.33,4.86,0.32,28.69,155.79,25.87,0.94
28,理财范,B+,73.85,33.98,38.9,11.83,8.35,1.32,28.69,57.29,163.16,93.73
29,民贷天下,B+,72.96,45.88,18.48,7.57,25.08,0.32,29.23,2079.1,1879.85,3.02
30,合拍在线,B+,72.41,19.84,10.27,11.99,4.72,0.47,29.23,105.99,257.44,1.71
31,北京众信金融,B+,72.18,28.88,42.05,10.55,16.79,1.1,28.69,81.8,926.39,234.0
32,金宝保,B+,71.8,30.84,2.67,7.44,5.68,1.35,0.81,9.76,435.4,41.7
33,皮城金融,B+,71.59,26.28,31.6,7.64,4.9,0.86,12.99,20.15,537.4,6.84
34,珠宝贷,B+,70.96,22.54,-8.54,12.18,7.81,0.54,29.23,144.53,585.9,0.33
35,腾邦创投,B+,70.8,44.55,21.56,13.66,10.52,0.65,29.23,80.32,971.12,71.69
36,理想宝,B+,70.01,31.67,11.06,12.82,13.02,0.59,29.23,135.23,149.54,3.5
37,团贷网,B,69.76,36.94,14.97,12.22,31.69,0.93,29.23,1.42,5.66,27.03
38,网利宝,B,67.88,39.03,8.18,10.04,14.67,0.53,28.69,679.14,1349.39,7.07
39,银豆网,B,67.65,26.89,19.37,12.7,2.5,1.95,28.69,82.31,422.44,111.73
40,铜掌柜,B,66.46,31.97,11.49,10.23,27.97,0.32,12.99,144.01,333.81,23.01
41,玖融网,B,66.44,26.25,12.33,13.68,1.61,0.89,1.02,6.3,10.45,3.72
42,道口贷,B,65.47,39.78,-4.76,8.96,6.59,0.76,28.69,19.8,123.85,20.57
43,91旺财,B,65.08,26.58,-6.87,8.04,8.46,0.29,28.69,6.11,145.05,1.36
44,一起好,B,64.96,27.7,5.16,14.27,5.65,1.12,1.02,5.08,13.51,33.37
45,信融财富,B,64.79,36.67,36.27,15.89,8.35,1.17,29.23,4.02,12.63,108.19
46,鹏金所,B,63.62,34.42,-28.58,7.46,17.7,0.6,29.23,87.01,469.78,0.81
47,邦帮堂,B,63.54,12.66,89.43,9.58,2.56,1.64,28.69,30.15,99.8,1.74
48,向上金服,B,63.53,88.4,106.39,9.61,5.3,0.55,28.69,41.14,37.96,4.15
49,招商贷,B,62.75,25.59,11.25,13.16,7.2,0.79,0.4,31.61,95.52,3.22
50,金融工场,B,62.53,23.38,-32.79,8.97,11.1,0.63,28.69,937.0,1596.51,67.48
51,金联储,B,62.37,43.14,5.37,9.4,17.87,0.37,28.69,529.04,1309.92,3.48
52,抱财网,B,62.25,39.7,-9.75,11.53,5.08,0.7,28.69,205.59,695.0,5.74
53,生菜金融,B,61.75,34.39,-28.97,8.62,3.82,0.89,13.97,2.92,13.91,22.16
54,钜宝盆,B,61.17,45.27,132.96,9.87,14.19,5.17,13.97,1.71,7.09,14.73
55,普惠理财,B,61.16,25.21,28.42,9.71,1.69,0.54,28.69,121.58,512.13,0.48
56,付融宝,B,60.9,40.73,17.98,11.08,6.12,0.75,3.49,145.11,218.6,57.37
57,中瑞财富,B,60.88,19.5,-12.0,9.08,6.26,0.37,28.69,4549.67,430.19,1.44
58,和信贷,B,60.77,18.31,62.07,13.56,5.21,0.92,28.69,37.62,79.1,4.44
59,友金所,B,60.3,57.7,66.71,10.0,4.39,5.84,29.23,15.11,64.32,8.71
60,广州e贷,B,60.08,33.25,22.48,11.97,5.18,0.93,29.23,37.34,170.6,0.84
