序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金服,A+,92.06,3.72,22.61,7.42,41.15,2.76,24.31,0.49,1.66,95.96
2,宜人贷,A+,91.27,10.87,53.38,11.79,10.15,3.96,24.22,2.58,2.41,113.63
3,人人贷,A+,88.84,8.08,32.54,9.28,4.24,2.86,24.22,3.48,3.17,107.73
4,开鑫金服,A+,87.98,8.11,30.58,6.67,14.86,1.69,3.02,3.39,17.92,38.67
5,微贷网,A+,87.26,12.93,7.62,8.52,31.27,0.31,15.66,1.21,2.82,52.08
6,小赢理财,A+,86.77,2.73,40.88,6.97,28.17,0.84,25.56,0.48,1.23,113.01
7,投哪网,A+,86.02,7.31,-0.8,10.03,5.26,1.14,25.56,2.57,2.93,39.81
8,拍拍贷,A+,85.88,21.71,53.94,13.58,9.76,1.38,24.31,0.2,0.55,131.25
9,宜贷网,A+,85.17,5.0,5.25,9.8,15.71,0.42,2.1,1.62,5.94,15.67
10,积木盒子,A,84.94,7.63,10.62,8.19,8.25,0.8,24.22,0.25,0.47,59.55
11,点融网,A,84.45,3.95,-83.63,7.95,0.26,1.06,24.31,0.04,0.12,3.09
12,爱钱进,A,83.93,12.87,71.04,11.39,11.68,3.89,24.22,1.15,1.91,10.72
13,凤凰金融,A,83.59,4.75,125.71,6.23,15.14,1.48,24.22,1.46,2.27,795.21
14,有利网,A,82.5,7.73,59.69,10.21,7.87,2.87,24.22,1.16,1.15,52.97
15,麻袋理财,A,82.33,11.59,33.69,8.7,15.3,2.47,24.31,0.44,0.84,10.06
16,翼龙贷,A,81.45,7.02,-90.36,10.49,4.12,1.94,24.22,1.48,2.64,59.31
17,Ppmoney,A,81.28,3.23,12.74,9.53,9.3,1.04,25.56,0.72,0.8,19.24
18,东方汇,A,81.27,8.89,12.77,5.13,9.57,0.29,24.31,1.61,13.0,0.84
19,你我贷,A,80.66,10.46,-1.37,11.24,7.41,2.55,24.31,0.15,0.89,37.43
20,民贷天下,B+,79.53,7.72,6.9,7.04,18.03,0.45,25.56,0.81,1.51,5.89
21,小牛在线,B+,79.34,5.78,-5.41,9.96,19.56,0.55,25.56,2.5,4.67,50.66
22,银客网,B+,78.77,1.67,-122.31,8.06,0.65,0.51,24.22,3.68,6.2,6.08
23,海融易,B+,78.38,14.42,79.89,7.5,8.04,0.6,3.08,4.87,40.18,147.88
24,北京众信金融,B+,78.04,11.81,-3.87,7.61,6.39,0.42,24.22,7.32,27.69,129.26
25,理财范,B+,77.89,8.2,15.18,9.52,3.53,0.79,24.22,4.55,8.24,11.02
26,团贷网,B+,77.45,7.13,3.19,10.71,16.19,1.12,25.56,3.15,5.46,1.32
27,金开贷,B+,76.46,14.93,-136.3,7.64,0.55,0.87,0.15,5.5,13.98,4.76
28,红岭创投,B+,76.15,6.91,-3.0,7.94,26.05,0.26,25.56,2.38,6.78,166.92
29,链链金融,B+,75.5,99.7,18.53,6.0,0.74,0.22,24.22,1.36,3.95,11.53
30,广州e贷,B+,75.3,9.87,-64.85,9.05,0.59,0.59,25.56,1.04,6.66,2.24
31,短融网,B+,74.63,4.88,23.73,10.37,1.48,0.52,24.22,11.74,3.71,6.23
32,银湖网,B+,74.55,1.74,-216.69,12.03,0.13,2.39,24.22,0.21,0.36,1.12
33,道口贷,B+,73.89,11.77,-0.38,8.59,2.35,0.47,24.22,4.13,9.14,66.56
34,生菜金融,B+,73.37,3.68,-0.83,8.79,3.03,0.21,24.31,1.16,4.54,3.29
35,91旺财,B+,73.23,11.04,-7.37,7.64,5.71,0.21,24.22,1.73,9.29,144.41
36,恒大金服,B+,72.61,90.18,37.52,7.2,2.94,1.84,25.56,4.59,13.61,0.11
