序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
37,鑫合汇,B+,72.05,14.47,6.7,7.78,35.9,0.21,15.66,7.97,34.58,84.28
38,人人聚财,B+,71.87,6.18,11.52,10.13,2.61,0.82,25.56,8.95,2.72,29.39
39,铜掌柜,B+,71.63,4.21,22.12,8.75,5.26,0.67,15.66,9.18,18.17,17.13
40,奇乐融,B+,70.7,4.13,-76.9,7.05,0.34,0.67,0.47,0.88,2.04,4.3
41,诺诺镑客,B+,70.45,9.26,14.08,11.28,1.82,1.93,24.31,0.64,0.87,15.93
42,融金所,B+,70.04,7.2,23.55,11.89,4.29,0.85,25.56,2.04,4.29,37.16
43,玖融网,B,69.61,5.46,25.67,11.8,0.72,1.36,0.93,2.2,3.62,6.78
44,银豆网,B,69.46,8.78,59.68,12.83,2.08,1.47,24.22,1.8,6.88,5.77
45,理想宝,B,69.18,5.79,23.41,10.69,3.28,0.42,25.56,4.85,8.88,6.49
46,博金贷,B,68.79,6.43,69.25,5.69,6.63,0.24,0.4,3.64,12.98,9.41
47,和信贷,B,68.6,8.25,25.26,13.04,2.03,1.15,24.22,4.69,7.2,8.12
48,钜宝盆,B,68.29,12.49,-29.93,8.0,2.86,4.34,24.31,0.87,2.75,6.5
49,中瑞财富,B,67.96,8.82,4.57,7.26,1.9,0.23,24.22,9.24,27.23,0.59
50,联连理财,B,67.19,22.98,11.66,10.49,4.3,0.24,24.31,0.31,0.64,4.71
51,万盈金融,B,66.89,13.92,41.74,12.61,1.6,1.32,25.56,2.99,5.72,3.14
52,付融宝,B,66.68,6.4,53.94,9.79,3.49,0.71,3.02,15.59,8.18,11.22
53,广信贷,B,66.66,19.38,11.04,11.7,1.89,0.74,24.22,1.99,4.79,20.15
54,友金所,B,66.2,51.7,67.17,9.0,1.36,4.21,25.56,7.6,4.64,3.62
55,珠宝贷,B,65.73,5.94,-16.31,10.69,2.38,0.41,25.56,8.32,17.5,2.17
56,口袋理财,B,65.59,18.6,2.63,8.23,26.28,0.35,24.31,0.31,0.56,37.76
57,拓道金服,B,64.68,11.16,15.32,11.46,1.71,0.5,15.66,1.23,2.68,6.81
58,抱财网,B,64.25,5.79,24.26,11.82,1.27,0.93,24.22,9.27,14.89,10.59
59,首金网,B,64.09,30.42,25.46,8.41,14.19,0.38,24.22,3.17,12.25,16.63
60,果树财富,B,63.92,11.25,2.72,14.01,0.47,0.62,25.56,2.04,2.35,2.23
61,汉金所,B,63.82,5.77,-41.45,8.04,0.5,0.81,0.93,3.3,8.72,5.75
62,合拍在线,B,63.65,4.8,11.79,10.57,1.71,0.51,25.56,10.44,22.55,6.53
63,腾邦创投,B,63.15,1.93,-76.57,14.9,0.65,0.02,25.56,0.86,33.05,18.48
64,今日捷财,B,62.62,6.1,24.54,9.14,0.48,0.62,24.31,2.81,6.07,2.02
65,金联储,B,62.15,8.7,17.0,10.11,6.68,0.34,24.22,20.17,38.2,13.42
66,信融财富,B,62.1,4.88,45.23,13.3,2.21,1.16,25.56,0.79,1.99,11.79
67,向上金服,B,61.8,1.08,99.04,10.12,22.22,0.23,24.22,7.21,24.24,2.4
68,口贷网,B,61.36,6.12,-22.8,16.35,0.68,0.59,2.1,9.77,24.44,10.09
69,看看钱包,B,61.12,7.0,45.72,8.52,0.19,0.49,0.22,23.4,38.29,2.44
70,华人金融,B,60.76,5.07,13.8,8.65,4.06,0.5,25.56,21.96,46.33,1.01
