序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,94.6,10.64,40.84,7.0,100.0,2.68,27.88,0.44,2.12,119.73
2,宜人贷,A+,92.0,11.85,51.25,11.67,4.36,4.49,22.51,2.33,2.42,108.01
3,人人贷,A+,89.56,8.34,-10.52,9.27,2.13,3.06,22.51,4.38,4.04,122.03
4,微贷网,A+,88.79,12.0,20.88,9.29,9.58,0.37,13.52,1.23,2.8,22.01
5,开鑫金服,A+,88.22,7.92,34.43,6.71,1.74,1.87,2.7,3.1,11.08,42.07
6,拍拍贷,A+,87.73,14.03,36.06,14.59,0.49,1.2,27.88,0.23,0.25,120.49
7,宜贷网,A+,86.98,9.81,9.2,10.79,8.32,0.46,27.88,1.55,6.47,8.98
8,投哪网,A+,86.14,7.18,46.43,10.69,2.75,1.34,25.13,2.11,2.93,70.37
9,小赢理财,A,85.21,30.62,-18.89,6.85,7.5,0.88,25.13,0.69,1.71,137.85
10,凤凰金融,A,84.46,11.35,47.18,7.28,8.81,1.03,22.51,1.57,3.36,923.4
11,点融网,A,83.19,4.04,-79.75,8.18,0.44,0.91,27.88,0.04,0.23,8.31
12,积木盒子,A,82.71,6.15,2.71,8.03,1.64,0.87,22.51,0.26,0.42,435.08
13,麻袋理财,A,82.41,9.67,38.36,8.86,4.81,2.88,22.51,0.41,0.8,316.85
14,有利网,A,82.25,6.98,45.75,10.04,2.37,2.83,22.51,1.27,1.13,255.39
15,PPmoney,A,81.78,5.81,5.6,9.56,5.53,1.06,25.13,0.75,1.05,148.33
16,爱钱进,A,81.57,13.71,74.09,11.93,3.62,4.41,22.51,0.39,2.07,47.16
17,翼龙贷,A,81.17,11.49,22.08,11.52,3.72,1.99,22.51,1.06,2.59,190.78
18,银客理财,A,80.81,4.08,-216.15,8.34,0.28,0.57,2.71,3.32,5.15,48.1
19,东方汇,A,80.07,7.29,9.26,5.11,5.16,0.31,27.88,2.01,10.15,25.75
20,你我贷,B+,79.51,10.11,9.19,11.27,3.02,3.06,27.88,0.69,1.17,66.5
21,海融易,B+,79.05,8.84,62.02,8.04,2.42,0.99,2.71,4.96,41.12,192.85
22,民贷天下,B+,78.75,5.48,6.38,7.8,4.77,0.58,25.13,0.84,1.24,8.7
23,链链金融,B+,78.49,1.04,3.3,6.0,0.39,0.28,22.51,1.25,5.4,49.44
24,金开贷,B+,78.29,11.57,-79.51,7.69,0.22,1.03,0.15,4.33,14.04,40.07
25,理财范,B+,78.08,7.31,23.51,9.47,1.21,0.81,22.51,5.71,9.37,164.72
26,红岭创投,B+,77.96,5.61,-10.55,8.11,7.29,0.27,25.13,2.52,6.86,162.37
27,团贷网,B+,77.13,10.49,28.32,11.49,9.11,1.05,25.13,2.72,5.35,60.18
28,短融网,B+,76.48,5.4,22.76,10.74,0.55,0.59,22.51,10.6,3.95,8.21
29,北京众信金融,B+,76.04,7.96,-9.06,7.51,1.54,0.46,22.51,6.92,23.92,94.04
30,小牛在线,B+,75.65,8.71,-19.15,10.22,7.85,0.47,25.13,2.48,4.66,34.26
31,银湖网,B+,75.61,2.6,-521.29,10.61,0.01,1.22,22.51,3.16,2.09,3.63
32,生菜金融,B+,74.82,3.16,-3.91,8.74,0.84,0.26,27.88,1.24,4.03,12.84
33,恒大金服,B+,74.24,90.37,12.86,7.05,1.22,2.12,25.13,5.5,17.89,0.15
34,玖融网,B+,73.79,7.97,37.5,12.14,0.35,1.58,0.92,1.88,3.67,13.33
35,广州e贷,B+,73.54,6.14,-8.62,9.47,0.23,0.81,25.13,2.27,5.56,1.05
36,91旺财,B+,72.69,14.46,7.89,7.7,2.39,0.2,22.51,4.4,9.29,1.38
37,道口贷,B+,72.45,8.1,37.68,8.76,1.02,0.56,22.51,3.7,8.95,38.48
38,理想宝,B+,71.23,5.24,18.47,10.13,1.11,0.45,25.13,5.83,11.49,5.19
39,铜掌柜,B+,70.54,3.38,23.33,9.06,1.9,0.64,13.52,10.08,17.33,77.26
40,和信贷,B,69.92,6.15,34.96,13.27,0.69,1.15,22.51,4.92,7.71,13.91
41,融金所,B,69.73,7.57,10.71,12.12,1.31,0.95,25.13,2.15,4.77,21.44
42,诺诺镑客,B,69.42,12.74,-6.23,11.36,0.54,2.12,27.88,0.79,0.85,26.78
43,人人聚财,B,68.75,3.46,-9.76,10.73,0.77,0.96,25.13,8.96,2.76,29.53
44,付融宝,B,68.53,5.37,28.94,10.12,0.72,0.81,2.7,21.19,8.43,93.11
45,鑫合汇,B,68.37,10.3,6.82,8.14,13.85,0.21,13.52,23.88,85.92,59.94
46,广信贷,B,67.84,14.11,44.1,12.63,0.68,1.09,22.51,2.16,5.29,8.64
47,博金贷,B,67.75,7.56,65.14,5.42,2.13,0.23,0.37,3.83,14.87,7.55
