序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,陆金服, 0,A+,96.25,83.5,79.73,2.15,8.43,2012-06-01,上海,6.1,14.32,100.0,26.51,0.65,1.54,24.16
2,宜人贷, 1,A+,94.06,93.0,84.93,1.57,7.5,2012-07-01,北京,5.99,-5.81,21.64,34.51,0.51,0.86,111.21
3,人人贷, -1,A+,91.55,92.0,84.67,1.88,12.15,2010-10-01,北京,5.86,7.41,13.99,34.51,0.81,1.02,50.68
4,玖富普惠, 0,A+,89.7,89.5,83.0,1.01,8.5,2013-03-01,北京,3.65,-4.37,87.88,34.51,0.38,0.84,67.2
5,拍拍贷, 0,A+,88.04,79.0,77.53,0.61,12.36,2007-06-01,上海,4.77,3.34,22.43,26.51,0.25,0.54,103.83
6,微贷网, 0,A+,87.84,88.0,82.67,0.3,6.62,2011-08-01,浙江,5.76,-2.11,40.9,14.43,0.93,1.94,99.94
7,小赢网金, 1,A+,86.83,79.0,77.87,0.72,7.83,2014-08-01,广东,3.64,48.88,20.8,18.95,0.27,0.53,28.37
8,51人品, -1,A+,85.57,85.5,81.93,0.33,9.8,2015-01-01,浙江,6.25,2.66,92.2,14.43,0.54,1.3,92.17
9,麻袋财富, 1,A+,85.37,79.0,77.53,1.55,9.81,2014-12-01,上海,5.06,28.58,17.66,26.51,0.36,0.8,16.77
10,爱钱进, 1,A,84.57,83.0,82.27,0.45,9.35,2014-05-01,北京,7.06,-15.41,52.1,34.51,0.88,1.23,29.49
11,翼龙贷, -2,A,84.06,92.0,81.67,0.57,8.65,2014-04-01,北京,3.97,-28.9,11.61,34.51,0.66,1.55,42.19
12,桔子理财, 1,A,83.82,83.0,78.6,0.37,8.6,2014-06-01,广东,5.67,32.43,15.16,21.32,0.25,0.4,53.91
13,你我贷, -1,A,83.47,79.0,75.3,0.98,11.38,2011-06-01,上海,87.32,0.62,23.83,26.51,0.23,0.58,59.81
14,铜板街, 3,A,82.97,80.5,71.6,0.23,8.05,2012-09-01,浙江,6.46,0.23,21.2,14.55,0.68,0.74,140.37
15,有利网, 0,A,82.41,92.5,83.8,0.53,9.64,2013-02-01,北京,7.39,-86.15,11.8,34.51,0.36,0.44,82.29
16,凤凰金融, -2,A,82.3,86.5,82.2,0.86,8.25,2014-12-01,北京,9.06,12.89,15.43,34.51,0.36,0.69,38.97
17,积木盒子, -1,A,82.1,95.5,84.6,1.08,8.68,2013-08-01,北京,1.76,-25.57,9.52,34.51,0.35,0.72,13.58
18,点融网, 1,A,81.63,87.0,78.67,1.65,9.99,2014-11-01,上海,1.02,-73.19,6.32,26.51,0.57,0.52,6.8
19,挖财财米, -1,A,81.13,88.5,74.73,0.44,7.8,2015-10-01,浙江,5.57,-7.35,24.0,14.55,0.3,0.49,90.55
20,PPmoney网贷, 0,A,80.49,89.0,81.37,0.87,9.49,2012-12-01,广东,7.89,-1.1,19.65,18.95,0.34,0.64,34.76
21,友金所, 2,B+,79.7,82.5,78.0,0.34,9.0,2014-10-01,广东,8.14,-17.37,5.31,18.95,1.01,1.29,19.05
22,团贷网, 0,B+,79.4,89.5,77.33,0.27,11.77,2012-07-01,广东,19.06,-21.53,31.64,18.95,0.75,1.66,40.35
23,投哪网, -2,B+,79.0,92.0,78.67,0.85,9.29,2012-07-01,广东,2.4,-19.58,4.66,18.95,0.82,1.15,24.12
24,洋钱罐, 2,B+,78.71,88.5,83.73,0.52,13.16,2015-09-01,北京,2.91,7.54,20.56,34.51,0.19,0.63,4.58
25,网信普惠, -1,B+,78.25,90.0,77.13,0.18,11.0,2013-07-01,北京,6.79,7.64,8.47,34.51,0.95,1.17,9.63
26,和信贷, -1,B+,77.62,83.0,84.57,0.38,15.18,2013-08-01,北京,5.39,-57.72,7.0,34.51,1.23,1.07,10.23
27,捞财宝, 4,B+,76.65,87.0,78.67,1.52,10.94,2015-07-01,上海,0.41,-8.46,8.53,26.51,0.62,1.35,25.21
28,搜易贷, -1,B+,76.35,86.5,81.7,0.59,8.5,2014-09-01,北京,1.46,-92.27,1.22,34.51,1.27,1.38,0.91
29,信而富, -1,B+,75.87,69.0,64.87,0.79,9.0,2014-07-01,上海,5.69,-48.44,4.47,23.04,0.1,0.26,4.2
30,首E家, 0,B+,74.63,76.0,83.27,0.38,7.02,2015-07-01,北京,6.17,-6.78,4.77,34.51,0.32,1.19,4.81
31,91旺财, -2,B+,74.29,86.5,72.53,0.28,7.41,2014-03-01,北京,5.96,-3.82,9.01,34.51,1.91,7.69,211.62
32,e融所, 0,B+,73.67,79.0,78.53,1.55,11.97,2015-11-01,广东,1.22,-40.4,1.45,18.95,1.08,1.29,10.04
33,向上金服, 0,B+,72.89,90.0,79.13,0.56,11.61,2013-08-01,北京,10.25,-59.3,4.51,34.51,0.89,1.45,1.48
34,海融易, 1,B+,72.29,90.5,82.6,0.27,6.8,2014-12-01,山东,6.33,-2.71,5.47,3.42,0.36,1.69,2.3
35,融贝网, 5,B+,71.64,74.0,75.2,0.98,9.68,2014-03-01,北京,2.71,7.79,5.05,34.51,0.91,2.36,41.7
36,红岭创投, -2,B+,70.69,78.0,67.93,0.23,10.54,2009-03-01,广东,3.59,47.68,35.06,18.95,2.83,12.67,198.25
37,民贷天下, -1,B,69.82,82.0,74.6,1.04,10.28,2014-12-01,广东,7.1,-19.34,4.25,18.95,1.14,2.27,2.6
38,首金网, 3,B,68.29,85.5,74.93,0.59,9.04,2015-12-01,北京,2.56,-28.4,1.96,34.51,0.22,0.54,2.9
39,网利宝, 3,B,67.71,89.0,83.87,0.39,10.88,2014-08-01,北京,4.95,-7.09,6.62,34.51,8.05,6.42,27.75
40,博金贷, -3,B,65.62,88.0,74.6,0.33,7.77,2014-09-01,江西,8.03,0.89,5.93,0.56,0.84,2.95,11.05
41,拓道金服, 2,B,65.3,73.0,90.73,0.42,9.46,2013-12-01,浙江,2.17,6.23,4.29,14.43,0.82,2.86,18.13
42,笑脸金融, -4,B,64.96,82.5,59.8,0.13,8.0,2015-07-01,广东,6.35,1.91,10.2,18.95,0.2,0.71,39.84
43,麦子金服财富, -4,B,63.87,64.5,71.0,0.24,14.0,2009-06-01,上海,2.45,-26.0,2.34,26.51,0.33,1.03,8.6
44,嘉石榴, 2,B,63.5,83.5,75.37,0.49,8.84,2015-06-01,浙江,2.46,-38.0,0.98,14.43,1.06,2.67,7.34
45,鹏金所, 3,B,63.15,71.5,75.33,0.43,7.11,2015-01-01,广东,0.09,4.72,0.49,18.95,0.91,1.49,1.03
46,钱香, -1,B,62.65,83.0,79.6,0.49,10.07,2015-05-01,上海,11.01,-36.5,1.87,26.51,2.93,7.21,20.97
47,掌众财富, 0,B,62.35,84.0,82.67,0.52,22.55,2014-10-01,北京,6.25,-6.7,4.86,34.51,0.22,0.85,28.59
48,银多网, 0,B,62.29,87.0,81.67,0.56,8.1,2014-10-01,黑龙江,18.03,-130.39,0.23,0.08,0.27,0.16,1.08
49,爱投金融, 0,B,61.89,79.5,72.87,0.26,8.52,2011-12-01,上海,3.72,40.87,1.43,26.51,1.25,4.49,7.12
50,达人贷, 0,B,61.64,80.0,75.13,0.77,23.76,2014-12-01,广东,10.34,-6.24,1.05,18.95,0.96,2.05,8.16
