序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,陆金服, 0,A+,96.13,77.5,76.92,2.21,8.46,2012-06-01,上海,21.58,10.82,96.55,25.47,0.76,1.8,39.16
2,拍拍贷, 2,A+,94.07,77.5,72.92,0.59,12.36,2007-06-01,上海,4.59,-11.27,19.65,25.47,0.31,0.54,51.16
3,人人贷, 0,A+,92.58,89.0,82.83,1.83,9.52,2010-10-01,北京,5.44,14.44,17.25,32.99,3.71,3.12,55.43
4,宜人贷, -2,A+,90.78,89.0,83.83,1.53,8.85,2012-07-01,北京,13.66,8.45,23.39,32.99,2.42,2.43,24.05
5,玖富普惠, 1,A+,88.94,83.0,79.83,0.71,10.15,2013-03-01,北京,6.42,0.48,100.0,32.99,0.53,2.59,57.81
6,51人品, 1,A+,87.43,83.0,79.83,1.4,12.6,2015-01-01,浙江,3.63,4.65,9.76,15.84,1.22,0.96,29.6
7,微贷网, -2,A+,86.3,80.0,76.33,0.35,6.89,2011-08-01,浙江,4.59,0.83,40.44,13.59,1.88,2.85,41.9
8,小赢网金, 1,A+,85.39,78.0,70.0,0.83,7.85,2014-08-01,广东,6.44,48.88,21.51,20.41,0.34,0.41,37.6
9,翼龙贷, 2,A+,85.09,79.0,74.17,0.7,9.17,2014-04-01,北京,3.0,-19.71,10.98,32.99,0.95,1.62,38.58
10,爱钱进, -2,A,84.88,81.5,79.58,1.89,10.29,2014-05-01,北京,8.55,-36.31,24.69,32.99,1.49,1.8,32.37
11,麻袋财富, -1,A,84.41,73.0,70.67,1.43,10.35,2014-12-01,上海,4.41,32.52,70.12,25.47,0.21,0.53,23.33
12,你我贷, 1,A,84.41,68.0,69.83,0.96,10.28,2011-06-01,上海,6.26,-81.27,10.81,25.47,0.84,0.72,59.03
13,有利网, -1,A,83.54,87.0,80.5,1.14,9.5,2013-02-01,北京,7.34,-27.7,11.77,32.99,0.81,0.76,48.37
14,凤凰金融, 1,A,82.75,80.0,79.33,1.32,8.4,2014-12-01,北京,4.09,38.69,21.14,32.99,0.67,1.04,55.18
15,桔子理财, -1,A,82.48,74.0,75.6,0.36,7.45,2014-06-01,广东,8.14,6.86,9.54,21.32,1.11,1.31,46.86
16,积木盒子, 1,A,82.27,90.0,81.0,1.05,9.85,2013-08-01,北京,6.23,-0.3,4.97,32.99,1.02,0.93,0.02
17,点融网, -1,A,81.99,79.0,68.17,1.74,9.63,2014-11-01,上海,9.96,-2.42,13.89,25.47,0.31,0.8,0.08
18,挖财财米, 0,A,81.97,84.0,79.5,0.43,7.98,2015-10-01,浙江,2.58,-23.36,22.97,14.55,0.16,0.89,69.29
19,铜板街, 0,A,81.41,82.0,77.4,0.23,8.05,2012-09-01,浙江,6.22,-1.51,10.68,14.55,0.38,1.39,61.18
20,PPmoney网贷, 4,A,81.16,84.0,79.5,0.93,8.79,2012-12-01,广东,2.53,54.74,17.74,20.41,0.28,0.35,37.95
21,投哪网, -1,A,80.08,82.0,72.67,1.09,9.12,2012-07-01,广东,2.52,-13.15,3.98,20.41,0.89,1.23,16.71
22,和信贷, 0,B+,79.86,77.0,81.83,0.08,8.38,2013-08-01,北京,4.26,-43.01,8.71,32.99,1.97,4.31,0.3
23,友金所, -2,B+,79.58,80.0,67.33,2.25,9.0,2014-10-01,广东,9.84,-16.81,4.22,20.41,7.12,4.88,20.94
24,团贷网, -1,B+,79.15,83.0,76.83,1.42,10.57,2012-07-01,广东,7.38,-11.94,12.14,20.41,2.52,2.57,49.47
25,网信普惠, 1,B+,78.84,89.0,79.5,0.18,7.23,2013-07-01,北京,7.25,3.27,6.36,32.99,1.8,2.36,83.74
26,信而富, -1,B+,78.05,84.5,81.08,0.76,8.26,2014-07-01,上海,6.35,-2.69,9.51,23.04,0.21,1.54,42.61
27,红岭创投, -1,B+,77.93,80.0,80.5,0.08,9.43,2009-03-01,广东,6.3,-11.31,47.88,20.41,1.37,3.83,73.91
28,首E家, 4,B+,77.3,78.5,75.2,0.33,7.15,2015-07-01,北京,1.3,47.0,4.33,32.99,0.33,0.76,3.91
29,搜易贷, -1,B+,76.55,79.0,78.17,0.79,8.6,2014-09-01,北京,6.04,-5.68,12.99,32.99,1.21,3.55,0.56
30,杉易贷, 2,B+,75.13,82.0,67.67,0.42,10.09,2014-09-01,广东,4.8,6.79,0.78,20.41,1.37,2.66,1.79
31,91旺财, 2,B+,74.9,76.0,76.5,0.16,7.15,2014-03-01,北京,4.38,-13.25,7.82,32.99,3.2,7.79,27.88
32,钜宝盆, 5,B+,73.97,62.5,71.42,2.35,9.0,2015-05-01,上海,7.09,-286.1,1.59,25.47,1.51,3.31,10.74
33,洋钱罐, 2,B+,73.17,84.5,81.08,0.41,11.95,2015-09-01,北京,1.3,-10.43,29.6,32.99,0.18,0.36,12.63
34,向上金服, 0,B+,72.13,85.0,76.17,0.2,9.31,2013-08-01,北京,1.49,-4.41,15.46,32.99,2.29,3.31,0.21
35,捞财宝, 1,B+,71.27,71.5,72.0,0.77,9.85,2015-07-01,上海,6.0,-10.88,13.75,25.47,1.08,4.57,41.84
36,e融所, 4,B+,70.62,73.0,70.17,2.32,10.43,2015-11-01,广东,2.22,1.97,1.22,20.41,1.74,1.89,0.71
37,海融易, 5,B,69.7,78.0,74.5,0.04,12.0,2014-12-01,山东,8.33,-22.57,3.76,29.42,26.51,31.62,0.86
38,民贷天下, 0,B,68.63,80.0,67.83,1.27,10.08,2014-12-01,广东,5.5,-36.69,5.01,20.41,0.34,0.37,3.33
39,笑脸金融, 0,B,67.51,74.5,71.6,0.24,7.0,2015-07-01,广东,5.38,-20.86,10.41,20.41,0.24,0.54,11.87
40,博金贷, 0,B,66.56,78.0,75.8,0.2,7.85,2014-09-01,江西,4.35,-52.24,4.58,0.58,1.3,2.89,11.36
41,嘉石榴, 3,B,65.78,75.0,73.8,0.51,8.45,2015-06-01,浙江,4.52,-57.03,1.64,13.59,1.1,2.68,4.69
42,网利宝, 4,B,64.59,82.0,79.67,0.34,8.98,2014-08-01,北京,4.28,-4.95,6.16,32.99,6.33,8.63,22.19
43,钱香, 0,B,64.22,83.0,74.83,0.34,9.43,2015-05-01,上海,4.74,-3.01,2.08,25.47,4.83,9.72,31.75
44,首金网, -3,B,63.84,82.0,71.67,0.5,8.61,2015-12-01,北京,7.95,-47.11,4.27,32.99,0.37,0.63,3.72
45,麦子金服财富, 0,B,63.45,78.0,74.5,0.52,10.04,2009-06-01,上海,1.05,-22.91,3.2,25.47,1.3,1.89,2.4
46,鹏金所, 0,B,63.25,75.0,73.8,0.47,7.08,2015-01-01,广东,1.8,-102.32,1.3,20.41,1.06,2.83,2.3
47,e路同心, 2,B,63.14,70.0,68.67,0.99,8.19,2014-08-01,广东,1.86,-124.31,0.78,20.41,0.96,1.2,0.96
48,生菜金融, 0,B,62.65,75.5,67.58,1.45,10.85,2014-09-01,上海,6.83,-58.36,0.62,25.47,2.47,2.36,2.24
49,钱盆网, -4,B,62.49,76.5,71.2,0.57,12.45,2014-08-01,广西,13.49,-14.44,5.31,0.24,0.79,0.83,29.4
50,奇乐融, 0,B,62.1,79.0,69.17,0.36,6.88,2015-10-01,安徽,10.71,7.24,1.13,0.69,2.1,5.17,7.69
