序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,陆金服, 0,A+,95.91,82.5,76.5,2.51,8.43,2012-06-01 00:00:00,上海,4.35,9.09,100.0,22.16,1.13,2.35,43.16
2,宜人贷, 0,A+,93.9,77.5,83.0,2.29,11.67,2012-07-01 00:00:00,北京,5.98,27.23,39.5,100.0,2.35,2.73,141.51
3,拍拍贷, 0,A+,91.79,83.5,71.0,0.7,12.74,2007-06-01 00:00:00,上海,3.13,35.01,30.67,22.16,0.27,0.58,57.76
4,人人贷, 0,A+,89.92,87.5,83.0,2.09,9.53,2010-10-01 00:00:00,北京,5.79,50.56,20.92,100.0,1.16,3.27,51.09
5,爱钱进, 1,A+,88.76,75.0,83.0,2.19,10.28,2014-05-01 00:00:00,北京,9.81,48.28,49.91,100.0,1.44,1.85,33.9
6,微贷网, -1,A+,88.07,80.0,81.0,0.38,7.01,2011-08-01 00:00:00,浙江,3.98,4.81,50.4,15.84,1.62,2.93,104.1
7,小赢网金, 1,A+,87.54,85.0,75.5,0.97,7.89,2014-08-01 00:00:00,广东,6.85,11.05,41.66,22.41,0.68,1.15,34.69
8,凤凰金融, 2,A+,87.38,80.0,74.0,0.83,7.18,2014-12-01 00:00:00,北京,3.32,-586.69,3.66,100.0,1.4,3.48,60.76
9,团贷网, -2,A+,86.91,80.0,80.0,1.65,10.59,2012-07-01 00:00:00,广东,6.64,50.85,22.01,22.41,3.21,3.04,42.71
10,积木盒子, -1,A+,85.97,85.0,83.0,1.25,9.89,2013-08-01 00:00:00,北京,0.12,2.82,14.3,100.0,0.77,1.0,0.02
11,点融网, 1,A+,85.54,77.5,67.5,1.9,8.52,2014-11-01 00:00:00,上海,4.3,-3.94,22.91,22.16,0.71,1.98,0.61
12,有利网, 1,A+,85.28,80.0,78.5,1.52,9.08,2013-02-01 00:00:00,北京,8.97,24.55,23.24,100.0,0.7,0.84,96.45
13,你我贷, -2,A,84.87,82.5,69.0,1.15,10.35,2011-06-01 00:00:00,上海,6.13,3.96,35.51,22.16,0.76,1.08,62.65
14,麻袋财富, 1,A,83.74,70.0,69.0,1.63,10.38,2014-12-01 00:00:00,上海,9.92,26.97,86.11,22.16,0.34,1.01,24.73
15,翼龙贷, 3,A,82.61,77.5,70.5,0.84,9.35,2011-04-01 00:00:00,北京,2.23,23.61,15.37,100.0,1.23,2.21,40.64
16,51人品, 0,A,82.57,82.5,75.5,1.4,12.6,2015-01-01 00:00:00,浙江,3.63,4.65,9.76,15.84,1.22,0.96,29.6
17,东方汇, 6,A,82.02,62.5,66.5,0.79,6.55,2014-06-01 00:00:00,上海,0.94,-886.34,0.4,22.16,0.61,1.96,37.26
18,博金贷, 1,A,81.76,80.0,63.0,0.51,9.06,2014-09-01 00:00:00,江西,2.78,42.82,7.1,0.46,1.41,3.62,9.8
19,投哪网, -3,A,80.72,76.0,80.0,0.96,8.77,2012-07-01 00:00:00,广东,2.39,-41.84,6.51,22.41,0.71,2.29,16.6
20,道口贷, -6,A,80.68,75.0,82.5,0.34,8.99,2014-12-01 00:00:00,北京,3.04,17.46,5.44,100.0,2.54,5.25,77.38
21,友金所, 1,A,80.02,75.0,64.0,2.55,9.0,2014-10-01 00:00:00,广东,11.81,47.02,9.94,22.41,4.42,3.95,20.8
22,宜贷网, -2,B+,79.66,82.5,80.0,0.39,10.26,2014-01-01 00:00:00,上海,0.32,2.85,39.0,22.16,1.33,4.53,6.22
23,鑫合汇, -6,B+,79.53,60.0,77.5,0.06,7.04,2013-12-01 00:00:00,浙江,11.21,0.06,73.07,15.84,1.2,4.65,29.95
24,民贷天下, 1,B+,79.49,77.5,67.5,1.18,9.78,2014-12-01 00:00:00,广东,1.79,19.7,7.11,22.41,0.48,0.67,3.91
25,Ppmoney网贷, -1,B+,79.37,80.0,78.0,0.51,8.81,2012-12-01 00:00:00,广东,6.11,-101.05,12.61,22.41,0.82,0.71,46.56
26,和信贷, 3,B+,78.93,79.0,81.0,0.09,9.37,2013-08-01 00:00:00,北京,4.53,14.98,11.85,100.0,5.69,12.27,12.48
27,银湖网, -1,B+,78.49,75.0,63.0,1.56,12.0,2014-07-01 00:00:00,北京,1.18,51.3,8.56,100.0,1.42,2.3,0.55
28,小牛在线, -7,B+,77.45,67.5,70.0,0.92,10.28,2013-06-01 00:00:00,广东,5.86,-44.94,45.34,22.41,1.06,1.71,21.96
29,金开贷, 2,B+,77.39,82.5,77.5,0.58,7.6,2013-12-01 00:00:00,陕西,8.05,-148.17,0.5,0.18,3.62,7.28,2.44
30,财富星球, -3,B+,77.27,72.5,75.5,1.04,10.54,2013-10-01 00:00:00,北京,0.45,-49.77,2.77,100.0,4.57,6.91,2.0
31,融金所, -3,B+,77.12,72.5,75.0,0.6,10.55,2013-05-01 00:00:00,广东,3.6,30.33,11.64,22.41,2.04,3.76,43.5
