序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,91.62,0.2,0.0,7.7,5.23,3.55,7.49,2.58,8.18,4.26
2,人人贷,A+,90.76,0.19,0.0,11.65,3.93,4.58,5.28,42.46,9.81,30.22
3,微贷网,A+,89.92,0.2,0.0,12.03,21.58,0.89,11.8,4.96,6.05,97.57
4,宜人贷,A+,89.41,0.04,0.0,12.54,60.53,5.67,5.28,6.72,26.58,18.82
5,拍拍贷,A+,89.09,0.18,0.01,13.94,0.45,1.33,7.49,16.85,1.19,32.85
6,积木盒子,A+,88.61,0.22,0.0,8.96,10.43,0.48,5.28,26.67,66.78,13.69
7,有利网,A+,88.34,0.22,0.0,10.38,18.69,2.82,5.28,4.46,1.31,202.42
8,红岭创投,A+,87.94,0.19,0.0,10.25,72.06,0.4,16.7,7.62,17.4,323.41
9,投哪网,A+,87.26,0.22,0.0,10.58,11.97,0.55,16.7,10.77,12.5,38.16
10,翼龙贷网,A+,86.66,0.05,0.0,17.28,14.29,1.82,5.28,1.85,7.49,16.38
11,小牛在线,A+,85.37,0.2,0.0,13.65,20.21,1.46,16.7,10.41,9.68,25.46
12,金宝保,A,84.54,0.22,0.0,8.6,9.25,1.49,0.86,20.6,403.57,45.5
13,爱投资,A,84.03,0.19,0.0,11.58,13.14,1.49,5.28,6.8,8.41,712.28
14,你我贷,A,83.95,0.2,0.0,12.84,13.49,4.74,7.49,9.78,16.61,31.76
15,鑫合汇,A,82.07,0.2,0.04,10.97,100.0,0.15,11.8,221.88,488.49,276.3
16,一起好,A,81.52,0.2,0.0,17.27,6.35,0.94,2.21,16.81,14.03,58.92
17,宜贷网,A,80.89,0.19,0.29,11.5,20.01,0.47,3.93,3.46,5.33,12.37
18,365易贷,A,80.6,0.17,0.0,15.48,0.28,0.88,5.95,36.17,10.87,5.34
19,融金所,A,80.25,0.21,0.0,16.41,14.82,0.58,16.7,13.28,19.96,36.11
20,爱钱进,A,79.54,0.21,0.0,13.52,13.97,5.65,5.28,15.01,6.77,107.92
21,PPmoney,A,78.71,0.21,0.0,9.4,43.85,0.39,16.7,3.36,4.25,224.23
22,合时代,A,76.44,0.22,0.01,15.74,11.4,0.27,16.7,93.38,222.96,16.51
23,E速贷,A,76.41,0.21,0.0,15.79,2.88,0.46,16.7,8.87,8.88,8.52
24,银湖网,A,76.39,0.25,0.0,13.5,6.22,2.44,5.28,15.75,21.41,4.66
25,合拍在线,A,75.81,0.19,0.0,13.81,6.49,0.3,16.7,73.28,98.77,8.07
26,玖融网,A,75.67,0.21,0.13,17.32,2.05,0.72,2.21,14.82,11.79,11.87
27,团贷网,B+,74.94,0.21,0.0,14.3,11.13,0.94,16.7,7.51,9.89,33.06
28,理财范,B+,74.4,0.2,0.0,13.62,14.96,1.32,5.28,68.1,117.59,126.51
29,银客网,B+,74.27,0.19,0.0,10.21,11.12,0.85,5.28,53.6,152.9,17.23
30,金海贷,B+,73.86,0.16,0.0,16.38,1.42,1.29,16.7,69.28,70.19,7.75
31,广信贷,B+,73.42,0.19,0.0,17.31,2.24,0.26,5.28,29.61,39.34,22.98
32,温州贷,B+,72.94,0.19,0.0,11.27,10.19,0.14,11.8,9.6,17.96,12.34
33,新新贷,B+,72.08,0.19,0.0,10.96,1.61,1.41,7.49,12.47,32.88,11.0
34,和信贷,B+,71.99,0.19,0.02,15.36,7.0,0.91,5.28,24.0,30.17,8.49
35,温商贷,B+,71.76,0.19,0.0,14.15,9.39,0.87,11.8,121.64,84.2,17.26
36,理想宝,B+,71.38,0.21,0.21,14.51,17.23,0.41,16.7,75.96,132.4,207.17
37,珠宝贷,B+,71.24,0.19,0.0,14.14,18.14,0.41,16.7,172.33,564.34,1.96
38,皮城金融,B+,70.65,0.08,0.17,8.58,17.37,0.78,11.8,42.14,786.69,3.12
39,汇通易贷,B+,70.45,0.22,0.0,12.45,1.37,0.58,16.7,30.24,37.54,4.87
40,民贷天下,B+,70.18,0.17,0.0,9.63,11.54,0.8,16.7,72.35,203.84,5.96
41,短融网,B,69.98,0.21,0.05,12.44,4.85,0.2,5.28,103.01,87.04,6.72
42,铜掌柜,B,69.79,0.25,0.01,12.43,28.36,0.24,11.8,236.02,233.14,115.18
43,招商贷,B,69.47,0.21,0.29,16.65,9.37,0.28,0.77,77.19,111.67,9.55
44,合盘贷,B,68.7,0.16,0.21,12.85,1.77,0.82,7.49,18.64,42.58,7.3
45,金融工场,B,68.57,0.05,0.17,9.4,15.41,0.26,5.28,397.99,508.82,149.93
46,德众金融,B,68.2,0.19,0.0,10.02,4.27,3.25,5.09,42.58,214.78,62.77
47,四达投资,B,67.95,0.2,0.0,17.01,1.43,0.65,3.93,6.53,3.68,25.12
48,北京众信金融,B,67.89,0.24,0.0,11.46,19.82,1.1,5.28,119.37,887.53,231.48
49,口贷网,B,67.12,0.18,0.0,18.0,1.57,0.47,3.93,45.08,737.28,8.49
50,金联储,B,66.9,0.2,0.0,9.91,14.75,0.49,5.28,142.14,122.63,7.25
51,网利宝,B,66.43,0.2,0.32,12.13,12.37,0.5,5.28,248.09,184.9,19.63
52,迷你贷,B,63.84,0.25,0.0,18.0,3.15,0.17,16.7,13.6,20.37,35.21
53,道口贷,B,63.46,0.24,0.0,8.86,8.53,0.76,5.28,16.65,112.12,36.92
54,安心贷,B,62.9,0.35,0.0,13.31,1.51,1.36,5.28,25.68,51.15,17.57
55,生菜金融,B,62.48,0.19,0.0,9.04,2.82,0.72,7.49,4.3,26.02,22.79
