序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,93.91,37.15,-5.61,8.04,90.19,5.05,14.47,1.01,5.75,1.34
2,开鑫贷,A+,89.15,28.1,-65.38,8.13,12.22,1.68,2.36,4.39,135.58,61.8
3,宜人贷,A+,88.07,36.45,2.9,11.59,19.1,5.48,28.27,7.61,6.84,52.76
4,点融网,A+,87.24,41.66,20.09,8.0,10.49,1.69,14.47,8.22,144.73,6.44
5,拍拍贷,A+,87.19,30.13,17.0,14.9,0.75,1.38,14.47,3.33,1.24,21.55
6,人人贷,A+,86.59,32.82,58.4,9.85,11.21,4.12,28.27,13.21,14.18,60.1
7,微贷网,A+,85.6,36.53,10.2,10.42,30.88,0.42,10.85,1.4,6.42,7.24
8,宜贷网,A,84.43,43.63,1.86,10.65,56.3,0.2,2.41,2.58,60.15,4.36
9,投哪网,A,84.35,25.12,20.4,10.45,18.04,0.97,31.09,4.92,7.16,19.78
10,积木盒子,A,84.26,26.42,1.34,8.33,10.87,0.88,28.27,0.23,0.33,76.84
11,翼龙贷网,A,83.78,47.76,43.78,11.22,29.49,1.8,28.27,2.0,8.8,146.09
12,有利网,A,83.73,44.58,36.07,10.18,12.77,2.95,28.27,1.87,0.92,155.25
13,小牛在线,A,82.19,68.52,29.83,12.19,79.44,0.71,31.09,30.16,64.08,70.73
14,PPmoney,A,81.34,43.36,5.35,9.17,100.0,0.34,31.09,4.96,18.19,75.55
15,麻袋理财,A,80.76,57.38,12.18,11.62,28.73,4.95,14.47,1.29,2.21,88.3
16,你我贷,A,80.16,38.61,56.47,11.75,20.84,4.62,14.47,0.34,0.42,41.83
17,爱钱进,A,80.05,45.82,90.61,13.46,17.41,5.71,28.27,4.82,4.85,17.78
18,链家理财,B+,79.92,35.95,21.38,8.04,111.13,0.34,28.27,3.75,68.67,51.85
19,红岭创投,B+,79.84,26.13,-0.92,9.75,72.24,0.3,31.09,11.1,86.1,145.62
20,银湖网,B+,78.79,43.75,54.05,10.91,6.26,2.06,28.27,13.56,22.45,1.76
21,爱投资,B+,77.24,34.62,6.66,11.94,16.46,1.66,28.27,11.82,25.16,83.87
22,鑫合汇,B+,77.12,24.02,-0.53,8.88,66.78,0.15,10.85,321.56,202.48,96.85
23,短融网,B+,76.73,34.98,7.53,10.89,4.95,0.32,28.27,171.69,28.64,0.72
24,银客网,B+,75.97,23.03,-73.16,9.48,8.42,0.78,28.27,38.68,194.88,44.04
25,德众金融,B+,75.56,42.93,60.98,9.04,6.54,3.2,0.62,8.82,72.4,59.02
26,北京众信金融,B+,74.91,24.01,50.58,10.63,15.11,1.1,28.27,85.16,935.55,230.85
27,诺诺镑客,B+,74.06,48.77,79.88,11.52,3.68,3.73,14.47,0.56,1.09,12.94
28,金开贷,B+,73.04,19.84,46.51,6.54,1.99,0.91,0.23,21.95,327.05,41.9
