序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,陆金服, 1,A+,93.34,85.0,77,3.29,8.08,2012-06-01,上海,18.38,625.92,100.0,25.57,1.0,2.43,189.49
2,拍拍贷, -1,A+,90.95,72.5,73,0.84,14.86,2007-06-01,上海,8.34,-176.19,41.21,25.57,0.19,0.6,66.54
3,点融网, -1,A,87.73,85.0,67,2.13,13.76,2014-11-01,上海,8.31,-1.37,31.78,25.57,0.18,0.79,0.45
4,麻袋理财, -2,A,85.96,80.0,83,2.06,7.94,2014-12-01,上海,4.18,-59.53,19.65,25.57,0.6,1.34,15.41
5,你我贷, 1,A,85.28,87.5,78,1.28,10.55,2011-06-01,上海,12.23,7.22,24.91,25.57,0.4,0.56,58.8
6,东方汇, -3,A,81.65,60.0,67,0.33,5.15,2014-06-01,上海,2.01,-9.69,11.63,25.57,2.49,10.32,0.1
7,生菜金融, -1,B+,77.69,29.0,62,0.71,9.22,2014-09-01,上海,7.31,7.9,13.27,25.57,0.43,1.29,2.1
8,口袋理财, 2,B+,73.65,35.0,61,0.09,8.05,2015-11-01,上海,6.49,-31.59,33.33,25.57,0.31,0.5,27.12
9,米缸金融, 1,B+,71.16,62.25,67,0.94,7.89,2015-02-01,上海,17.13,1.31,3.21,25.57,3.05,6.15,0.27
10,联连理财, -2,B,68.29,42.5,67,0.14,14.13,2015-12-01,上海,4.87,15.34,8.49,25.57,0.16,0.47,8.16
11,钜宝盆, 4,B,67.11,68.75,78,3.77,8.0,2015-05-01,上海,8.22,13.88,9.26,25.57,0.78,3.1,8.8
12,永利宝, 2,B,66.04,70.0,56,1.22,9.49,2013-11-01,上海,7.38,1.67,2.63,25.57,0.49,1.53,2.15
13,沪商财富, 1,B,63.88,44.0,84,0.79,13.91,2014-06-01,上海,6.83,42.16,1.97,25.57,2.42,4.49,15.31
14,宜人贷, 0,A+,95.68,70.0,83,3.18,11.67,2012-07-01,北京,45.64,875.37,44.07,24.38,2.09,2.42,160.18
15,人人贷, 0,A+,90.41,85.0,83,2.66,9.53,2010-10-01,北京,7.74,40.15,13.34,24.38,1.0,2.19,45.64
16,凤凰金融, -1,A,87.81,44.5,90,1.14,6.62,2014-12-01,北京,6.18,-25.2,29.91,24.38,3.92,10.49,443.46
17,有利网, 0,A,87.69,78.75,83,2.01,9.55,2013-02-01,北京,9.93,52.56,27.52,24.38,0.63,0.81,82.66
18,爱钱进, 2,A,87.15,65.0,83,3.22,10.29,2014-05-01,北京,16.11,76.36,68.59,24.38,1.36,1.77,25.41
19,翼龙贷, -1,A,86.59,82.5,83,1.09,8.86,2011-04-01,北京,6.47,-40.18,19.17,24.38,1.02,2.07,78.45
20,积木盒子, 0,A,85.79,85.0,83,1.18,8.88,2013-08-01,北京,22.35,0.46,24.64,24.38,0.26,0.42,0.06
21,和信贷, -1,A,83.42,75.0,83,0.12,11.57,2013-08-01,北京,16.91,-11.22,12.13,24.38,4.75,10.35,14.58
22,银湖网, 2,A,82.9,60.0,72,3.37,12.03,2014-07-01,北京,10.4,0.32,8.43,24.38,1.41,2.49,68.49
23,道口贷, 2,A,81.86,72.5,83,0.39,8.37,2014-12-01,北京,10.59,20.98,9.74,24.38,3.27,7.77,97.99
24,财富星球, -4,A,81.34,82.5,83,0.81,8.4,2013-10-01,北京,7.34,-2.09,2.13,24.38,1.87,7.35,21.65
25,短融网, 0,B+,78.78,77.5,61,1.55,12.0,2014-06-01,北京,11.02,3.2,3.62,24.38,1.66,2.54,2.92
