序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,93.56,14.55,95.91,6.17,100.0,2.15,25.8,0.54,2.23,23.44
2,宜人贷,A+,89.06,9.98,54.45,11.61,6.21,3.23,24.25,2.49,2.44,88.69
3,开鑫贷,A+,87.68,8.82,7.47,7.01,1.78,1.69,3.18,3.61,9.29,40.62
4,拍拍贷,A+,86.53,13.09,45.04,16.98,2.94,1.57,25.8,0.36,0.58,351.25
5,宜贷网,A+,86.25,7.37,6.22,10.78,11.25,0.4,1.88,1.42,6.15,6.98
6,人人贷,A+,85.29,14.09,17.55,8.46,3.03,2.28,24.25,7.01,6.16,77.68
7,微贷网,A+,85.19,13.17,21.73,9.59,13.2,0.51,13.72,1.24,2.62,15.6
8,点融网,A,84.53,36.16,38.1,10.34,10.45,2.9,25.8,0.18,6.21,27.01
9,投哪网,A,83.54,4.84,33.35,10.25,4.28,1.39,26.5,2.01,2.57,43.58
10,有利网,A,83.02,9.59,35.06,9.95,3.93,2.98,24.25,1.12,0.99,207.78
11,凤凰金融,A,82.51,11.99,32.5,7.64,17.23,0.63,24.25,1.91,4.35,453.4
12,翼龙贷网,A,81.98,11.66,55.55,8.54,6.9,2.27,24.25,1.21,2.84,145.73
13,小赢理财,A,81.39,9.51,7.04,6.54,10.53,0.61,26.5,2.62,6.8,72.55
14,东方汇,A,81.09,7.13,12.32,5.04,7.55,0.28,25.8,2.1,9.53,7.37
15,金开贷,A,81.04,9.55,-16.27,8.43,0.4,1.18,0.17,5.69,17.38,67.0
16,银客理财,A,80.83,6.97,-29.29,9.02,1.54,0.8,24.25,3.71,7.94,104.01
17,积木盒子,A,80.67,5.9,8.88,8.0,4.88,0.96,24.25,0.27,0.48,50.5
18,链家理财,A,80.61,3.58,-28.54,7.96,8.11,0.34,24.25,1.75,6.83,10.42
19,麻袋理财,A,80.31,10.28,32.57,9.64,7.48,3.82,25.8,0.6,1.07,182.46
20,短融网,B+,79.97,7.12,31.17,9.71,1.35,0.37,24.25,10.81,4.65,2.74
21,德众金融,B+,78.37,13.1,3.03,8.07,0.99,0.98,0.54,3.25,8.03,62.73
22,小牛在线,B+,78.29,12.05,24.11,10.9,15.89,0.41,26.5,2.59,4.53,22.87
23,你我贷,B+,78.21,10.85,16.03,11.75,4.41,4.01,25.8,0.45,0.53,55.34
