序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,宜人贷, 0,A+,93.9,65.0,89,3.48,11.68,2012-07-01,北京,73.66,80.29,19.68,24.57,1.96,2.23,118.01
2,陆金服, 0,A+,92.87,82.5,77,3.46,7.97,2012-06-01,上海,0.38,71.88,76.07,27.18,0.88,2.38,93.46
3,人人贷, 1,A+,91.53,81.25,77,2.9,9.5,2010-10-01,北京,8.24,38.33,8.07,24.57,1.76,3.37,90.28
4,拍拍贷, -1,A+,90.34,40.0,73,0.88,13.71,2007-06-01,上海,16.17,33.98,12.4,27.18,0.19,0.51,120.13
5,微贷网, 0,A+,89.9,80.0,77,0.4,7.7,2011-08-01,浙江,8.86,11.66,15.39,17.24,1.01,1.49,117.38
6,开鑫金服, 1,A+,87.6,57.5,83,1.59,6.75,2012-12-01,江苏,6.5,-27.39,4.85,3.5,3.56,13.12,23.25
7,宜贷网, 2,A+,86.83,85.0,84,0.43,10.05,2014-01-01,四川,11.26,10.91,43.33,2.76,1.8,7.31,42.46
8,小赢理财, -2,A+,86.43,51.0,78,1.02,7.44,2014-08-01,广东,5.18,34.69,56.23,23.5,0.25,0.67,115.79
9,投哪网, -1,A+,85.4,58.75,72,0.73,8.2,2012-07-01,广东,10.78,16.33,12.32,23.5,2.1,2.96,50.83
10,有利网, 0,A,84.73,76.25,77,1.98,9.7,2013-02-01,北京,8.73,44.38,11.87,24.57,0.87,0.96,62.0
11,点融网, 0,A,84.31,80.0,73,0.45,7.49,2014-11-01,上海,7.11,-66.29,0.16,27.18,2.5,0.54,4.3
12,凤凰金融, 0,A,83.94,44.5,78,1.08,6.36,2014-12-01,北京,8.54,5.12,22.72,24.57,4.95,10.41,476.81
13,团贷网, 1,A,83.45,62.5,72,0.59,9.47,2012-07-01,广东,3.4,10.35,40.2,23.5,2.07,3.64,31.03
14,翼龙贷, 1,A,83.18,78.75,89,1.23,9.0,2011-04-01,北京,5.98,-50.28,10.76,24.57,1.01,2.06,67.16
15,积木盒子, -2,A,82.75,80.0,83,0.98,8.44,2013-08-01,北京,11.9,19.89,13.62,24.57,0.21,0.36,78.97
16,麻袋理财, 0,A,82.52,63.75,83,2.35,8.17,2014-12-01,上海,18.8,30.71,22.97,27.18,0.37,0.77,14.67
17,你我贷, 4,A,82.27,81.5,79,1.79,10.78,2011-06-01,上海,13.88,4.34,12.32,27.18,0.49,0.64,46.63
18,海融易, -1,A,81.72,56.25,57,0.55,7.45,2014-12-01,山东,2.18,126.61,12.55,2.47,3.9,30.68,225.6
19,爱钱进, 1,A,81.45,67.5,83,3.49,10.29,2014-05-01,北京,14.13,87.25,40.94,24.57,1.13,1.8,19.48
20,东方汇, -2,A,80.97,57.5,78,0.28,5.09,2014-06-01,上海,4.19,4.87,9.87,27.18,1.87,7.65,1.78
21,小牛在线, 3,A,80.52,70.0,71,0.63,9.14,2013-06-01,广东,4.35,-25.15,19.66,23.5,2.29,3.29,46.85
22,鑫合汇, 1,A,80.29,70.0,78,0.09,7.29,2013-12-01,浙江,11.38,6.4,69.79,17.24,2.31,11.34,145.99
23,民贷天下, -4,B+,79.94,72.5,78,0.54,6.84,2014-12-01,广东,4.42,-5.15,12.95,23.5,0.16,1.49,3.23
24,道口贷, 1,B+,79.56,72.5,79,0.45,8.56,2014-12-01,北京,10.79,29.44,5.52,24.57,3.41,7.83,74.7
25,财富星球, 2,B+,79.31,82.5,78,0.87,8.55,2013-10-01,北京,100.0,115.42,3.18,24.57,4.01,19.47,5.16
26,Ppmoney, -4,B+,78.79,77.5,83,0.71,9.21,2012-12-01,广东,100.0,23.32,16.8,23.5,0.56,0.66,39.12
27,人人聚财, 2,B+,78.22,46.75,73,0.93,9.8,2011-11-01,广东,7.21,11.2,3.57,23.5,9.65,2.82,27.14
28,博金贷, 4,B+,78.08,85.0,84,0.24,6.2,2014-09-01,江西,11.96,61.68,12.33,0.41,2.83,11.93,12.45
29,金开贷, -3,B+,77.94,84.0,79,1.07,7.83,2013-12-01,陕西,5.52,-14.06,1.15,0.16,4.21,11.55,2.5
30,银湖网, 1,B+,77.24,65.0,79,2.36,11.73,2014-07-01,北京,12.17,-13.28,5.42,24.57,1.77,3.46,1.44
31,生菜金融, -3,B+,77.09,26.5,74,0.5,8.97,2014-09-01,上海,6.98,17.04,8.14,27.18,0.99,4.79,2.59
32,北京众信金融, -2,B+,76.62,50.0,61,0.82,8.4,2014-06-01,北京,8.97,-14.06,8.37,24.57,5.9,22.72,78.84
33,和信贷, 1,B+,76.53,77.5,83,0.12,12.05,2013-08-01,北京,18.76,-5.44,5.56,24.57,4.63,9.64,13.89
34,玖融网, 3,B+,76.37,51.5,84,1.65,11.79,2013-07-01,湖北,5.27,51.58,1.35,1.17,1.71,3.23,10.87
35,融金所, 4,B+,75.85,32.0,71,0.88,10.64,2013-05-01,广东,8.44,15.99,6.24,23.5,2.37,4.4,46.1
36,短融网, 2,B+,75.07,54.0,78,0.34,9.98,2014-06-01,北京,7.3,-8.1,1.08,24.57,10.72,3.26,4.62
37,理财范, -4,B+,74.98,52.5,73,0.81,9.24,2014-03-01,北京,10.82,7.23,5.73,24.57,2.71,5.8,7.64
38,恒大金服, -3,B+,74.25,16.0,50,1.3,7.11,2016-03-01,广东,111.25,38.53,4.62,23.5,3.43,9.12,1.15
39,友金所, 3,B+,73.81,42.5,72,3.94,9.0,2014-10-01,广东,29.27,92.81,9.34,23.5,1.83,2.61,9.97
40,链链金融, -4,B+,73.5,77.5,80,0.55,6.0,2014-11-01,北京,16.16,50.77,1.51,24.57,0.85,2.31,13.2
41,广信贷, -1,B+,73.29,65.0,77,1.26,12.13,2013-01-01,北京,12.77,33.04,3.9,24.57,1.36,3.88,17.26
42,铜掌柜, -1,B+,72.84,85.0,72,0.71,7.5,2014-10-01,浙江,1.49,13.83,2.6,17.24,4.77,9.39,18.5
43,银豆网, 2,B+,72.45,52.5,84,1.38,12.77,2014-02-01,北京,8.19,76.07,4.82,24.57,1.06,5.0,6.01
44,首金网, 4,B+,71.46,65.0,89,0.57,8.4,2015-12-01,北京,15.24,19.55,16.49,24.57,2.93,10.79,11.31
45,付融宝, 1,B+,70.42,70.0,78,1.34,10.9,2013-11-01,江苏,8.46,6.68,2.5,3.5,24.02,9.95,4.36
46,红岭创投, -3,B,69.85,55.0,67,0.29,8.3,2009-03-01,广东,6.84,-4.59,37.02,23.5,2.78,8.24,181.35
47,广州e贷, -3,B,69.7,75.0,78,0.66,8.76,2015-01-01,广东,10.18,-27.01,1.22,23.5,1.89,4.67,1.23
48,拓道金服, 3,B,69.35,38.0,89,0.64,10.65,2013-12-01,浙江,8.99,35.29,3.47,17.24,1.44,2.98,14.49
49,爱钱帮, 5,B,68.85,67.5,83,0.23,9.49,2014-03-01,北京,20.09,-24.14,8.48,24.57,1.42,3.92,111.42
50,向上金服, 3,B,68.6,62.5,66,0.28,9.97,2013-08-01,北京,0.06,115.47,23.3,24.57,6.97,20.56,2.68
51,理想宝, -4,B,68.27,69.0,72,0.38,9.87,2014-05-01,广东,5.48,-185.04,1.12,23.5,5.14,8.23,3.98
52,联连理财, -2,B,68.2,42.5,61,0.12,9.93,2015-12-01,上海,15.87,43.24,3.93,27.18,0.42,1.08,6.47
53,口袋理财, -1,B,68.06,45.5,55,0.16,7.87,2015-11-01,上海,10.86,-186.33,8.56,27.18,0.33,0.35,35.01
54,联金所, 4,B,67.91,55.5,74,2.8,11.79,2013-11-01,广东,6.1,8.28,1.51,23.5,1.07,2.13,0.87
55,奇乐融, -6,B,67.71,72.5,67,0.36,6.95,2015-10-01,安徽,0.84,10.69,0.86,0.49,0.64,1.75,1.59
56,e融所, 5,B,67.46,48.0,83,0.61,10.35,2015-11-01,广东,21.42,44.12,5.88,23.5,2.08,4.3,5.16
57,图腾贷, 6,B,67.38,55.0,78,0.85,13.22,2014-09-01,四川,6.13,34.84,2.65,2.76,0.77,2.13,8.8
58,汉金所, -1,B,66.71,38.0,72,0.94,8.12,2015-03-01,湖北,6.24,-62.76,0.15,1.17,1.95,5.15,0.21
59,万盈金融, -4,B,66.51,52.0,72,1.12,11.76,2015-05-01,广东,12.02,26.43,2.26,23.5,3.09,5.71,2.89
60,米缸金融, 5,B,66.3,43.5,61,1.0,7.83,2015-02-01,上海,30.13,52.31,4.13,27.18,4.77,7.96,0.67
61,中瑞财富, -5,B,65.85,21.5,67,0.31,7.75,2014-05-01,北京,0.4,-85.54,0.78,24.57,5.07,13.02,5.38
62,腾邦创投, 4,B,65.57,42.0,85,0.0,15.0,2014-09-01,广东,1.42,2.56,0.78,23.5,0.89,36.61,0.2
63,鹏金所, 4,B,65.2,48.0,67,0.65,6.64,2015-01-01,广东,9.14,9.23,14.26,23.5,2.01,9.12,0.72
64,抱财网, -5,B,65.15,67.5,83,1.12,10.95,2014-03-01,北京,8.45,54.43,3.4,24.57,6.12,13.5,6.0
65,果树财富, -5,B,64.91,43.0,78,0.62,11.73,2014-08-01,广东,10.35,30.75,1.02,23.5,1.85,2.44,3.21
66,e路同心, 4,B,64.69,46.5,67,0.93,10.88,2014-08-01,广东,9.59,8.95,6.73,23.5,1.62,3.74,3.39
67,钜宝盆, -5,B,64.5,67.75,61,4.02,8.0,2015-05-01,上海,6.61,44.58,7.27,27.18,0.74,3.05,10.57
68,珠宝贷, -4,B,64.29,62.5,77,0.23,9.49,2014-09-01,广东,8.97,-29.76,3.9,23.5,7.14,19.43,1.58
69,可溯金融, 0,B,63.86,55.0,77,0.32,9.04,2014-09-01,浙江,7.02,9.68,3.14,17.24,2.21,3.31,10.7
70,合拍在线, -2,B,63.47,72.5,84,0.71,10.73,2012-06-01,广东,3.93,16.79,1.95,23.5,9.76,23.44,4.56
71,永利宝, 5,B,63.34,70.0,74,1.18,8.9,2013-11-01,上海,1.21,75.0,0.96,27.18,0.46,0.6,6.36
72,沪商财富, 2,B,62.78,44.0,83,0.9,14.18,2014-06-01,上海,9.02,41.5,1.22,27.18,2.4,4.43,13.09
73,华人金融, 0,B,62.53,21.75,68,0.85,8.76,2015-01-01,广东,5.69,-31.32,3.55,23.5,7.52,23.44,0.55
74,立业贷, 5,B,62.29,41.5,0,1.16,14.59,2014-02-01,广东,9.9,14.32,0.54,23.5,2.12,3.02,6.59
75,看看钱包, -4,B,61.93,35.5,78,0.39,8.56,2015-06-01,湖南,9.43,5.54,0.24,0.23,19.8,37.52,3.46
76,金联储, -4,B,61.59,71.5,83,0.3,10.75,2014-09-01,北京,6.96,-688.68,0.59,24.57,16.45,14.99,4.86
77,91旺财, -2,B,61.07,82.5,78,0.19,7.51,2014-03-01,北京,0.78,-122.33,0.82,24.57,2.54,10.89,45.44
78,新联在线, 2,B,60.64,45.5,78,0.48,10.97,2013-07-01,广东,5.69,52.16,4.06,23.5,1.81,9.51,0.4
79,今日捷财, -2,B,60.42,38.0,79,0.71,9.02,2014-08-01,上海,8.33,19.33,0.72,27.18,1.35,6.03,3.06
80,口贷网, -2,B,60.26,51.5,72,0.6,16.53,2011-01-01,四川,6.05,20.08,1.27,2.76,9.76,26.16,11.25
