序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,94.3,13.63,61.46,6.87,100.0,2.77,27.88,0.47,2.13,111.89
2,宜人贷,A+,90.17,11.94,55.25,11.74,5.3,5.06,22.51,2.22,2.45,120.84
3,拍拍贷,A+,88.91,16.23,35.1,14.78,2.51,1.85,27.88,0.23,0.55,115.29
4,微贷网,A+,87.52,12.68,19.23,9.53,10.44,0.43,13.52,1.17,2.75,21.11
5,人人贷,A+,86.72,9.07,5.09,9.17,2.43,3.11,22.51,4.58,4.43,128.58
6,开鑫贷,A+,85.57,9.76,22.27,6.67,0.88,2.15,2.7,2.94,7.4,41.17
7,投哪网,A+,85.08,6.69,47.35,10.79,3.39,1.49,25.13,2.0,2.93,75.54
8,宜贷网,A,84.12,9.37,9.34,10.75,8.91,0.44,2.12,1.61,7.57,9.03
9,点融网,A,83.65,12.11,39.5,9.23,7.7,2.31,27.88,0.03,0.87,335.96
10,凤凰金融,A,83.18,13.66,49.67,7.34,11.06,0.71,22.51,1.54,3.59,883.4
11,有利网,A,82.52,7.16,47.29,9.96,2.74,2.89,22.51,1.25,1.13,263.35
12,小赢理财,A,82.08,34.49,-156.62,6.64,9.81,0.88,25.13,0.76,2.07,140.84
13,积木盒子,A,82.03,6.59,26.85,8.2,2.34,1.06,22.51,0.28,0.46,447.39
14,东方汇,A,81.53,6.86,4.24,5.09,5.33,0.3,27.88,1.99,9.94,35.53
15,麻袋理财,A,81.18,9.17,34.82,8.97,5.42,3.21,27.88,0.43,0.85,282.67
16,爱钱进,A,81.12,14.11,80.41,11.94,4.38,4.91,22.51,0.5,2.16,45.3
17,海融易,A,81.08,8.21,75.88,8.11,2.29,0.68,2.71,4.86,37.17,176.85
18,翼龙贷网,A,81.04,14.61,27.65,11.71,4.59,2.21,22.51,1.11,2.71,193.21
19,PPmoney,B+,79.75,5.48,2.18,9.31,6.31,1.4,25.13,0.7,0.99,81.5
20,银客理财,B+,79.5,7.02,-215.0,8.56,0.41,0.76,22.51,3.67,5.84,66.27
21,金开贷,B+,78.99,6.49,17.09,7.87,0.32,1.1,0.15,5.16,15.25,48.59
22,链链金融,B+,77.34,1.04,-263.82,6.01,0.7,0.3,22.51,1.26,4.03,0.88
23,红岭创投,B+,77.28,5.22,-7.45,8.73,7.82,0.3,25.13,2.33,6.34,180.89
24,北京众信金融,B+,75.56,9.81,-12.83,7.9,1.77,0.55,22.51,6.14,21.58,149.26
25,短融网,B+,74.64,7.11,21.01,10.52,0.7,0.6,22.51,9.6,3.92,7.89
