序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,陆金服, 0,A+,95.75,82.5,76.5,2.55,8.36,2012-06-01,上海,5.23,14.56,100.0,22.24,1.1,2.34,46.64
2,宜人贷, 0,A+,93.83,77.5,83.0,2.16,11.57,2012-07-01,北京,8.5,29.18,33.17,29.02,2.43,2.72,304.92
3,拍拍贷, 2,A+,92.54,83.5,71.0,0.73,13.25,2007-06-01,上海,6.81,-1.82,27.77,22.24,0.25,0.61,174.21
4,人人贷, 2,A+,90.24,87.5,83.0,2.1,9.47,2010-10-01,北京,6.71,48.1,18.81,29.02,1.14,3.36,49.42
5,微贷网, -2,A+,89.32,80.0,81.0,0.35,7.04,2011-08-01,浙江,4.0,4.41,45.0,15.65,1.61,2.95,98.31
6,爱钱进, 1,A+,88.87,75.0,83.0,2.33,10.28,2014-05-01,北京,10.28,44.56,39.6,29.02,1.43,1.94,32.31
7,团贷网, -3,A+,88.11,80.0,80.0,1.69,10.57,2012-07-01,广东,6.81,53.08,19.41,23.43,3.15,3.0,40.59
8,小赢网金, 4,A+,87.89,85.0,75.5,0.95,7.86,2014-08-01,广东,6.28,1.43,40.41,23.43,0.71,1.25,33.72
9,积木盒子, 4,A+,87.13,85.0,83.0,1.29,9.8,2013-08-01,北京,1.81,30.53,12.62,29.02,0.82,1.08,22.34
10,凤凰金融, -1,A+,86.46,80.0,74.0,0.94,7.17,2014-12-01,北京,4.37,-162.41,9.57,29.02,2.55,6.07,61.4
11,你我贷, -3,A+,85.64,82.5,69.0,1.28,10.49,2011-06-01,上海,5.96,6.66,32.15,22.24,0.71,1.05,59.2
12,点融网, -2,A+,85.2,77.5,67.5,0.9,8.15,2014-11-01,上海,2.64,-12.96,20.44,22.24,0.67,1.93,25.98
13,有利网, 8,A+,85.08,80.0,78.5,1.46,9.1,2013-02-01,北京,9.02,43.45,24.35,29.02,0.66,0.84,93.59
14,道口贷, 8,A+,85.03,75.0,82.5,0.33,8.79,2014-12-01,北京,5.93,7.72,6.17,29.02,2.33,5.34,66.03
15,麻袋财富, 8,A,84.42,70.0,69.0,0.4,8.44,2014-12-01,上海,11.34,38.05,31.28,22.24,0.51,1.09,27.55
16,投哪网, 1,A,83.71,76.0,80.0,0.98,8.74,2012-07-01,广东,2.57,-53.69,6.92,23.43,1.11,2.6,53.62
17,鑫合汇, -2,A,83.21,60.0,77.5,0.06,7.03,2013-12-01,浙江,3.25,-0.01,69.08,15.65,1.2,4.8,327.87
18,翼龙贷, 6,A,82.91,77.5,70.5,0.86,9.61,2011-04-01,北京,2.19,30.31,13.68,29.02,1.18,2.22,43.28
19,博金贷, -1,A,82.22,80.0,63.0,0.51,8.96,2014-09-01,江西,2.47,10.42,6.44,0.45,1.51,3.93,10.36
20,宜贷网, -4,A,82.09,82.5,80.0,2.82,12.88,2014-01-01,上海,0.1,27.66,6.81,22.24,2.66,4.95,33.13
21,小牛在线, -7,A,80.74,67.5,70.0,0.78,10.34,2013-06-01,广东,7.48,-16.56,47.26,23.43,1.24,2.25,24.69
22,友金所, -3,A,80.58,75.0,64.0,2.62,9.0,2014-10-01,广东,15.55,17.99,10.55,23.43,4.59,4.02,33.04
23,东方汇, 6,B+,79.68,62.5,66.5,0.68,6.39,2014-06-01,上海,1.51,-93.61,2.57,22.24,1.2,4.94,5.96
24,PPmoney网贷, 8,B+,79.45,80.0,78.0,0.36,8.87,2012-12-01,广东,8.6,-191.75,9.5,23.43,0.9,0.68,48.75
25,民贷天下, 8,B+,78.6,77.5,67.5,1.19,9.77,2014-12-01,广东,1.48,20.15,6.01,23.43,0.65,0.8,3.05
26,银湖网, -1,B+,78.57,75.0,63.0,1.41,12.0,2014-07-01,北京,15.25,2.9,7.91,29.02,1.53,2.48,5.25
27,财富星球, 3,B+,78.38,72.5,75.5,1.1,10.55,2013-10-01,北京,7.79,18.53,2.45,29.02,5.16,7.13,3.98
28,融金所, -1,B+,78.21,72.5,75.0,0.52,10.18,2013-05-01,广东,4.05,20.37,11.71,23.43,2.27,4.4,39.11
29,和信贷, -1,B+,77.9,79.0,81.0,0.09,9.88,2013-08-01,北京,4.83,4.9,9.08,29.02,5.09,10.72,11.68
30,生菜金融, 8,B+,77.4,79.0,66.5,0.85,10.22,2014-09-01,上海,3.07,27.9,2.89,22.24,0.48,0.74,2.27
31,金开贷, 0,B+,77.35,82.5,77.5,0.56,7.57,2013-12-01,陕西,4.93,-145.23,0.38,0.17,3.96,7.11,3.29
32,人人聚财, 3,B+,76.99,77.5,72.0,0.83,9.67,2011-11-01,广东,5.76,-0.77,4.69,23.43,5.12,1.98,21.08
33,联金所, 3,B+,76.65,70.0,77.0,1.27,11.78,2013-11-01,广东,8.18,-5.22,2.63,23.43,1.14,2.5,8.78
34,红岭创投, 7,B+,75.81,77.5,73.0,0.11,8.17,2009-03-01,广东,7.32,-8.36,56.63,23.43,3.18,10.38,187.53
35,短融网, 5,B+,75.76,85.0,71.5,0.32,8.59,2014-06-01,北京,9.15,-65.43,3.13,29.02,6.18,2.5,13.82
36,玖融网, -2,B+,75.49,76.5,80.0,0.6,10.33,2013-07-01,湖北,6.69,-2.48,1.25,1.28,1.79,3.04,11.29
37,拓道金服, 7,B+,74.99,80.0,82.5,0.23,8.82,2013-12-01,浙江,13.96,-11.27,8.22,15.65,1.4,2.99,23.55
38,首金网, 9,B+,74.58,75.0,70.5,0.67,8.72,2015-12-01,北京,2.29,-5.18,5.42,29.02,0.26,0.55,8.24
39,e融所, 7,B+,74.42,77.5,66.5,2.16,13.11,2015-11-01,广东,7.32,-21.48,4.13,23.43,2.01,3.36,6.58
40,爱钱帮, -1,B+,74.28,82.5,70.5,0.35,9.81,2014-03-01,北京,2.13,2.5,4.94,29.02,1.55,2.5,84.45
41,理财范, -4,B+,73.87,80.0,73.0,0.74,11.13,2014-03-01,北京,12.66,51.56,14.78,29.02,1.25,2.86,13.56
42,广信贷, 3,B+,73.83,82.5,78.0,0.9,12.32,2013-01-01,北京,4.42,30.56,3.89,29.02,2.32,4.63,18.29
43,e路同心, 7,B+,73.43,75.0,70.5,1.17,10.75,2014-08-01,广东,2.6,-75.03,1.66,23.43,0.33,0.58,1.2
44,向上金服, 5,B+,72.88,77.5,79.0,2.16,11.56,2013-08-01,北京,5.67,14.58,18.87,29.02,1.24,2.22,36.5
45,可溯金融, 9,B+,71.5,80.0,76.5,0.18,9.36,2014-09-01,浙江,15.21,2.56,9.68,15.65,1.9,3.83,22.75
46,铜掌柜, 5,B+,71.22,72.5,75.0,1.0,8.61,2014-10-01,浙江,5.59,-55.46,2.32,15.65,4.25,9.67,13.03
47,链链金融, 9,B+,71.21,77.5,81.0,0.79,6.08,2014-11-01,北京,1.3,50.02,0.48,29.02,0.52,1.24,30.32
48,口袋理财, 0,B+,71.07,62.5,55.0,0.44,7.08,2015-11-01,上海,2.98,-17.02,8.11,22.24,0.23,0.14,32.05
49,米缸金融, 6,B+,70.79,70.0,70.5,0.21,9.12,2015-02-01,上海,9.26,-1782.27,0.32,22.24,0.91,3.16,11.52
50,奇乐融, 8,B+,70.32,81.5,70.5,0.42,6.93,2015-10-01,安徽,9.3,41.48,1.71,0.53,1.58,4.98,4.87
51,汉金所, 1,B+,70.22,75.0,58.0,1.39,9.59,2015-03-01,湖北,4.47,-195.15,0.18,1.28,1.58,3.17,0.85
52,联连普金, 1,B,69.89,70.0,62.5,0.68,13.61,2015-12-01,上海,1.23,-11.6,1.43,22.24,0.6,0.9,5.65
53,钜宝盆, 6,B,69.33,70.0,73.5,2.76,8.57,2015-05-01,上海,6.75,28.38,6.65,22.24,1.09,3.13,10.85
54,鹏金所, 8,B,69.27,77.5,70.5,0.63,7.05,2015-01-01,广东,2.6,-543.29,1.63,23.43,1.43,3.94,4.86
55,广州e贷, 2,B,68.88,85.0,81.5,0.87,9.83,2015-01-01,广东,4.63,-36.08,0.82,23.43,1.38,3.37,0.64
56,万盈金融, 8,B,68.44,65.0,73.0,0.7,10.97,2015-05-01,广东,10.98,44.29,5.38,23.43,2.21,4.91,4.37
57,抱财网, 3,B,68.37,62.5,74.5,0.56,9.73,2014-03-01,北京,13.87,69.51,9.49,29.02,4.41,9.18,38.6
58,91旺财, 10,B,68.14,77.5,75.0,0.2,7.28,2014-03-01,北京,3.89,19.41,11.56,29.02,2.7,7.79,301.89
59,立业贷, 6,B,67.56,77.5,80.0,0.73,11.81,2014-02-01,广东,7.08,-6.44,0.55,23.43,2.18,2.6,5.71
60,网利宝, 10,B,67.3,72.5,79.5,0.44,8.55,2014-09-01,北京,5.22,18.74,10.07,29.02,6.18,11.19,22.1
61,杉易贷, 10,B,67.06,82.5,64.0,0.52,9.86,2014-09-01,广东,11.46,11.84,1.41,23.43,1.88,4.68,1.3
62,理想宝, -1,B,66.93,61.5,70.0,0.32,10.13,2014-05-01,广东,7.86,20.67,5.78,23.43,6.54,9.74,8.83
63,永利宝, 0,B,66.71,67.5,53.0,0.39,6.0,2013-11-01,上海,9.08,42.75,2.51,22.24,7.66,9.92,6.27
64,珠宝贷, 8,B,66.0,72.5,70.5,0.3,10.48,2014-09-01,广东,3.23,-8.73,2.41,23.43,5.76,16.6,1.19
65,金联储, 8,B,65.99,60.0,71.0,0.2,10.34,2014-09-01,北京,6.73,19.45,9.41,29.02,3.92,9.48,11.73
66,果树财富, 3,B,65.63,72.5,80.0,0.71,12.57,2014-08-01,广东,4.69,10.45,1.0,23.43,1.79,2.47,4.56
67,沪商财富, -1,B,65.54,65.0,72.5,0.67,13.72,2014-06-01,上海,6.02,53.59,1.46,22.24,1.79,3.53,11.66
68,合众e贷, 6,B,65.29,67.5,69.0,0.78,12.8,2015-11-01,广东,5.34,8.64,6.52,23.43,0.3,0.41,19.12
69,首E家, 0,B,65.19,72.0,67.0,0.47,7.26,2015-07-01,北京,2.79,-1.02,4.78,29.02,0.46,0.99,1.46
70,合拍在线, 6,B,65.11,72.5,67.5,0.63,11.22,2012-06-01,广东,5.4,-8.62,1.43,23.43,5.25,10.39,5.37
71,新联在线, 7,B,64.69,67.5,62.0,0.29,11.16,2013-07-01,广东,5.76,-34.15,1.68,23.43,2.88,5.32,6.47
72,搜易贷, 0,B,64.57,75.0,80.0,0.85,8.52,2014-09-01,北京,4.09,-24.69,4.52,29.02,1.6,2.56,2.7
73,百金贷, 4,B,64.19,67.5,77.0,0.3,10.12,2014-12-01,北京,8.03,50.12,7.79,29.02,2.29,3.97,20.36
74,黄河金融, 0,B,63.7,84.0,82.5,0.29,8.88,2014-04-01,浙江,1.6,13.65,2.85,15.65,1.57,4.12,38.15
75,看看钱包, 0,B,63.0,67.5,75.5,0.31,8.72,2015-06-01,湖南,6.8,-49.87,0.24,0.25,2.92,3.08,5.39
76,石投金融, 0,B,62.55,77.5,76.0,0.45,8.27,2014-05-01,上海,4.54,3.13,2.18,22.24,1.49,3.67,11.97
77,信用宝, 3,B,62.53,70.0,82.5,2.23,11.88,2013-05-01,北京,10.45,8.5,19.45,29.02,0.75,2.2,69.36
78,钱盆网, 0,B,61.36,67.5,82.5,0.62,13.01,2014-08-01,广西,11.94,52.83,10.0,0.19,0.72,0.82,46.27
79,民投金服, -2,B,61.32,75.0,85.0,0.31,8.02,2015-01-01,广东,8.8,-47.89,1.11,23.43,2.19,3.95,0.45
80,嘉石榴, 0,B,60.63,70.0,71.0,0.48,7.97,2015-06-01,浙江,4.31,11.1,2.99,29.02,1.27,3.86,7.77
