序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,宜人贷, 0,A+,93.91,60.0,90.0,2.6,11.58,2012-07-01,北京,29.09,6.04,32.78,23.56,2.2,2.66,240.4
2,陆金服, 0,A+,92.34,82.5,72.5,2.74,8.36,2012-06-01,上海,12.26,-15.17,100.0,25.83,0.83,2.07,38.12
3,微贷网, 0,A+,91.88,77.5,68.0,0.33,7.34,2011-08-01,浙江,5.31,2.49,43.48,18.09,1.04,2.29,95.75
4,凤凰金融, 4,A+,90.59,55.0,70.0,1.03,6.92,2014-12-01,北京,5.17,-32.41,16.07,23.56,4.16,10.56,394.27
5,开鑫金服, -1,A+,90.26,57.5,90.0,1.6,6.96,2012-12-01,江苏,5.41,40.97,9.51,3.96,1.78,10.1,19.22
6,拍拍贷, -1,A+,89.3,62.5,54.0,0.74,15.72,2007-06-01,上海,5.32,-14.06,15.41,25.83,0.2,0.59,186.13
7,人人贷, -1,A+,89.13,87.5,74.0,2.11,9.41,2010-10-01,北京,8.67,35.89,9.83,23.56,1.4,3.2,48.67
8,宜贷网, 1,A+,88.71,85.0,64.0,0.42,10.65,2014-01-01,上海,0.31,-12.47,26.47,3.12,1.59,5.03,8.99
9,投哪网, -2,A+,88.56,60.0,74.0,1.25,9.42,2012-07-01,广东,9.41,-31.91,12.59,24.08,1.58,2.7,59.77
10,小赢网金, 1,A+,87.95,70.0,58.0,0.93,7.83,2014-08-01,广东,9.12,33.44,34.11,24.08,0.69,1.16,76.83
11,团贷网, -1,A+,87.49,63.75,64.0,1.15,9.78,2012-07-01,广东,8.55,46.86,22.81,24.08,2.39,3.09,33.36
12,你我贷, 1,A+,87.13,82.5,64.0,1.29,10.43,2011-06-01,上海,10.56,11.58,27.1,25.83,0.54,0.97,50.48
13,爱钱进, 2,A+,86.58,68.75,74.0,2.62,10.29,2014-05-01,北京,13.69,26.4,22.99,23.56,1.64,2.13,28.02
14,有利网, 0,A+,85.85,80.0,74.0,1.48,9.36,2013-02-01,北京,11.5,25.97,15.67,23.56,0.7,0.78,87.89
15,点融网, -3,A+,85.27,81.25,48.0,1.06,10.21,2014-11-01,上海,8.03,-16.2,21.83,25.83,0.79,2.28,24.82
16,小牛在线, 3,A,84.82,72.5,74.0,0.44,9.98,2013-06-01,广东,9.38,27.24,40.82,24.08,2.35,4.52,70.99
17,麻袋理财, -1,A,84.53,77.5,64.0,1.5,8.76,2014-12-01,上海,7.22,59.37,23.46,25.83,0.67,2.06,22.85
18,鑫合汇, 3,A,84.16,67.5,74.0,0.04,7.03,2013-12-01,浙江,3.37,-3.35,64.75,18.09,0.94,13.42,476.79
19,积木盒子, -1,A,83.57,86.25,74.0,1.35,9.13,2013-08-01,北京,10.57,-0.23,18.11,23.56,0.3,0.51,23.21
20,海融易, -3,A,83.39,60.0,62.0,0.53,7.35,2014-12-01,山东,2.35,-187.22,1.62,2.81,3.09,6.87,18.0
21,翼龙贷, -1,A,82.84,80.0,74.0,1.15,9.19,2011-04-01,北京,8.64,-69.12,10.77,23.56,1.18,2.19,33.71
22,博金贷, 0,A,82.3,80.0,68.0,0.42,8.24,2014-09-01,江西,2.56,8.55,5.74,0.47,1.72,5.0,11.06
23,银湖网, 1,A,81.88,72.5,48.0,2.32,12.02,2014-07-01,北京,32.7,-153.31,3.13,23.56,1.34,1.99,6.01
24,友金所, 2,A,81.43,72.5,48.0,2.91,9.0,2014-10-01,广东,55.74,6.28,9.48,24.08,1.89,4.76,22.61
25,PPmoney网贷, -2,A,80.67,75.0,80.0,0.44,9.79,2012-12-01,广东,12.91,-92.75,12.48,24.08,0.9,0.89,54.87
26,金开贷, 4,A,80.08,82.5,74.0,0.76,7.73,2013-12-01,陕西,2.16,-7.27,0.5,0.18,3.79,7.09,2.46
27,民贷天下, 1,B+,79.49,82.5,70.0,1.29,9.67,2014-12-01,广东,0.5,14.26,7.55,24.08,0.57,0.93,3.2
28,和信贷, -3,B+,78.85,69.0,64.0,0.1,10.43,2013-08-01,北京,12.23,-25.42,8.03,23.56,2.13,10.56,10.19
29,道口贷, -2,B+,78.25,65.0,84.0,0.3,8.43,2014-12-01,北京,10.93,-33.46,4.6,23.56,3.04,6.74,81.12
30,人人聚财, 3,B+,78.03,50.0,64.0,1.39,9.8,2011-11-01,广东,6.84,22.09,4.59,24.08,9.95,2.74,25.21
31,玖融网, -2,B+,77.09,40.5,84.0,0.77,11.64,2013-07-01,湖北,8.61,4.9,1.29,1.33,1.66,3.04,14.06
32,付融宝, 4,B+,76.51,60.0,63.0,0.62,10.3,2013-11-01,江苏,3.8,-9.57,3.18,3.96,3.07,5.15,10.59
33,融金所, -1,B+,76.24,65.0,63.0,0.48,9.78,2013-05-01,广东,7.68,1.4,6.9,24.08,2.53,4.69,45.41
34,短融网, 0,B+,75.89,80.0,70.0,1.19,10.73,2014-06-01,北京,4.4,29.91,1.68,23.56,4.7,2.47,5.27
35,东方汇, -4,B+,75.57,57.5,54.0,0.62,6.21,2014-06-01,上海,1.31,-67.84,3.18,25.83,2.5,8.37,9.35
36,财富星球, -1,B+,75.48,80.0,80.0,0.86,9.73,2013-10-01,北京,3.3,12.42,1.34,23.56,5.02,7.05,3.78
37,爱钱帮, 1,B+,74.69,80.0,64.0,0.31,10.07,2014-03-01,北京,3.52,5.42,5.71,23.56,1.54,2.63,78.62
38,众信金融, -1,B+,74.35,36.5,63.0,0.35,7.45,2014-06-01,北京,1.08,-540.36,0.45,23.56,1.3,12.65,86.84
39,首金网, 2,B+,73.71,80.0,74.0,0.82,8.67,2015-12-01,北京,0.72,0.93,3.34,23.56,0.33,0.68,6.22
40,生菜金融, -1,B+,73.57,62.5,49.0,0.3,9.36,2014-09-01,上海,5.37,6.48,6.04,25.83,0.37,0.75,1.84
41,联金所, 3,B+,73.52,63.0,54.0,1.59,12.35,2013-11-01,广东,4.35,23.71,2.2,24.08,1.1,2.2,8.42
42,理财范, -2,B+,73.37,75.0,74.0,0.77,10.01,2014-03-01,北京,3.83,28.54,3.91,23.56,2.13,4.31,4.82
43,图腾贷, 3,B+,72.98,67.5,75.0,0.32,12.29,2014-09-01,四川,15.27,23.97,5.16,3.12,0.4,2.55,19.66
44,银豆网, -2,B+,72.86,65.0,79.0,1.04,12.96,2014-02-01,北京,7.41,75.2,5.03,23.56,0.48,4.57,13.6
45,红岭创投, 2,B+,72.8,65.0,79.0,0.17,8.7,2009-03-01,广东,6.8,-0.58,45.15,24.08,3.05,10.08,218.71
46,广信贷, -3,B+,72.47,72.5,80.0,1.02,12.56,2013-01-01,北京,7.69,43.77,5.1,23.56,1.01,4.69,15.63
47,口袋理财, 2,B+,71.88,40.0,54.0,0.04,7.95,2015-11-01,上海,12.61,8.39,62.15,25.83,1.27,3.33,172.55
48,拓道金服, -3,B+,71.6,80.0,84.0,0.27,9.19,2013-12-01,浙江,15.86,12.5,6.61,18.09,1.5,3.06,28.05
49,向上金服, 2,B+,71.37,82.5,63.0,1.83,10.88,2013-08-01,北京,4.88,2.78,12.89,23.56,1.65,2.51,48.01
50,链链金融, -2,B+,70.8,80.0,84.0,0.79,6.0,2014-11-01,北京,0.58,83.2,0.95,23.56,0.59,1.3,4.5
51,米缸金融, 1,B+,70.52,70.0,59.0,0.56,7.69,2015-02-01,上海,19.74,-796.52,0.63,25.83,2.49,4.79,9.97
52,广州e贷, 1,B+,70.03,85.0,80.0,1.29,10.41,2015-01-01,广东,3.5,-34.63,0.65,24.08,1.17,2.53,1.46
53,奇乐融, 1,B,69.95,75.0,60.0,0.48,6.98,2015-10-01,安徽,7.74,12.41,1.06,0.56,0.86,2.55,3.61
54,铜掌柜, -4,B,69.54,75.0,84.0,0.77,8.34,2014-10-01,浙江,5.37,33.37,4.01,18.09,1.23,7.61,23.25
55,e融所, 1,B,69.37,69.0,64.0,0.99,11.2,2015-11-01,广东,10.68,55.61,7.84,24.08,1.02,3.67,7.12
56,汉金所, 3,B,69.23,73.75,48.0,1.13,8.8,2015-03-01,湖北,3.32,-169.48,0.21,1.33,0.87,3.4,0.37
57,可溯金融, 0,B,68.95,70.0,78.0,0.2,9.37,2014-09-01,浙江,17.79,20.37,7.86,18.09,1.86,3.9,25.41
58,理想宝, -3,B,68.69,65.0,68.0,0.33,10.15,2014-05-01,广东,8.95,18.3,4.76,24.08,3.62,5.81,7.35
59,e路同心, 1,B,68.53,57.5,64.0,0.84,11.54,2014-08-01,广东,3.87,-34.05,3.45,24.08,1.12,2.11,2.24
60,联连理财, -2,B,68.5,62.5,54.0,0.47,13.71,2015-12-01,上海,2.1,-24.81,2.28,25.83,0.21,0.94,4.5
61,鹏金所, 1,B,67.94,50.5,74.0,0.61,6.72,2015-01-01,广东,5.37,-610.8,1.94,24.08,1.67,4.32,6.65
62,钜宝盆, 1,B,67.86,62.5,64.0,3.01,8.0,2015-05-01,上海,5.27,32.15,5.49,25.83,0.93,3.03,9.87
63,万盈金融, -2,B,67.74,57.5,58.0,0.63,10.96,2015-05-01,广东,12.33,-0.56,2.25,24.08,0.94,3.95,4.17
64,抱财网, 2,B,67.58,62.5,68.0,0.68,9.2,2014-03-01,北京,6.23,12.64,1.65,23.56,5.62,9.66,13.16
65,立业贷, 0,B,67.09,75.0,54.0,0.89,12.72,2014-02-01,广东,8.23,-19.81,0.52,24.08,1.07,2.99,6.5
66,果树财富, -2,B,66.85,55.0,65.0,0.61,11.68,2014-08-01,广东,8.15,9.26,1.0,24.08,1.72,2.38,2.75
67,永利宝, 1,B,66.79,75.0,43.0,0.47,6.0,2013-11-01,上海,9.73,-5.7,1.14,25.83,5.7,7.19,6.27
68,珠宝贷, 1,B,66.51,67.5,74.0,0.3,10.26,2014-09-01,广东,0.85,14.97,1.48,24.08,6.74,17.17,1.21
69,中瑞财富, -2,B,65.81,24.0,55.0,0.14,7.13,2014-05-01,北京,6.4,-36.2,3.34,23.56,9.39,27.89,10.01
70,金联储, 0,B,65.57,71.5,68.0,0.22,10.17,2014-09-01,北京,6.56,-8.8,5.81,23.56,4.58,9.74,8.26
