序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,92.95,15.49,78.81,6.28,100.0,2.4,23.05,0.6,2.3,21.76
2,开鑫贷,A+,90.31,6.95,-3.21,7.12,2.46,1.76,1.65,3.29,12.51,38.78
3,拍拍贷,A+,89.19,13.37,-1.09,16.91,2.67,1.59,23.05,0.39,0.58,237.04
4,宜人贷,A+,88.59,10.36,58.89,11.5,7.03,5.04,26.04,2.53,2.48,79.79
5,点融网,A+,87.17,13.95,28.61,10.47,11.63,3.09,23.05,0.16,6.04,26.39
6,宜贷网,A+,86.48,6.1,9.7,10.9,11.55,0.46,0.99,1.55,7.72,6.59
7,人人贷,A+,85.31,14.93,8.73,8.32,3.13,1.91,26.04,7.9,7.98,70.59
8,微贷网,A+,85.26,12.88,19.26,9.76,13.6,0.52,13.56,1.21,3.25,11.89
9,投哪网,A,84.38,5.26,27.11,10.27,4.73,1.4,26.76,1.87,2.86,40.13
10,积木盒子,A,83.56,7.23,21.24,7.93,6.25,0.91,26.04,0.3,0.55,67.45
11,翼龙贷网,A,83.13,11.7,54.7,8.62,7.33,2.32,26.04,1.34,3.64,143.33
12,有利网,A,82.18,11.5,32.39,9.95,4.5,3.09,26.04,1.26,1.25,195.83
13,金开贷,A,81.09,7.19,4.53,8.51,0.45,1.41,0.16,6.02,19.45,66.01
14,凤凰金融,A,80.38,10.55,62.51,7.32,13.95,0.66,26.04,1.79,3.37,345.57
15,东方汇,A,80.22,8.47,1.96,5.04,8.32,0.28,23.05,2.17,9.72,7.37
16,银客理财,A,80.12,8.75,22.99,9.31,3.13,0.9,26.04,3.15,11.59,142.61
17,小赢理财,A,80.09,10.97,3.61,6.57,12.09,0.62,26.76,2.46,6.39,59.73
18,链家理财,A,80.07,5.26,-27.23,7.95,12.03,0.35,26.04,2.13,9.83,16.3
19,你我贷,A,80.05,11.51,14.08,11.64,4.87,4.21,23.05,0.47,0.69,51.69
20,麻袋理财,B+,79.79,11.32,26.8,10.07,7.81,4.26,23.05,0.71,1.51,143.17
21,德众金融,B+,78.48,14.98,6.7,8.17,1.15,1.06,0.5,3.02,9.01,61.84
22,短融网,B+,78.29,7.82,14.72,9.56,1.3,0.35,26.04,10.38,5.87,2.01
23,银湖网,B+,78.11,10.32,37.25,10.68,1.68,1.9,26.04,3.51,5.75,3.13
24,小牛在线,B+,77.98,14.0,15.17,11.12,16.23,0.4,26.76,2.6,5.44,33.55
25,爱钱进,B+,77.21,15.94,89.77,12.22,6.86,5.73,26.04,1.92,2.56,28.83
26,红岭创投,B+,76.33,5.75,-10.29,8.9,16.24,0.33,26.76,2.97,9.98,205.46
27,北京众信金融,B+,75.35,9.47,20.64,9.65,4.0,1.17,26.04,8.37,34.18,233.55
28,PPmoney,B+,74.8,4.1,37.04,9.36,13.0,1.14,26.76,2.24,4.45,102.95
29,鑫合汇,B+,74.76,7.82,-5.18,9.11,19.14,0.1,13.56,25.51,90.87,54.38
30,金宝保,B+,74.51,10.46,-15.09,6.14,0.08,1.12,1.08,4.5,20.0,25.81
31,腾邦创投,B+,74.33,13.26,-83.95,13.0,1.54,0.03,26.76,4.56,19.04,23.11
32,诺诺镑客,B+,73.74,27.01,56.85,11.39,1.66,3.16,23.05,0.87,1.28,22.87
33,海融易,B+,72.73,6.25,21.12,8.43,2.2,1.14,3.24,3.68,28.72,22.98
34,爱投资,B+,72.18,7.59,-8.32,12.32,3.76,1.75,26.04,3.39,6.06,98.31
35,理财范,B+,72.09,20.13,35.41,10.53,3.87,1.04,26.04,10.03,20.09,153.07
36,玖融网,B+,71.53,8.49,17.76,12.88,0.58,0.98,0.76,2.12,4.08,4.7
37,道口贷,B+,71.35,7.56,25.17,9.03,1.7,0.71,26.04,4.19,13.31,27.07
38,理想宝,B+,71.21,5.67,-11.13,9.31,1.93,0.39,26.76,7.15,16.44,2.27
39,91旺财,B+,70.25,6.15,48.4,7.84,1.44,0.25,26.04,3.33,15.68,0.93
40,民贷天下,B+,70.16,26.08,1.34,6.25,12.77,0.21,26.76,21.12,68.77,5.2
41,团贷网,B+,70.12,8.06,22.62,11.82,12.4,1.03,26.76,1.29,3.04,37.51
42,合拍在线,B+,70.07,8.36,1.89,11.7,1.68,0.48,26.76,10.69,23.37,3.88
43,人人聚财,B,69.42,11.18,-4.5,12.14,2.93,1.19,26.76,4.46,2.8,37.06
44,铜掌柜,B,69.36,6.73,4.66,9.1,6.41,0.25,13.56,12.13,23.43,15.85
45,万盈金融,B,68.38,19.12,76.64,14.04,1.35,1.49,26.76,3.47,7.56,4.91
46,广州e贷,B,68.21,11.33,11.96,10.53,0.82,0.65,26.76,8.76,21.25,1.28
47,恒大金服,B,67.95,8.12,0.13,7.2,0.51,2.62,26.76,10.49,1449.14,0.21
48,皮城金融,B,67.83,15.89,-10.61,7.49,2.38,1.11,13.56,3.44,26.34,11.87
49,鹏金所,B,67.76,4.89,-4.56,7.19,3.59,0.56,26.76,9.47,25.28,0.7
50,银豆网,B,67.39,8.18,40.33,12.72,0.83,1.82,26.04,7.96,26.07,130.29
51,生菜金融,B,66.74,11.66,-8.46,8.47,1.44,0.93,23.05,1.64,5.28,14.66
52,珠宝贷,B,66.7,6.49,12.78,12.07,2.67,0.56,26.76,11.45,30.66,0.77
53,广信贷,B,66.51,5.28,39.39,13.77,0.73,0.78,26.04,3.31,8.44,5.62
54,付融宝,B,66.46,10.34,-16.43,10.83,1.19,0.85,1.65,9.27,12.49,61.91
55,钜宝盆,B,66.42,41.41,52.41,8.48,7.45,4.33,23.05,1.1,4.16,17.81
56,和信贷,B,66.4,7.39,31.57,13.32,1.89,1.07,26.04,4.81,10.39,6.69
57,中瑞财富,B,65.54,2.43,-149.0,7.34,0.53,0.32,26.04,38.39,12.68,0.83
58,向上金服,B,65.29,0.52,92.55,9.23,6.82,0.32,26.04,12.74,17.12,5.02
59,抱财网,B,64.17,3.67,34.01,12.36,1.25,0.86,26.04,20.92,38.3,10.13
60,奇乐融,B,63.08,30.01,26.12,7.26,3.06,0.52,0.5,11.47,48.06,7.88
61,一起好,B,62.86,6.46,-9.83,13.56,1.29,0.97,0.76,2.16,4.12,29.65
62,融金所,B,62.28,6.07,9.39,12.85,2.48,0.6,26.76,2.15,5.55,13.57
63,邦帮堂,B,61.58,13.29,91.88,9.45,1.88,1.21,26.04,4.92,18.16,8.89
64,米缸金融,B,61.08,10.21,45.54,14.03,0.76,0.66,23.05,57.96,44.06,2.26
65,友金所,B,60.71,15.16,60.51,10.0,1.14,5.39,26.76,3.57,9.52,11.06
