序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,92.21,16.1,37.94,7.15,100.0,3.61,17.23,0.5,2.44,12.67
2,开鑫贷,A+,89.19,12.17,-106.77,7.22,2.27,1.69,3.94,3.1,6.57,73.13
3,宜人贷,A+,87.23,11.74,58.27,11.54,12.56,5.23,27.98,2.65,2.56,62.14
4,拍拍贷,A+,86.69,9.3,6.19,16.08,0.37,1.35,17.23,1.69,0.93,23.88
5,点融网,A+,85.92,12.95,79.23,9.52,24.88,2.63,17.23,0.95,4.11,22.96
6,人人贷,A+,85.82,12.18,56.18,8.99,7.95,3.31,27.98,3.89,4.15,65.05
7,微贷网,A+,85.68,13.27,16.56,9.7,21.83,0.44,13.76,1.17,2.57,9.17
8,积木盒子,A,84.47,8.13,20.73,7.74,12.81,0.88,27.98,0.35,0.62,128.53
9,投哪网,A,84.34,7.51,12.97,10.07,9.98,1.11,28.56,1.81,2.39,36.76
10,有利网,A,83.13,18.39,27.45,10.14,8.9,2.97,27.98,1.25,1.02,178.6
11,宜贷网,A,82.75,9.57,6.64,10.63,25.37,0.35,1.75,1.52,6.73,6.12
12,翼龙贷网,A,81.84,15.71,39.86,8.37,11.04,1.87,27.98,1.46,2.87,151.38
13,麻袋理财,A,81.56,15.41,17.68,10.69,14.44,4.49,17.23,0.84,1.32,110.61
14,鑫合汇,A,81.05,6.94,4.61,8.97,39.75,0.1,13.76,21.55,70.46,59.24
15,你我贷,A,80.77,12.86,26.5,11.69,10.02,4.44,17.23,0.53,0.58,48.79
16,银湖网,A,80.67,23.79,30.66,9.89,3.9,1.75,27.98,3.35,4.91,2.06
17,爱钱进,B+,78.95,16.91,90.36,12.25,11.49,5.74,27.98,2.1,2.19,23.93
18,金开贷,B+,76.61,18.56,41.37,6.36,2.35,1.5,0.28,2.35,39.58,74.32
19,链家理财,B+,75.27,10.37,-32.93,7.9,34.37,0.3,27.98,2.15,8.17,19.52
20,银客网,B+,74.15,10.81,24.79,9.68,10.77,0.96,27.98,3.62,11.76,171.82
21,德众金融,B+,73.86,13.2,43.41,8.43,2.74,1.79,0.75,2.86,7.55,57.55
22,小牛在线,B+,73.56,18.81,6.83,11.84,26.65,0.48,28.56,2.88,4.47,43.55
23,北京众信金融,B+,72.51,9.5,27.83,10.16,8.03,1.14,27.98,8.65,29.07,243.76
24,红岭创投,B+,72.16,6.24,-0.62,8.9,36.28,0.25,28.56,3.18,9.11,190.04
25,诺诺镑客,B+,71.78,28.32,76.74,11.63,3.63,3.16,17.23,0.88,1.11,20.23
26,PPmoney,B+,71.67,4.37,33.81,8.74,26.19,0.58,28.56,2.05,3.44,102.47
27,短融网,B+,70.9,9.86,-5.11,9.6,2.33,0.3,27.98,11.38,4.52,1.55
28,金宝保,B+,70.8,10.22,-58.25,6.67,2.07,1.16,0.81,3.23,20.89,38.1
29,腾邦创投,B+,70.76,20.8,-48.37,13.12,4.04,0.12,28.56,7.78,25.57,40.89
30,爱投资,B+,70.66,10.24,15.16,12.02,9.99,1.62,27.98,3.65,5.77,96.47
31,民贷天下,B+,70.58,33.55,7.06,6.5,22.19,0.22,28.56,35.85,57.23,3.58
32,91旺财,B+,70.54,6.17,7.65,7.82,4.56,0.23,27.98,3.07,11.76,0.64
33,理财范,B+,70.5,13.31,49.99,11.13,6.18,1.09,27.98,9.12,15.08,118.48
34,合拍在线,B,69.87,6.97,12.23,11.63,3.32,0.46,28.56,9.37,18.24,3.15
35,团贷网,B,69.45,6.51,21.72,11.67,19.42,0.95,28.56,1.24,2.39,30.27
36,道口贷,B,69.1,11.15,-11.37,8.99,2.86,0.68,27.98,4.31,10.24,24.96
37,理想宝,B,68.44,8.21,-19.86,11.91,4.7,0.41,28.56,12.42,11.72,2.53
38,万盈金融,B,68.02,35.84,73.31,14.38,2.53,1.57,28.56,3.27,5.92,3.41
39,珠宝贷,B,67.34,6.67,17.09,11.94,5.82,0.49,28.56,11.4,24.72,0.63
40,玖融网,B,67.21,8.01,15.77,12.92,0.98,0.91,1.34,2.35,3.15,4.16
41,银豆网,B,67.1,8.66,48.28,12.82,1.85,1.85,27.98,8.48,21.32,127.55
42,铜掌柜,B,66.14,7.86,0.45,9.85,12.29,0.25,13.76,12.41,18.39,6.72
43,皮城金融,B,65.34,8.17,25.99,8.17,4.59,0.74,13.76,4.28,25.46,7.92
44,金融工场,B,63.3,2.28,-31.32,8.43,3.94,0.65,27.98,27.51,34.02,73.49
45,付融宝,B,62.96,13.77,13.81,11.28,3.44,0.67,3.94,10.51,12.24,64.34
46,邦帮堂,B,62.87,6.47,100.1,9.45,3.42,1.77,27.98,6.2,13.14,6.47
47,鹏金所,B,62.84,7.2,-30.53,7.31,7.22,0.55,28.56,8.78,20.51,0.71
48,和信贷,B,62.76,6.21,39.99,13.21,3.62,0.85,27.98,5.3,8.95,4.43
49,网利宝,B,62.54,13.32,-4.9,9.93,7.24,0.5,27.98,24.97,36.82,8.98
50,黄河金融,B,62.46,25.11,26.07,9.62,2.76,0.37,13.76,3.35,10.92,36.69
51,金联储,B,61.83,14.15,0.26,9.7,8.47,0.36,27.98,20.07,36.06,3.46
52,中瑞财富,B,61.62,4.44,-60.75,7.43,2.4,0.25,27.98,52.86,18.64,1.06
53,向上金服,B,61.58,1.74,89.69,9.29,8.49,0.44,27.98,9.92,8.74,3.72
54,抱财网,B,61.47,7.41,13.84,10.75,2.45,0.73,27.98,17.55,30.41,7.58
55,广州e贷,B,61.36,6.44,20.82,10.54,1.94,0.62,28.56,6.7,13.97,1.15
56,钜宝盆,B,61.3,18.91,88.5,8.44,11.56,5.19,17.23,1.12,3.16,11.98
57,友金所,B,60.61,21.1,70.75,10.0,2.61,5.36,28.56,3.5,8.39,10.03
58,一起好,B,60.57,4.75,13.53,13.9,2.58,1.03,1.34,2.09,3.26,30.54
