序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,89.9,35.56,2.78,7.96,15.35,30.3,12.6,1.02,6.01,6.15
2,宜人贷,A+,88.54,37.34,2.35,11.62,17.62,34.01,27.05,7.83,6.7,47.89
3,人人贷,A+,87.14,36.64,68.76,9.85,14.81,23.92,27.05,12.86,16.21,60.34
4,点融网,A+,86.44,40.14,54.15,8.08,14.26,13.04,12.6,5.02,37.64,6.67
5,投哪网,A+,85.61,28.96,24.27,10.91,21.53,5.74,32.7,4.36,7.43,20.27
6,开鑫贷,A+,85.08,26.93,1.34,8.48,13.78,10.02,2.35,6.88,110.98,65.3
7,拍拍贷,A,84.93,28.38,16.17,14.85,0.72,8.06,12.6,4.16,1.53,18.1
8,积木盒子,A,83.87,35.56,12.73,8.75,14.88,6.35,27.05,0.45,0.82,212.27
9,小牛在线,A,83.21,62.3,71.94,12.15,67.0,6.47,32.7,32.99,66.12,66.94
10,微贷网,A,83.13,36.21,15.13,11.01,30.47,2.73,12.16,1.4,6.44,6.69
11,有利网,A,82.79,49.95,47.83,10.22,15.09,18.39,27.05,1.63,0.86,156.7
12,宜贷网,A,82.11,43.65,2.83,10.95,50.05,1.57,2.32,2.32,46.35,4.0
13,爱钱进,A,81.99,47.67,93.38,13.48,17.93,35.2,27.05,5.63,5.21,15.7
14,麻袋理财,A,81.86,32.24,22.31,11.59,35.28,31.41,12.6,1.52,2.59,59.97
15,翼龙贷网,A,81.68,49.18,78.19,13.66,32.4,10.96,27.05,2.08,8.37,150.52
16,PPmoney,A,81.54,44.22,24.11,8.87,100.0,2.09,32.7,5.47,16.37,62.17
17,你我贷,A,80.02,38.82,78.19,11.7,16.62,30.62,12.6,0.65,0.75,38.3
18,鑫合汇,B+,79.13,28.26,-1.0,9.28,78.71,0.83,12.16,199.35,1445.09,82.85
19,红岭创投,B+,77.68,30.38,-11.89,10.36,74.9,1.76,32.7,11.17,89.26,142.0
20,金宝保,B+,76.86,36.87,36.08,7.91,8.74,8.51,1.01,24.39,206.08,44.08
21,链家理财,B+,75.71,36.42,18.44,8.22,101.95,2.21,27.05,4.74,87.48,52.79
22,诺诺镑客,B+,75.67,48.18,85.44,11.43,3.81,21.71,12.6,0.51,1.21,11.67
23,银湖网,B+,74.0,47.67,43.18,11.94,5.12,13.95,27.05,10.01,21.8,1.64
24,爱投资,B+,73.79,32.75,16.85,12.03,15.66,10.41,27.05,10.87,21.68,80.34
25,金开贷,B+,73.56,17.3,63.78,6.93,2.46,6.47,0.24,25.24,326.75,44.57
26,民贷天下,B+,72.32,56.92,11.39,8.3,22.11,2.1,32.7,1083.6,2269.09,3.8
27,银客网,B+,72.02,35.69,-95.17,9.67,10.03,5.14,27.05,4.7,22.24,52.29
28,德众金融,B+,71.51,43.37,57.82,9.2,6.28,16.22,0.24,9.84,72.09,57.03
29,北京众信金融,B+,71.3,27.27,45.56,11.05,15.31,7.22,27.05,79.86,899.78,201.66
30,短融网,B+,70.98,34.47,12.46,11.33,4.99,1.95,27.05,164.71,29.41,1.39
31,腾邦创投,B+,70.14,34.72,19.32,14.21,7.89,4.6,32.7,22.1,216.34,72.8
32,珠宝贷,B,69.13,25.25,14.75,13.94,11.67,2.76,32.7,132.02,568.48,0.31
33,理想宝,B,69.07,29.6,0.39,12.55,10.26,4.4,32.7,180.88,170.62,2.6
34,合拍在线,B,68.98,19.79,7.5,13.34,4.51,3.23,32.7,65.18,157.21,1.78
35,皮城金融,B,68.51,43.49,68.03,7.74,16.07,4.9,12.16,26.1,499.12,11.51
36,信融财富,B,68.34,34.83,29.99,15.53,6.19,5.53,32.7,4.53,8.7,61.26
37,网利宝,B,67.36,46.19,19.66,11.88,16.38,3.21,27.05,537.31,1229.06,7.21
38,团贷网,B,67.34,53.18,19.08,13.09,25.43,4.03,32.7,1.22,5.01,22.32
39,一起好,B,66.95,39.56,-3.14,14.99,7.36,4.89,1.09,5.22,15.99,23.73
40,银豆网,B,66.84,27.19,62.05,14.63,4.6,11.76,27.05,42.04,346.18,100.23
41,玖融网,B,66.53,33.61,3.95,15.13,1.76,4.61,1.09,6.31,11.5,3.38
