序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金服,A+,92.54,10.53,26.3,7.19,100.0,2.78,31.15,0.45,2.1,112.8
2,人人贷,A+,90.19,6.64,-3.35,9.3,2.3,3.01,21.42,4.39,3.78,123.17
3,微贷网,A+,89.82,12.48,9.6,8.49,11.59,0.33,13.2,1.23,2.8,23.7
4,宜人贷,A+,88.3,11.48,48.39,11.8,4.55,4.16,21.42,2.44,2.42,116.72
5,开鑫金服,A+,87.61,6.69,21.64,6.68,1.92,1.74,2.7,3.3,11.16,41.37
6,拍拍贷,A+,87.09,16.58,48.2,14.59,0.76,1.52,31.15,0.28,0.52,137.85
7,投哪网,A+,86.06,7.35,25.16,10.2,2.76,1.23,24.38,2.26,2.91,66.68
8,宜贷网,A+,84.97,6.19,3.01,10.07,6.57,0.43,31.15,1.58,6.13,10.61
9,小赢理财,A,84.28,2.0,26.69,6.97,8.75,0.91,24.38,0.58,1.41,152.02
10,积木盒子,A,83.79,6.58,9.46,8.2,2.36,0.78,21.42,0.22,0.38,453.71
11,点融网,A,83.65,4.61,-91.16,7.87,0.24,0.64,31.15,0.04,0.18,5.51
12,麻袋理财,A,83.36,10.07,37.82,8.69,6.46,2.63,31.15,0.42,0.85,308.99
13,有利网,A,82.76,6.89,74.88,10.28,2.9,3.18,21.42,1.19,1.06,268.92
14,凤凰金融,A,82.06,11.8,6.68,6.87,9.82,1.76,21.42,1.53,3.38,903.4
15,爱钱进,A,81.81,13.26,79.48,11.25,3.59,4.15,21.42,0.88,1.85,51.77
16,翼龙贷,A,81.77,9.14,1.09,10.69,3.29,1.84,21.42,1.12,2.57,180.79
17,你我贷,A,81.24,9.96,2.62,11.23,3.26,2.72,31.15,0.61,1.01,66.66
18,PPmoney,A,80.63,4.94,-12.43,9.54,4.11,1.13,24.38,0.72,0.85,132.07
19,东方汇,A,80.36,7.47,8.63,5.03,6.14,0.3,31.15,1.94,10.07,29.76
20,银客理财,B+,79.78,1.73,-210.25,8.18,0.2,0.53,21.42,2.87,4.25,28.58
21,民贷天下,B+,79.37,6.25,7.57,6.95,6.01,0.47,24.38,0.87,1.33,8.75
22,理财范,B+,78.91,7.58,19.71,9.53,1.4,0.84,21.42,5.19,8.75,155.96
23,海融易,B+,78.56,11.32,73.52,7.71,3.21,0.62,2.61,4.99,43.3,184.16
24,金开贷,B+,78.05,11.5,-92.74,7.67,0.2,0.96,0.15,5.16,12.23,32.13
25,链链金融,B+,77.79,16.87,59.22,6.0,0.33,0.24,21.42,1.41,5.73,0.93
26,小牛在线,B+,77.48,7.0,-7.59,9.98,8.8,0.57,24.38,2.38,4.54,35.68
27,北京众信金融,B+,77.16,9.81,-8.23,7.56,1.89,0.44,21.42,6.3,21.64,139.35
28,团贷网,B+,76.81,9.68,8.31,10.7,7.77,0.79,24.38,2.93,5.38,56.87
29,生菜金融,B+,76.44,2.97,-4.55,8.79,0.86,0.22,31.15,1.17,3.9,12.0
30,广州e贷,B+,75.59,6.9,-11.17,9.03,0.23,0.62,24.38,2.62,8.14,1.03
31,红岭创投,B+,75.15,6.21,8.92,7.92,10.67,0.28,24.38,2.41,6.93,159.01
32,短融网,B+,74.67,4.4,32.0,10.32,0.63,0.56,21.42,11.44,3.84,8.91
33,恒大金服,B+,74.15,90.68,15.62,6.8,1.15,2.27,24.38,4.95,14.86,0.14
34,银湖网,B+,73.63,2.29,-206.63,12.06,0.07,3.04,21.42,2.28,1.67,3.94
35,铜掌柜,B+,73.17,4.63,20.35,8.71,2.35,0.73,13.2,10.08,18.67,104.77
36,诺诺镑客,B+,72.66,10.88,-7.15,11.29,0.6,2.1,31.15,0.74,0.85,27.72
37,道口贷,B+,72.32,9.33,29.06,8.64,1.12,0.52,21.42,3.85,8.9,30.22
38,融金所,B+,71.66,7.7,15.83,11.84,1.6,0.89,24.38,2.03,4.38,25.78
39,玖融网,B+,71.51,6.52,27.65,11.9,0.32,1.48,0.92,2.04,3.59,15.96
40,91旺财,B+,70.34,12.95,11.09,7.66,2.82,0.22,21.42,4.29,9.29,3.25
41,理想宝,B+,70.15,5.44,24.84,10.7,1.31,0.45,24.38,5.13,9.74,5.55
42,奇乐融,B,69.66,6.9,-15.23,6.77,0.34,0.6,0.44,1.08,3.33,1.81
43,鑫合汇,B,69.35,11.99,7.66,7.77,14.87,0.22,13.2,13.3,46.54,66.25
44,人人聚财,B,69.14,4.24,3.3,10.13,1.05,0.88,24.38,9.16,2.74,27.18
45,博金贷,B,68.79,7.87,66.38,5.68,2.57,0.25,0.37,3.89,14.33,8.33
46,和信贷,B,68.35,6.34,35.57,13.18,0.7,1.2,21.42,5.0,7.28,14.57
47,付融宝,B,68.15,5.84,38.58,9.48,1.01,0.71,2.7,17.23,8.17,89.62
48,钜宝盆,B,67.84,11.34,44.23,8.0,1.15,4.63,31.15,1.61,3.01,20.03
49,银豆网,B,67.76,6.72,12.9,12.83,0.73,1.57,21.42,2.47,8.74,161.2
50,万盈金融,B,67.44,13.94,49.93,12.62,0.68,1.41,24.38,2.94,5.89,6.97
51,广信贷,B,66.99,17.84,29.03,11.78,0.79,0.8,21.42,2.02,4.91,7.08
52,拓道金服,B,66.82,12.47,11.66,11.44,0.67,0.54,13.2,1.23,2.63,2.54
53,联连理财,B,66.01,19.9,8.84,10.62,1.81,0.26,31.15,0.26,0.57,1.21
54,中瑞财富,B,65.93,7.19,4.14,7.06,1.06,0.25,21.42,8.97,31.38,19.96
55,友金所,B,65.73,4.61,28.02,9.0,0.38,4.49,24.38,16.67,7.47,10.57
56,珠宝贷,B,65.46,7.38,-28.79,10.59,0.85,0.43,24.38,8.6,16.64,0.57
57,果树财富,B,65.16,8.51,15.24,14.07,0.19,0.69,24.38,1.93,2.26,20.76
58,腾邦创投,B,64.81,1.7,-81.45,14.9,0.27,0.0,24.38,1.03,13.74,19.78
59,口袋理财,B,64.68,9.21,13.27,8.25,6.8,0.36,31.15,0.31,0.57,67.61
60,抱财网,B,64.35,6.53,13.43,11.78,0.52,1.01,21.42,9.38,15.38,16.09
61,合拍在线,B,64.05,5.26,21.4,10.56,0.66,0.55,24.38,10.85,21.51,5.5
62,首金网,B,63.96,51.55,14.99,8.42,5.59,0.4,21.42,3.19,12.46,3.09
63,向上金服,B,63.84,1.05,95.58,10.07,6.63,0.23,21.42,11.7,21.32,4.45
64,汉金所,B,63.71,7.12,28.87,7.95,0.24,0.85,0.92,3.07,8.5,0.23
65,信融财富,B,62.77,6.48,35.83,13.31,1.0,1.24,24.38,1.25,3.05,176.11
66,今日捷财,B,62.51,8.52,18.73,9.16,0.21,0.66,31.15,2.91,5.97,5.04
67,大麦理财,B,61.62,5.08,12.38,9.9,0.57,0.75,24.38,27.44,49.13,31.77
68,看看钱包,B,61.38,7.92,44.98,8.53,0.08,0.53,0.21,3.1,6.15,1.37
69,口贷网,B,60.86,0.1,106.72,16.36,0.31,0.64,2.12,9.59,25.36,0.63
70,华人金融,B,60.16,6.39,27.18,8.53,1.32,0.54,24.38,21.78,40.34,0.45
