序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,陆金服, 1,A+,97.07,85.0,72.5,2.71,8.5,2012-06-01,上海,2.54,1.1,100.0,22.37,0.82,2.01,0.83
2,宜人贷, -1,A+,95.02,75.0,85.0,2.55,11.71,2012-07-01,北京,0.37,1.91,26.53,27.39,2.33,2.67,4.21
3,微贷网, 0,A+,91.64,80.0,68.0,0.34,7.35,2011-08-01,浙江,5.08,2.75,38.96,15.62,1.36,2.77,99.68
4,人人贷, 3,A+,90.59,87.5,74.0,2.02,9.34,2010-10-01,北京,7.63,11.89,24.5,27.39,1.56,1.8,51.83
5,拍拍贷, 1,A+,88.69,65.0,65.0,0.76,15.71,2007-06-01,上海,1.1,52.45,15.2,22.37,0.21,0.6,124.95
6,凤凰金融, -2,A+,87.73,67.5,70.0,0.99,7.0,2014-12-01,北京,5.09,-24.12,15.28,27.39,4.41,10.71,330.48
7,开鑫金服, -2,A+,87.02,60.0,90.0,0.74,6.74,2012-12-01,江苏,0.13,-16.79,0.34,3.54,0.8,2.68,0.98
8,小赢网金, 2,A+,86.84,75.0,58.0,0.9,7.82,2014-08-01,广东,5.47,4.72,31.33,24.27,0.73,1.19,123.07
9,团贷网, 2,A+,86.43,82.5,75.0,1.48,10.25,2012-07-01,广东,7.9,47.19,17.12,24.27,2.68,2.9,34.2
10,爱钱进, 3,A+,86.28,72.5,74.0,2.55,10.29,2014-05-01,北京,12.3,7.32,53.37,27.39,1.08,0.95,29.3
11,你我贷, 1,A+,85.02,87.5,64.0,1.47,10.56,2011-06-01,上海,8.28,14.57,24.88,22.37,0.6,1.0,53.5
12,宜贷网, -4,A,84.11,87.5,80.0,0.48,11.18,2014-01-01,上海,0.14,-0.04,30.45,2.79,1.8,5.54,8.34
13,投哪网, -4,A,84.01,75.0,64.0,1.02,9.06,2012-07-01,广东,3.83,2.05,7.18,24.27,1.61,2.6,25.71
14,有利网, 0,A,83.85,82.5,74.0,1.4,9.39,2013-02-01,北京,9.81,14.01,43.4,27.39,0.7,1.16,92.28
15,点融网, 0,A,83.82,85.0,48.0,2.32,11.97,2014-11-01,上海,6.17,2.2,8.29,22.37,0.51,1.58,0.74
16,麻袋理财, 1,A,83.45,80.0,64.0,2.14,8.9,2014-12-01,上海,9.07,45.85,19.08,22.37,0.7,2.3,24.35
