序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,宜人贷, 1,A+,93.45,75.0,89,3.56,11.69,2012-07-01,北京,73.8,67.46,19.68,24.53,2.19,2.34,105.81
2,陆金服, -1,A+,91.88,76.0,77,3.52,8.01,2012-06-01,上海,0.27,63.95,78.73,26.5,0.9,2.51,91.27
3,拍拍贷, 0,A+,90.35,50.0,73,0.89,13.61,2007-06-01,上海,16.54,96.03,8.29,26.5,0.11,0.52,124.98
4,人人贷, 0,A+,89.88,80.0,77,2.95,9.46,2011-10-01,北京,7.92,50.12,8.87,24.53,1.77,3.4,93.43
5,微贷网, 0,A+,88.69,80.0,77,0.37,7.65,2011-08-01,浙江,9.59,10.85,15.96,17.46,1.1,1.61,112.98
6,小赢理财, 2,A+,87.78,70.0,78,0.98,7.3,2014-08-01,广东,5.86,39.96,59.47,23.66,0.22,0.68,105.9
7,开鑫金服, -1,A+,87.14,80.0,83,1.52,6.71,2012-12-01,江苏,7.89,19.78,8.35,3.23,3.6,13.49,84.23
8,投哪网, 1,A+,86.15,57.5,72,0.83,8.36,2012-07-01,广东,11.74,10.65,12.13,23.66,2.38,2.85,41.55
9,宜贷网, -2,A+,85.49,82.5,84,0.47,10.76,2014-01-01,四川,10.26,12.96,41.04,2.54,1.69,6.92,32.06
10,有利网, 0,A,84.89,81.0,77,2.01,9.77,2013-02-01,北京,9.09,35.59,10.75,24.53,0.85,0.97,56.28
11,点融网, 3,A,84.38,80.0,73,0.44,7.49,2014-11-01,上海,5.31,-82.88,1.9,26.5,2.59,0.62,3.83
12,凤凰金融, 0,A,83.99,43.5,78,1.04,6.32,2014-12-01,北京,7.68,1.41,25.45,24.53,3.3,6.82,416.39
13,积木盒子, -2,A,83.42,80.0,83,0.86,8.22,2013-08-01,北京,12.23,18.09,14.79,24.53,0.2,0.35,63.34
14,团贷网, 1,A,83.28,80.0,72,0.5,9.48,2012-07-01,广东,3.19,3.85,40.0,23.66,2.11,3.76,27.67
15,翼龙贷, 2,A,82.74,80.0,89,1.25,8.99,2011-04-01,北京,5.71,-57.18,9.68,24.53,0.93,1.89,66.19
16,麻袋理财, -3,A,82.48,69.0,83,2.44,8.28,2014-12-01,上海,16.67,50.54,20.54,26.5,0.38,0.73,14.8
17,海融易, 4,A,82.16,47.5,57,0.54,7.21,2014-12-01,山东,1.77,120.0,13.39,2.82,4.2,30.6,227.6
18,东方汇, -2,A,81.88,65.0,78,0.26,5.03,2014-06-01,上海,5.86,1.16,14.34,26.5,1.62,7.86,0.99
19,民贷天下, 0,A,81.64,76.5,78,0.44,6.51,2014-12-01,广东,6.28,-5.43,16.8,23.66,0.36,1.69,3.65
20,爱钱进, 0,A,81.26,70.0,83,3.59,10.29,2014-05-01,北京,13.2,86.53,37.0,24.53,1.16,1.85,16.71
21,你我贷, 2,A,80.7,69.0,79,1.94,10.82,2011-06-01,上海,14.49,1.11,12.73,26.5,0.46,0.65,42.51
22,Ppmoney, 0,A,80.19,85.0,83,0.7,9.36,2012-12-01,广东,2.82,16.03,20.67,23.66,0.61,0.83,31.78
23,鑫合汇, 4,B+,79.83,77.5,78,0.09,7.29,2013-12-01,浙江,13.2,4.77,71.21,17.46,2.52,12.58,120.54
24,小牛在线, -6,B+,79.27,86.0,71,0.66,9.17,2013-06-01,广东,3.37,-16.61,19.71,23.66,2.33,3.74,39.04
25,道口贷, 5,B+,78.74,87.5,79,0.45,8.53,2014-12-01,北京,13.44,18.65,5.31,24.53,3.28,8.05,71.83
26,金开贷, -2,B+,78.32,80.0,79,1.03,7.8,2013-12-01,陕西,6.52,-11.88,1.15,0.15,4.27,11.8,3.09
27,财富星球, -2,B+,78.04,56.5,78,0.87,8.58,2013-10-01,北京,5.04,175.02,3.3,24.53,4.14,13.21,10.76
28,生菜金融, 1,B+,77.52,38.5,74,0.23,8.74,2014-09-01,上海,7.52,1.95,8.24,26.5,0.93,4.9,2.8
29,人人聚财, 5,B+,77.16,62.5,73,0.99,9.8,2011-11-01,广东,7.84,0.18,3.52,23.66,9.3,2.77,25.08
30,北京众信金融, -4,B+,76.76,73.5,61,0.8,8.39,2014-06-01,北京,12.55,-32.87,6.7,24.53,4.85,15.95,102.94
31,银湖网, 1,B+,76.3,77.5,79,2.57,12.03,2014-07-01,北京,5.2,-5.99,5.35,24.53,1.77,3.37,1.87
32,博金贷, 3,B+,75.86,75.0,84,0.25,6.14,2014-09-01,江西,14.33,61.37,12.86,0.38,2.96,12.67,10.47
33,理财范, -5,B+,75.44,57.5,73,0.86,9.42,2014-03-01,北京,10.44,4.38,5.67,24.53,3.08,6.57,7.52
34,和信贷, 5,B+,75.37,75.0,83,0.14,12.2,2013-08-01,北京,20.12,-11.97,4.95,24.53,4.53,8.99,11.94
35,恒大金服, -2,B+,74.94,27.5,50,1.4,7.2,2016-03-01,广东,83.99,38.85,4.52,23.66,3.26,9.15,0.13
36,链链金融, -5,B+,74.31,40.0,80,0.42,6.0,2014-11-01,北京,26.66,19.37,1.12,24.53,0.98,2.62,10.67
37,玖融网, 3,B+,73.97,70.0,84,1.74,11.41,2013-07-01,湖北,4.44,59.89,1.48,1.08,1.89,3.49,9.3
38,短融网, 3,B+,73.76,60.0,78,0.46,9.3,2014-06-01,北京,7.22,-4.86,1.89,24.53,10.89,3.31,5.82
39,融金所, 3,B+,73.33,48.5,71,0.92,11.0,2013-05-01,广东,7.92,20.71,6.29,23.66,2.32,4.37,42.89
40,广信贷, 4,B+,72.68,70.0,77,1.22,11.85,2013-01-01,北京,16.3,22.83,3.68,24.53,1.44,3.96,15.85
41,铜掌柜, -5,B+,72.19,65.0,72,0.83,7.58,2014-10-01,浙江,1.26,28.5,3.27,17.46,4.59,11.18,9.76
42,友金所, 3,B+,71.43,60.0,72,4.01,9.0,2014-10-01,广东,32.38,96.61,9.83,23.66,1.97,4.45,8.67
43,红岭创投, -6,B+,71.27,50.0,67,0.26,8.04,2009-03-01,广东,7.49,-6.92,37.47,23.66,2.9,7.71,183.16
44,广州e贷, -6,B+,70.28,90.0,78,0.61,8.59,2015-01-01,广东,11.15,-20.26,1.3,23.66,2.06,5.82,1.38
45,银豆网, -2,B+,70.09,71.5,84,1.37,12.69,2014-02-01,北京,8.67,72.64,4.59,24.53,1.12,5.14,6.22
46,付融宝, 2,B,69.5,72.5,78,1.2,10.6,2013-11-01,江苏,14.95,9.66,4.28,3.23,24.02,12.79,5.0
47,理想宝, -1,B,69.22,77.5,72,0.4,9.94,2014-05-01,广东,6.32,-36.96,2.64,23.66,4.83,8.21,4.8
48,首金网, 6,B,69.19,82.5,89,0.44,8.32,2015-12-01,北京,17.82,20.24,22.07,24.53,3.16,12.1,18.4
49,奇乐融, -2,B,68.87,65.0,67,0.35,7.02,2015-10-01,安徽,1.91,-70.54,0.74,0.45,0.78,2.07,1.73
50,联连理财, 2,B,68.69,60.0,61,0.14,10.06,2015-12-01,上海,9.43,43.5,3.42,26.5,0.82,1.75,10.61
51,拓道金服, -2,B,68.13,60.0,89,0.68,10.94,2013-12-01,浙江,8.52,37.81,3.38,17.46,1.37,2.94,11.93
52,口袋理财, -1,B,67.72,47.5,55,0.23,7.94,2015-11-01,上海,14.91,-98.03,8.51,26.5,0.3,0.26,40.75
53,向上金服, 5,B,67.48,55.0,66,0.27,10.04,2013-08-01,北京,0.05,113.05,25.9,24.53,6.84,21.01,3.18
54,爱钱帮, 5,B,67.22,77.5,83,0.21,9.45,2014-03-01,北京,22.27,-12.73,9.11,24.53,1.65,4.92,116.56
55,万盈金融, -2,B,66.97,72.5,72,1.27,11.93,2015-05-01,广东,15.83,24.67,2.52,23.66,3.09,6.05,2.35
56,中瑞财富, 0,B,66.61,52.5,67,0.31,7.0,2014-05-01,北京,4.0,-89.8,0.74,24.53,9.68,27.28,5.38
57,汉金所, -2,B,66.27,65.0,72,0.94,8.09,2015-03-01,湖北,7.03,-78.14,0.32,1.08,2.22,5.63,0.39
58,联金所, 6,B,65.97,60.0,74,2.79,11.77,2013-11-01,广东,6.83,12.29,1.75,23.66,1.14,2.3,0.45
59,抱财网, 1,B,65.59,87.5,83,1.15,11.26,2014-03-01,北京,8.43,36.72,2.69,24.53,6.23,12.49,7.06
60,果树财富, 2,B,65.33,76.0,78,0.55,11.92,2014-08-01,广东,10.58,23.54,0.9,23.66,1.92,2.45,2.78
61,e融所, 5,B,65.12,77.5,83,0.62,10.41,2015-11-01,广东,21.1,47.51,5.55,23.66,2.17,4.44,4.3
62,钜宝盆, -5,B,64.91,57.5,61,3.87,8.13,2015-05-01,上海,3.4,58.64,7.52,26.5,0.7,3.07,11.2
63,图腾贷, 0,B,64.63,75.0,78,1.0,13.44,2014-09-01,四川,6.83,31.2,2.69,2.54,0.67,1.89,7.44
64,珠宝贷, -3,B,64.49,86.5,77,0.24,9.51,2014-09-01,广东,10.2,-42.67,4.0,23.66,7.07,19.16,1.36
65,米缸金融,,B,64.27,63.5,61,1.06,7.99,2015-02-01,上海,37.52,68.26,5.76,26.5,4.65,9.0,0.34
66,腾邦创投, 1,B,63.71,57.5,85,0.13,15.0,2014-09-01,广东,1.24,2.27,0.91,23.66,0.82,37.58,0.2
67,鹏金所, 2,B,63.68,50.0,67,0.63,6.58,2015-01-01,广东,12.54,-7.08,14.95,23.66,1.98,9.02,0.16
68,合拍在线, -3,B,63.44,77.5,84,0.71,10.73,2012-06-01,广东,4.32,12.59,2.08,23.66,8.92,21.99,5.1
69,可溯金融,,B,63.07,72.5,77,0.31,8.99,2014-09-01,浙江,6.59,10.81,3.14,17.46,2.44,3.44,10.03
70,e路同心, 3,B,62.87,61.0,67,0.75,11.37,2014-08-01,广东,10.36,6.44,7.03,23.66,2.08,4.47,3.07
71,看看钱包,,B,62.59,55.0,78,0.44,8.6,2015-06-01,湖南,8.97,22.7,0.27,0.21,21.55,39.03,3.08
72,金联储, -4,B,62.45,72.5,83,0.28,10.52,2014-09-01,北京,6.92,-36.04,3.06,24.53,16.45,33.38,4.82
73,华人金融, -2,B,62.14,67.5,68,0.83,8.63,2015-01-01,广东,5.71,14.17,5.51,23.66,11.69,35.3,0.64
74,沪商财富,,B,61.62,67.5,83,0.86,14.51,2014-06-01,上海,10.58,33.72,1.2,26.5,2.36,4.39,11.53
75,91旺财, -5,B,61.28,50.0,78,0.21,7.53,2014-03-01,北京,2.46,-113.51,1.29,24.53,3.01,10.01,61.49
76,永利宝, -1,B,61.02,42.5,74,1.11,8.94,2013-11-01,上海,0.87,141.58,0.67,26.5,0.45,0.47,6.08
77,今日捷财, -5,B,60.84,67.5,79,0.72,9.07,2014-08-01,上海,6.38,27.1,0.7,26.5,1.39,6.02,2.75
78,口贷网, -4,B,60.6,55.0,72,0.6,16.5,2011-01-01,四川,5.95,22.46,1.36,2.54,9.62,26.35,11.27
79,立业贷,,B,60.38,0.0,0,1.16,12.52,2014-02-01,广东,10.5,8.4,0.51,23.66,1.89,3.05,6.39
80,新联在线,,B,60.15,74.0,78,0.5,10.88,2013-07-01,广东,8.4,48.08,4.93,23.66,2.08,9.54,2.6
