序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金服,A+,93.03,9.01,28.17,7.72,45.78,3.33,25.52,0.62,2.12,93.68
2,人人贷,A+,91.7,6.91,51.88,9.35,6.94,3.08,23.21,2.49,3.35,98.3
3,宜人贷,A+,89.28,9.34,63.26,10.77,14.64,3.83,23.21,2.38,2.38,116.72
4,拍拍贷,A+,88.56,21.07,56.71,11.17,8.75,1.36,25.52,0.19,0.42,139.13
5,微贷网,A+,88.19,12.41,9.25,7.81,34.81,0.31,16.66,0.94,2.84,102.39
6,开鑫金服,A+,87.91,7.85,12.35,6.65,6.86,1.58,2.91,2.48,11.94,45.74
7,小赢理财,A+,86.1,3.4,40.09,7.08,38.31,0.92,25.17,0.29,1.01,117.59
8,投哪网,A+,85.48,8.21,-0.39,9.06,7.68,1.07,25.17,2.07,2.97,38.89
9,宜贷网,A,84.75,7.6,10.69,9.9,28.58,0.44,2.42,1.34,6.68,18.7
10,点融网,A,84.45,2.15,-35.37,7.76,0.07,0.92,25.52,11.06,10.14,3.34
11,积木盒子,A,83.85,9.35,24.3,8.08,12.52,0.76,23.21,0.28,0.54,61.87
12,麻袋理财,A,83.76,12.67,20.87,8.77,13.48,2.71,25.52,0.45,0.84,11.92
13,有利网,A,82.71,7.71,54.07,10.09,10.63,2.65,23.21,0.86,1.11,53.05
14,凤凰金融,A,82.39,7.55,20.27,6.44,28.25,1.06,23.21,2.24,4.82,504.06
15,民贷天下,A,81.83,9.43,3.75,6.38,23.41,0.37,25.17,0.69,1.82,5.05
16,团贷网,A,81.49,11.21,9.53,9.93,20.48,0.84,25.17,2.2,4.4,5.5
17,翼龙贷,A,81.15,6.56,-57.6,9.53,4.2,1.54,23.21,2.12,4.23,63.93
18,爱钱进,A,80.65,12.5,79.92,10.71,21.68,3.85,23.21,0.97,1.91,12.19
19,Ppmoney,A,80.28,3.01,32.07,9.42,16.4,0.85,25.17,0.53,0.85,23.41
20,东方汇,B+,79.9,7.14,10.3,5.0,16.96,0.25,25.52,1.82,8.25,0.75
21,小牛在线,B+,79.4,3.24,19.74,9.59,24.75,0.68,25.17,2.09,4.75,57.18
22,你我贷,B+,78.85,11.81,6.24,11.03,11.79,2.3,25.52,0.1,0.77,38.21
23,金开贷,B+,78.23,7.03,-30.71,7.67,0.91,0.91,0.13,3.78,13.05,4.5
24,北京众信金融,B+,78.06,14.75,-17.34,7.85,9.24,0.59,23.21,6.62,30.51,161.66
25,银客网,B+,77.99,2.32,-56.36,8.29,1.38,0.72,23.21,4.34,11.01,5.05
26,海融易,B+,77.35,15.37,92.93,7.31,10.83,0.61,2.41,4.54,34.47,184.51
27,理财范,B+,77.24,8.49,14.2,9.45,4.9,0.87,23.21,3.24,7.73,11.14
28,银湖网,B+,76.88,0.49,-65.14,12.05,0.16,2.85,23.21,0.22,0.48,1.65
29,生菜金融,B+,76.6,5.18,-1.29,8.79,5.72,0.2,25.52,0.89,4.96,3.19
30,道口贷,B+,76.25,14.15,-16.51,8.43,3.26,0.45,23.21,3.15,8.83,60.72
31,链链金融,B+,75.94,85.87,-16.67,6.0,0.88,0.22,23.21,1.02,3.76,11.1
32,鑫合汇,B+,75.85,17.64,4.46,7.4,41.74,0.13,16.66,3.86,23.09,68.19
33,红岭创投,B+,75.37,7.24,-3.73,7.59,33.83,0.26,25.17,2.03,6.74,197.12
34,广州e贷,B+,74.84,13.4,-28.45,8.63,1.23,0.51,25.17,1.91,7.33,2.19
35,短融网,B+,74.63,5.46,30.86,9.66,2.26,0.49,23.21,9.35,3.58,6.94
36,恒大金服,B+,73.82,94.32,37.51,7.8,3.8,1.8,25.17,4.16,12.26,0.13
37,人人聚财,B+,73.6,6.52,7.71,9.95,3.4,0.96,25.17,7.6,2.74,27.23
38,融金所,B+,72.6,7.17,28.34,11.66,6.13,0.95,25.17,1.66,4.23,37.77
39,博金贷,B+,71.67,10.22,65.47,5.93,10.69,0.27,0.34,2.7,13.02,9.2
40,铜掌柜,B+,71.27,2.92,28.62,8.09,5.71,0.8,16.66,6.72,16.03,14.95
41,银豆网,B+,70.37,8.46,62.78,12.72,3.14,1.45,23.21,1.08,5.58,6.06
42,玖融网,B,69.93,4.9,46.01,11.27,1.18,1.6,0.8,1.72,3.71,7.31
43,和信贷,B,69.23,14.34,11.03,12.46,3.62,0.66,23.21,3.69,7.7,9.37
44,奇乐融,B,68.79,2.51,-173.45,7.16,0.59,0.55,0.41,0.79,2.46,1.97
45,理想宝,B,68.66,6.1,22.43,10.48,4.22,0.44,25.17,3.62,8.29,7.28
46,诺诺镑客,B,68.44,9.32,16.47,11.1,2.72,2.14,25.52,0.47,0.87,14.95
47,联连理财,B,68.31,21.49,-6.8,10.87,4.87,0.23,25.52,0.32,0.71,5.95
48,广信贷,B,67.62,19.48,10.54,11.21,2.83,0.84,23.21,1.43,4.47,19.22
49,友金所,B,67.29,37.17,-2.81,9.0,0.76,4.22,25.17,9.31,4.6,3.62
50,万盈金融,B,67.16,13.37,38.31,12.37,2.19,1.45,25.17,2.41,5.87,2.78
51,口袋理财,B,66.96,13.32,-31.95,8.36,20.84,0.46,25.52,0.32,0.56,38.33
52,中瑞财富,B,66.45,10.33,-26.94,7.28,3.04,0.25,23.21,9.71,31.62,0.53
53,付融宝,B,66.39,11.79,38.95,9.93,5.09,0.85,2.91,12.6,8.17,7.96
54,拓道金服,B,65.72,10.26,25.65,11.04,2.64,0.66,16.66,0.97,2.8,7.91
55,钜宝盆,B,65.59,9.62,9.08,8.13,4.61,4.1,25.52,0.68,2.82,8.5
56,首金网,B,65.38,23.03,34.06,8.4,22.11,0.4,23.21,2.61,12.62,17.96
57,汉金所,B,64.92,6.99,-94.71,8.12,0.54,0.93,0.8,2.28,7.01,0.73
58,珠宝贷,B,64.78,6.55,-12.28,9.99,3.41,0.32,25.17,7.04,17.83,2.02
59,抱财网,B,64.39,6.32,20.37,11.58,1.64,1.08,23.21,6.83,12.99,10.59
60,果树财富,B,63.93,12.42,8.94,12.98,0.71,0.48,25.17,1.63,2.41,2.24
61,合拍在线,B,63.52,4.87,12.37,10.49,2.24,0.61,25.17,8.0,21.34,6.16
62,向上金服,B,63.29,0.41,100.36,10.19,29.38,0.25,23.21,5.88,23.73,2.35
63,爱钱帮,B,62.7,17.62,29.77,9.56,8.69,0.24,23.21,1.48,5.59,160.26
64,金联储,B,62.45,8.96,12.24,10.11,8.53,0.33,23.21,16.99,37.12,12.13
65,腾邦创投,B,62.08,2.04,-63.87,15.0,0.85,0.0,25.17,0.73,37.18,0.09
66,e融所,B,61.85,14.82,56.14,10.87,4.18,0.65,25.17,1.85,4.56,3.77
67,今日捷财,B,61.42,6.13,21.42,9.11,0.62,0.7,25.52,2.13,6.18,2.36
68,图腾贷,B,61.26,8.85,26.41,13.75,2.47,0.84,2.42,0.54,1.85,6.53
69,华人金融,B,60.72,4.49,40.46,8.89,6.95,0.68,25.17,18.96,51.2,0.97
70,口贷网,B,60.11,6.07,-9.62,16.4,0.99,0.61,2.42,7.55,23.95,9.58
