序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,89.29,0.22,0.0,5.45,4.83,1.82,7.49,2.9,8.08,4.27
2,人人贷,A+,87.41,0.28,0.0,10.26,3.33,3.94,5.28,24.59,11.65,29.61
3,宜人贷,A+,86.9,0.41,0.0,12.0,18.61,5.77,5.28,7.4,7.42,19.27
4,开鑫贷,A+,85.48,0.49,0.0,8.77,22.26,1.33,5.95,16.07,482.2,528.87
5,微贷网,A+,85.3,0.43,0.0,11.43,25.31,0.8,11.8,1.3,6.52,99.21
6,拍拍贷,A+,85.17,0.19,0.0,13.61,0.77,1.25,7.49,4.52,1.51,37.42
7,积木盒子,A+,85.03,0.19,0.0,6.71,8.16,0.34,5.28,24.97,122.77,10.16
8,有利网,A,84.63,0.61,0.0,8.51,22.26,2.52,5.28,1.33,0.94,216.63
9,投哪网,A,83.43,0.38,0.0,10.66,21.83,0.49,16.7,5.39,15.22,48.69
10,红岭创投,A,83.39,0.33,0.0,9.64,84.77,0.37,16.7,10.95,104.47,318.17
11,小牛在线,A,83.27,0.65,0.0,13.74,43.8,1.52,16.7,14.57,28.0,53.43
12,翼龙贷网,A,83.12,0.42,0.0,17.34,18.41,1.72,5.28,1.73,6.32,110.42
13,金宝保,A,83.05,0.38,0.0,6.39,10.05,1.05,0.86,10.12,586.26,50.16
14,PPmoney,A,82.43,0.43,0.0,9.24,58.19,0.4,16.7,5.57,12.0,222.91
15,365易贷,A,81.22,0.12,0.0,13.83,0.46,0.84,5.95,5.2,16.84,5.16
16,鑫合汇,A,80.2,0.39,0.0,9.98,100.0,0.17,11.8,135.62,460.0,309.78
17,爱投资,B+,79.54,0.27,0.0,11.54,15.54,1.5,5.28,7.59,19.85,792.53
18,抱财网,B+,79.38,0.58,0.0,12.74,68.96,0.47,14.28,251.13,468.91,4.19
19,爱钱进,B+,79.19,0.49,0.0,13.02,18.09,5.18,5.28,11.45,10.23,127.41
20,一起好,B+,79.17,0.34,0.0,16.69,8.12,0.9,2.21,4.67,15.52,61.39
21,宜贷网,B+,78.96,0.28,0.0,11.12,27.53,0.37,3.93,3.59,41.6,12.44
22,你我贷,B+,78.83,0.43,0.0,10.83,16.34,4.15,7.49,6.69,102.07,35.8
23,京金联,B+,78.45,0.4,0.0,10.07,0.08,0.81,15.28,44.06,275.34,9.26
24,合拍在线,B+,78.31,0.37,0.0,12.36,7.6,0.27,16.7,44.88,147.2,8.72
25,广信贷,B+,77.81,0.27,0.0,17.32,2.72,0.26,5.28,25.54,56.63,22.78
26,银湖网,B+,77.66,0.44,0.0,12.79,6.48,2.51,5.28,27.5,39.5,4.72
27,银客网,B+,77.41,0.36,0.0,9.87,13.74,0.72,5.28,50.42,282.07,19.51
28,理财范,B+,77.12,0.34,0.0,12.2,12.31,1.22,5.28,61.79,172.72,121.02
29,团贷网,B+,76.71,0.38,0.0,12.86,12.52,0.76,16.7,2.18,8.05,34.68
30,珠宝贷,B+,76.68,0.44,0.0,10.35,17.98,0.3,16.7,139.89,854.17,1.67
31,玖融网,B+,76.57,0.4,0.0,16.93,29.76,0.65,2.21,5.84,12.21,11.68
32,温州贷,B+,76.5,0.22,0.0,10.05,9.07,0.14,11.8,20.92,142.46,10.23
33,理想宝,B+,76.25,0.42,0.0,13.27,15.67,0.44,16.7,70.0,196.39,212.83
34,短融网,B+,76.11,0.41,0.0,11.53,5.87,0.19,5.28,135.0,89.0,6.89
35,和信贷,B+,75.79,0.34,0.0,14.87,7.87,0.94,5.28,10.2,34.63,8.65
36,招商贷,B+,75.31,0.21,0.01,15.97,10.76,0.1,0.77,158.23,169.81,5.71
37,信融财富,B+,75.17,0.37,0.0,16.11,6.47,0.76,16.7,50.99,313.61,24.0
38,北京众信金融,B,74.42,0.4,0.0,9.44,26.06,0.83,5.28,73.64,898.51,250.27
39,德众金融,B,74.01,0.21,0.05,12.44,4.85,0.2,5.28,103.01,87.04,6.72
40,诺诺镑客,B,73.98,0.45,0.0,11.69,1.91,3.56,7.49,0.36,1.12,77.8
