序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,89.19,45.53,85.23,7.6,19.08,27.23,13.14,6.5,198.22,100.41
2,人人贷,A+,88.06,40.61,72.13,9.83,16.42,24.11,29.1,11.99,15.65,15.58
3,宜人贷,A+,87.45,27.9,89.28,11.64,21.14,34.17,29.1,6.68,6.69,4.41
4,开鑫贷,A+,86.37,28.05,54.14,8.74,24.78,10.33,2.09,7.02,144.39,25.39
5,拍拍贷,A+,86.34,26.35,25.59,14.79,0.76,7.54,13.14,5.3,1.89,25.54
6,点融网,A+,85.87,41.26,72.87,8.06,20.08,11.46,13.14,0.25,224.91,6.4
7,投哪网,A,84.78,34.09,26.75,10.94,24.9,5.54,31.56,3.86,7.98,37.55
8,微贷网,A,84.21,36.6,18.49,11.15,29.58,2.64,11.06,1.29,6.44,26.84
9,有利网,A,82.94,55.91,60.67,10.27,18.13,18.98,29.1,1.48,0.88,95.36
10,积木盒子,A,81.21,40.88,10.89,6.75,22.02,5.15,29.1,1.07,2.86,2.03
11,小牛在线,A,81.07,49.63,80.64,12.0,68.6,8.16,31.56,25.3,52.28,48.75
12,宜贷网,A,80.95,46.48,7.04,11.08,49.29,2.06,2.24,2.23,44.34,8.46
13,麻袋理财,A,80.81,24.84,51.04,11.58,42.25,32.0,13.14,1.69,3.08,9.73
14,翼龙贷网,A,80.06,49.5,87.23,15.93,34.28,10.93,29.1,1.99,8.62,29.67
15,爱钱进,A,80.03,48.56,91.52,13.49,21.75,35.43,29.1,5.7,5.7,5.07
16,鑫合汇,B+,78.43,34.24,-0.73,9.37,91.13,0.83,11.06,157.26,1275.33,174.16
17,PPmoney,B+,77.51,44.44,26.99,9.66,86.17,2.45,31.56,5.27,14.13,249.92
18,金宝保,B+,76.54,38.7,44.36,7.89,10.08,8.39,1.3,7.02,419.19,16.57
19,链家理财,B+,75.31,37.17,22.01,8.27,100.0,2.2,29.1,4.1,88.4,384.52
20,理财范,B+,75.02,28.94,26.51,12.06,5.17,6.85,29.1,40.3,85.16,46.92
21,诺诺镑客,B+,73.92,47.88,92.91,11.4,4.53,21.72,13.14,0.42,1.31,40.7
22,你我贷,B+,73.39,39.21,83.89,11.71,14.74,32.73,13.14,2.01,2.76,12.71
23,爱投资,B+,72.37,28.84,25.25,11.97,14.13,10.17,29.1,10.3,18.94,49.55
24,银湖网,B+,71.22,46.43,57.53,12.65,5.26,16.37,29.1,4.9,17.58,1.41
25,红岭创投,B+,71.21,32.12,1.3,10.02,83.46,1.98,31.56,10.25,95.18,188.58
26,银客网,B+,70.71,46.24,-52.01,9.71,7.67,5.29,29.1,28.85,282.66,62.98
27,民贷天下,B+,70.57,64.97,14.92,8.28,23.23,1.99,31.56,1017.47,2814.85,4.57
28,金开贷,B+,70.54,20.14,70.89,7.49,3.48,6.99,0.27,26.01,339.54,24.73
29,短融网,B+,70.41,37.26,12.01,11.72,4.98,1.75,29.1,194.95,38.75,5.93
30,理想宝,B+,70.39,28.63,9.15,12.45,10.28,3.9,31.56,176.13,167.82,7.26
31,德众金融,B+,70.29,44.49,49.72,9.22,5.47,11.03,0.68,12.38,74.28,26.42
32,合拍在线,B,69.7,28.24,5.87,12.91,6.23,2.95,31.56,36.46,151.74,6.08
33,北京众信金融,B,69.69,36.72,38.73,11.29,17.93,8.11,29.1,76.32,890.38,87.74
34,皮城金融,B,69.01,50.37,59.54,7.86,15.44,4.71,11.06,14.19,578.73,2.85
35,信融财富,B,68.49,35.81,30.66,15.62,5.85,5.22,31.56,4.92,8.45,84.23
36,腾邦创投,B,68.47,34.75,37.08,14.47,9.19,4.97,31.56,18.66,180.09,28.74
37,网利宝,B,68.21,52.66,23.42,12.19,17.33,3.29,29.1,450.47,1091.12,16.11
38,珠宝贷,B,68.14,32.07,16.42,13.6,15.15,3.04,31.56,118.77,576.9,1.36
39,团贷网,B,68.01,54.42,25.75,13.37,22.73,4.28,31.56,1.17,4.66,14.35
40,一起好,B,67.97,41.22,12.09,15.05,8.2,4.79,1.14,4.93,15.82,40.06
41,银豆网,B,67.83,26.41,79.34,14.68,6.41,11.73,29.1,42.25,331.58,3.02
42,鹏金所,B,67.7,46.97,13.49,7.71,30.98,3.29,31.56,92.55,458.1,2.37
43,抱财网,B,67.61,63.72,4.9,13.26,6.2,3.53,29.1,542.7,677.08,13.56
44,金融工场,B,67.44,58.71,13.11,9.23,30.62,2.07,29.1,1454.91,4186.82,191.96
45,玖融网,B,67.23,41.17,-0.54,15.05,2.01,4.36,1.14,6.2,11.64,7.16
46,铜掌柜,B,66.66,61.77,-3.79,10.37,36.79,1.32,11.06,97.54,253.86,97.75
47,付融宝,B,66.45,70.24,20.36,12.74,6.94,4.91,2.09,136.04,301.25,3.96
48,招商贷,B,66.08,25.52,-14.56,13.3,7.5,0.16,0.44,23.64,95.46,0.74
49,生菜金融,B,65.91,37.59,44.99,9.0,4.1,5.61,13.14,20.52,16.29,19.32
50,道口贷,B,65.45,37.88,47.02,8.53,9.54,3.79,29.1,16.88,154.65,44.21
51,金联储,B,65.38,39.6,25.15,9.62,14.99,2.76,29.1,2124.5,1129.57,6.66
52,钜宝盆,B,65.21,88.21,94.78,10.0,32.98,29.8,13.14,0.89,10.25,1.9
53,和信贷,B,65.16,29.72,-37.87,13.21,4.47,3.57,29.1,36.6,84.38,4.14
54,温州贷,B,65.11,14.22,-15.24,10.08,4.66,0.91,13.14,15.43,107.1,5.04
55,贷贷兴隆,B,64.98,31.38,11.81,8.52,1.73,10.17,1.3,1.04,225.29,10.74
56,友金所,B,64.72,83.58,89.8,10.0,12.97,34.34,31.56,10.94,118.91,2.46
57,91旺财,B,64.68,28.68,3.75,8.3,10.18,1.72,29.1,45.13,165.03,9.94
58,银票网,B,64.6,41.5,-2.33,7.73,16.32,0.63,13.14,36.72,336.73,6.9
59,合力贷,B,63.93,31.81,-10.47,13.48,0.72,3.83,29.1,118.93,213.58,26.85
60,中瑞财富,B,63.87,41.02,-2.91,10.29,14.69,2.99,29.1,974.48,3668.98,4.77
