序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,宜人贷, 0,A+,94.09,60.0,90.0,3.02,11.59,2012-07-01,北京,28.79,21.88,46.21,23.79,2.08,2.65,340.02
2,陆金服, 0,A+,92.21,82.5,72.5,3.27,8.35,2012-06-01,上海,9.01,-25.12,100.0,25.38,0.95,2.32,57.25
3,微贷网, 1,A+,91.58,77.5,68.0,0.37,7.36,2011-08-01,浙江,6.27,0.54,57.28,18.28,0.49,1.35,98.72
4,开鑫金服, 1,A+,90.09,57.5,90.0,1.69,6.89,2012-12-01,江苏,4.99,69.82,19.56,3.73,1.48,10.82,18.1
5,拍拍贷, -2,A+,89.24,62.5,54.0,0.66,15.15,2007-06-01,上海,8.68,-14.08,23.81,25.38,0.19,0.58,162.23
6,人人贷, 1,A+,88.18,87.5,74.0,2.35,9.37,2010-10-01,北京,8.23,47.92,13.09,23.79,1.02,3.19,49.53
7,投哪网, -1,A+,87.94,60.0,74.0,1.51,9.5,2012-07-01,广东,10.67,-10.46,19.21,24.39,1.61,2.79,68.3
8,凤凰金融, 1,A+,87.34,55.0,70.0,1.2,6.87,2014-12-01,北京,5.37,-38.19,19.54,23.79,3.07,10.09,421.55
9,宜贷网, 1,A+,86.77,85.0,64.0,0.31,10.24,2014-01-01,上海,2.4,-10.07,46.7,2.93,1.37,5.53,11.25
10,团贷网, -2,A+,86.16,63.75,64.0,0.84,9.52,2012-07-01,广东,8.36,39.52,40.68,24.39,1.9,3.37,35.43
11,小赢网金, 1,A+,85.63,70.0,58.0,1.02,7.74,2014-08-01,广东,8.86,43.73,49.0,24.39,0.56,1.04,90.29
12,点融网, -1,A+,85.09,81.25,48.0,2.5,13.65,2014-11-01,上海,8.86,-77.76,19.34,25.38,0.59,1.12,37.83
13,你我贷, 3,A,84.44,82.5,64.0,1.3,10.44,2011-06-01,上海,11.8,12.7,30.77,25.38,0.36,0.78,51.66
14,有利网, 0,A,83.75,80.0,74.0,1.8,9.28,2013-02-01,北京,11.9,40.92,22.87,23.79,0.48,0.77,84.24
15,爱钱进, -2,A,82.84,68.75,74.0,3.0,10.29,2014-05-01,北京,14.86,53.46,39.41,23.79,1.28,1.94,27.54
16,麻袋理财, 1,A,82.32,77.5,64.0,1.69,8.74,2014-12-01,上海,24.86,-0.21,26.66,25.38,1.63,2.89,46.17
17,海融易, -2,A,82.28,60.0,62.0,0.64,7.37,2014-12-01,山东,2.08,-76.02,3.23,2.64,3.42,8.65,34.83
18,积木盒子, 1,A,81.88,86.25,74.0,1.39,8.97,2013-08-01,北京,10.94,12.16,25.69,23.79,0.25,0.45,32.5
19,小牛在线, 3,A,81.34,72.5,74.0,0.52,9.82,2013-06-01,广东,7.72,32.53,50.4,24.39,1.97,4.34,66.69
20,翼龙贷, -2,A,81.22,80.0,74.0,1.2,9.13,2011-04-01,北京,9.69,-44.24,16.93,23.79,0.94,2.19,45.18
21,鑫合汇, 3,A,80.67,67.5,74.0,0.04,7.02,2013-12-01,浙江,4.48,-2.35,96.01,18.28,0.81,10.5,367.1
22,博金贷, -2,A,80.62,80.0,68.0,0.5,8.26,2014-09-01,江西,2.78,9.74,7.72,0.44,1.48,4.93,10.73
23,PPmoney网贷, -2,B+,79.91,75.0,80.0,0.45,9.49,2012-12-01,广东,13.3,-35.36,19.53,24.39,0.8,0.97,60.85
24,银湖网, 2,B+,79.79,72.5,48.0,3.0,12.03,2014-07-01,北京,31.08,-71.78,4.71,23.79,1.27,2.11,6.73
