序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,宜人贷, 0,A+,93.52,65.0,89,3.47,11.69,2012-07-01,北京,72.49,24.46,23.94,24.02,2.06,2.21,153.18
2,拍拍贷, 2,A+,92.16,40.0,73,0.89,13.71,2007-06-01,上海,14.49,-28.42,14.51,26.85,0.26,0.68,100.8
3,陆金服, -1,A+,89.76,82.5,77,3.44,7.99,2012-06-01,上海,0.51,63.14,77.76,26.85,0.94,2.28,120.33
4,人人贷, -1,A+,88.36,81.25,83,2.9,9.56,2010-10-01,北京,7.9,41.96,9.23,24.02,1.72,3.36,42.31
5,宜贷网, 2,A+,87.77,85.0,78,0.34,10.97,2014-01-01,四川,13.38,6.75,56.15,2.85,1.86,7.79,41.69
6,开鑫金服, 0,A+,87.19,57.5,94,1.67,6.79,2012-12-01,江苏,40.66,-53.96,2.2,3.62,3.63,12.04,19.29
7,微贷网, -2,A+,86.56,80.0,77,0.46,7.75,2011-08-01,浙江,8.24,4.22,18.04,17.43,0.87,1.33,104.78
8,投哪网, 1,A+,86.26,58.75,78,0.73,8.19,2012-07-01,广东,10.17,10.24,12.06,23.5,1.11,2.78,52.53
9,小赢理财, -1,A+,85.61,51.0,72,1.06,7.5,2014-08-01,广东,4.18,-32.65,42.16,23.5,0.25,0.65,113.07
10,点融网, 1,A,84.79,80.0,73,1.89,10.86,2014-11-01,上海,2.05,-34.62,35.24,26.85,0.31,0.71,5.48
11,凤凰金融, 1,A,84.68,44.5,90,1.12,6.41,2014-12-01,北京,8.98,-24.88,24.79,24.02,4.58,10.62,349.44
12,有利网, -2,A,84.1,76.25,83,2.03,9.7,2013-02-01,北京,8.74,46.63,14.53,24.02,0.87,0.99,67.75
13,团贷网, 0,A,83.9,62.5,72,0.7,9.62,2012-07-01,广东,4.22,15.89,47.08,23.5,2.2,3.76,32.13
14,翼龙贷, 0,A,83.62,78.75,83,1.25,8.95,2011-04-01,北京,6.11,-46.93,13.37,24.02,1.01,2.07,71.23
15,麻袋理财, 1,A,83.26,63.75,89,2.35,8.13,2014-12-01,上海,18.66,8.37,20.86,26.85,0.38,0.84,15.49
16,海融易, 2,A,82.79,56.25,62,0.56,7.64,2014-12-01,山东,13.37,131.04,13.35,2.56,4.24,33.89,219.66
17,积木盒子, -2,A,82.54,80.0,89,1.13,8.67,2013-08-01,北京,9.77,21.02,14.27,24.02,0.24,0.38,31.43
18,爱钱进, 1,A,82.07,67.5,83,3.49,10.29,2014-05-01,北京,15.13,85.41,50.88,24.02,1.17,1.8,21.73
19,鑫合汇, 3,A,81.74,70.0,83,0.09,7.37,2013-12-01,浙江,11.08,-7.45,100.0,17.43,2.22,10.41,11.02
20,你我贷, -3,A,81.49,81.5,84,1.64,10.71,2011-06-01,上海,13.17,5.14,14.45,26.85,0.46,0.6,50.3
21,小牛在线, 0,A,81.3,70.0,83,0.6,9.17,2013-06-01,广东,4.36,12.53,28.32,23.5,2.53,3.58,50.05
22,和信贷, 11,A,80.87,77.5,77,0.13,11.93,2013-08-01,北京,23.45,-21.82,7.11,24.02,4.56,9.72,13.01
23,Ppmoney, 3,A,80.19,77.5,89,0.53,9.14,2012-12-01,广东,3.5,17.02,16.27,23.5,0.53,0.55,34.25
24,东方汇, -4,B+,79.72,57.5,84,0.3,5.1,2014-06-01,上海,3.43,-27.33,8.91,26.85,2.13,8.19,1.54
25,民贷天下, -2,B+,79.38,72.5,78,0.65,7.07,2014-12-01,广东,4.0,6.54,13.86,23.5,0.14,1.41,3.23
26,道口贷, -2,B+,78.99,72.5,78,0.44,8.53,2014-12-01,北京,11.15,21.45,6.24,24.02,3.51,7.92,71.91
27,银湖网, 3,B+,78.71,65.0,77,3.5,12.04,2014-07-01,北京,15.2,-24.32,4.85,24.02,1.71,2.65,0.85
28,财富星球, -3,B+,78.45,82.5,83,0.84,8.41,2013-10-01,北京,100.0,107.5,3.64,24.02,4.41,12.45,5.14
29,博金贷, -1,B+,77.63,85.0,72,0.24,6.26,2014-09-01,江西,11.95,60.98,16.04,0.43,2.38,10.44,13.78
30,金开贷, -1,B+,77.07,84.0,89,1.05,7.8,2013-12-01,陕西,6.35,-12.63,0.99,0.17,3.93,10.28,2.44
31,人人聚财, -4,B+,76.99,46.75,68,0.97,9.8,2011-11-01,广东,5.95,14.28,4.0,23.5,9.65,2.86,28.43
32,融金所, 3,B+,76.19,32.0,71,0.78,10.28,2013-05-01,广东,9.02,14.67,7.91,23.5,2.44,4.67,45.57
33,理财范, 4,B+,75.95,52.5,72,0.92,9.66,2014-03-01,北京,6.8,9.37,4.47,24.02,2.59,4.74,7.57
34,玖融网, 0,B+,75.37,51.5,84,1.42,11.87,2013-07-01,湖北,100.0,54.14,1.36,1.21,1.69,3.12,6.35
35,生菜金融, -4,B+,75.03,26.5,62,0.61,9.04,2014-09-01,上海,7.47,19.05,9.01,26.85,1.11,4.61,2.2
36,北京众信金融, -4,B+,74.7,50.0,68,0.84,8.45,2014-06-01,北京,3.9,-33.71,5.2,24.02,5.84,21.57,81.46
37,短融网, -1,B+,74.21,54.0,72,0.23,10.66,2014-06-01,北京,5.47,-21.95,0.51,24.02,12.13,3.43,4.07
38,友金所, 1,B+,73.72,42.5,66,3.95,9.0,2014-10-01,广东,15.28,89.58,9.96,23.5,4.45,4.79,10.99
39,银豆网, 4,B+,73.43,52.5,84,1.4,12.8,2014-02-01,北京,7.35,78.5,5.63,24.02,1.06,5.03,6.8
40,首金网, 4,B+,73.13,65.0,89,0.9,8.72,2015-12-01,北京,11.63,-84.71,10.2,24.02,0.99,3.47,6.92
41,恒大金服, -3,B+,72.72,16.0,50,1.37,7.0,2016-03-01,广东,113.32,36.12,4.53,23.5,3.52,9.12,0.15
42,广信贷, -1,B+,72.23,65.0,77,1.24,12.22,2013-01-01,北京,9.93,34.48,4.33,24.02,1.37,3.9,16.59
43,链链金融, -3,B+,71.52,77.5,78,0.75,6.0,2014-11-01,北京,12.37,66.15,2.3,24.02,0.74,2.07,8.42
44,付融宝, 1,B+,71.24,70.0,78,1.35,10.52,2013-11-01,江苏,4.86,17.89,0.96,3.62,3.18,1.92,4.25
45,拓道金服, 3,B+,70.67,38.0,83,0.53,10.12,2013-12-01,浙江,10.28,34.24,4.59,17.43,1.44,3.11,17.34
46,铜掌柜, -4,B+,70.66,85.0,77,0.5,7.57,2014-10-01,浙江,1.09,11.41,2.3,17.43,4.99,8.3,30.31
47,爱钱帮, 2,B,69.88,67.5,83,0.24,9.53,2014-03-01,北京,13.64,-47.62,7.09,24.02,1.36,3.68,60.82
48,广州e贷, -1,B,69.72,75.0,94,0.73,8.92,2015-01-01,广东,7.27,-30.61,1.11,23.5,1.73,4.32,1.13
49,红岭创投, -3,B,69.39,55.0,72,0.26,8.63,2009-03-01,广东,6.04,-0.11,43.01,23.5,2.85,9.0,198.02
50,联金所, 4,B,68.73,55.5,79,2.85,11.85,2013-11-01,广东,6.33,4.17,1.82,23.5,0.99,2.11,0.44
51,口袋理财, 2,B,68.47,45.5,61,0.14,7.89,2015-11-01,上海,5.9,-181.68,6.87,26.85,0.51,0.46,33.77
52,图腾贷, 5,B,68.18,55.0,84,0.69,13.01,2014-09-01,四川,6.3,41.49,3.43,2.85,1.0,2.82,9.59
53,向上金服, -3,B,67.93,62.5,72,0.28,9.84,2013-08-01,北京,0.12,105.83,30.69,24.02,7.4,23.48,1.67
54,理想宝, -3,B,67.85,69.0,78,0.42,9.91,2014-05-01,广东,3.71,-152.46,1.16,23.5,5.73,8.49,6.14
55,米缸金融, 5,B,67.5,43.5,67,1.03,7.9,2015-02-01,上海,20.61,39.31,3.53,26.85,3.76,7.11,0.38
56,e融所, 0,B,67.27,48.0,89,0.58,10.26,2015-11-01,广东,19.53,36.85,6.44,23.5,2.07,4.23,5.57
57,联连理财, -5,B,66.85,42.5,67,0.13,11.28,2015-12-01,上海,14.63,-14.61,4.61,26.85,0.25,0.72,6.45
58,奇乐融, -3,B,66.49,72.5,67,0.45,6.98,2015-10-01,安徽,0.63,35.58,0.98,0.51,0.59,1.67,1.4
59,鹏金所, 4,B,66.34,48.0,84,0.71,6.7,2015-01-01,广东,8.35,21.19,18.11,23.5,1.95,9.55,0.99
60,腾邦创投, 2,B,66.07,42.0,80,0.0,15.0,2014-09-01,广东,0.92,4.04,0.53,23.5,0.88,35.59,11.36
61,汉金所, -3,B,65.77,38.0,67,0.87,8.06,2015-03-01,湖北,3.57,-71.4,0.11,1.21,3.01,12.12,0.2
62,万盈金融, -3,B,65.55,52.0,66,1.06,11.68,2015-05-01,广东,11.19,24.32,2.53,23.5,3.06,5.57,3.2
63,中瑞财富, -2,B,65.52,21.5,62,0.32,7.6,2014-05-01,北京,0.45,-60.99,0.83,24.02,5.28,13.52,5.22
64,抱财网, 0,B,65.22,67.5,83,1.14,10.5,2014-03-01,北京,6.74,56.04,3.55,24.02,6.54,13.54,5.88
65,果树财富, 0,B,64.71,43.0,78,0.72,11.51,2014-08-01,广东,10.97,31.42,1.27,23.5,1.86,2.43,3.34
66,可溯金融, 3,B,64.56,55.0,89,0.33,9.08,2014-09-01,浙江,6.62,18.69,3.97,17.43,2.02,3.28,11.74
67,e路同心, -1,B,64.38,46.5,72,1.07,10.74,2014-08-01,广东,9.35,6.91,7.23,23.5,1.39,3.23,3.03
68,珠宝贷, 0,B,64.18,62.5,89,0.24,9.54,2014-09-01,广东,2.8,-22.56,4.54,23.5,6.69,19.15,4.13
69,永利宝, 2,B,63.98,70.0,56,1.28,9.12,2013-11-01,上海,2.77,41.84,1.24,26.85,0.52,0.75,4.79
70,合拍在线, 0,B,63.6,72.5,78,0.72,10.81,2012-06-01,广东,3.32,13.29,1.94,23.5,8.6,21.62,4.81
71,钜宝盆, -4,B,63.24,67.75,78,4.04,8.0,2015-05-01,上海,7.59,25.95,6.41,26.85,0.74,3.06,10.74
72,看看钱包, 3,B,62.9,35.5,90,0.37,8.55,2015-06-01,湖南,10.26,5.69,0.27,0.24,18.11,38.14,3.85
73,立业贷, 1,B,62.75,41.5,79,1.13,12.59,2014-02-01,广东,9.82,17.1,0.69,23.5,2.12,3.03,6.61
74,金联储, 2,B,62.17,71.5,88,0.31,10.94,2014-09-01,北京,13.22,39.08,8.03,24.02,5.79,7.88,13.53
75,沪商财富, -3,B,61.97,44.0,79,0.91,14.1,2014-06-01,上海,7.36,43.69,1.34,26.85,2.42,4.42,13.64
76,杉易贷, 0,B,61.52,0.0,0,0.92,8.82,2014-09-01,广东,6.12,33.83,1.37,23.5,0.98,3.22,1.44
77,华人金融, -4,B,61.37,21.75,68,0.85,8.86,2015-01-01,广东,4.18,-21.28,3.44,23.5,5.9,17.48,0.55
78,91旺财, -1,B,60.96,82.5,89,0.2,7.27,2014-03-01,北京,7.24,13.64,11.1,24.02,2.38,8.53,23.36
79,新联在线, -1,B,60.63,45.5,84,0.63,11.18,2013-07-01,广东,2.6,67.77,3.7,23.5,1.5,9.45,0.39
80,信用宝, 0,B,60.06,0.0,0,0.04,12.01,2013-05-01,北京,3.49,-57.08,2.32,24.02,1.48,21.83,4.47
