序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,94.69,14.32,100.38,6.15,100.0,2.09,25.76,0.49,2.12,28.43
2,开鑫贷,A+,89.77,7.99,-11.98,6.94,0.96,1.64,2.84,3.85,7.21,40.1
3,宜人贷,A+,89.43,9.82,51.59,11.71,5.51,5.2,23.32,2.57,2.44,84.12
4,人人贷,A+,88.41,22.07,-18.62,8.69,3.11,2.83,23.32,5.41,4.98,125.74
5,拍拍贷,A+,87.65,15.97,42.86,15.1,3.2,1.71,25.76,1.32,3.28,332.68
6,宜贷网,A+,86.68,8.9,1.82,10.58,11.82,0.3,2.38,1.42,6.73,7.05
7,微贷网,A+,86.5,13.46,18.32,9.42,13.29,0.46,14.03,1.23,2.63,15.97
8,投哪网,A+,85.41,5.21,30.02,10.32,3.93,1.35,26.69,2.0,2.57,43.71
9,点融网,A+,85.16,12.55,41.45,9.86,10.0,2.92,25.76,0.03,1.17,18.3
10,小赢理财,A+,85.13,8.4,-13.56,6.6,8.55,0.65,26.69,2.8,6.88,58.93
11,东方汇,A+,85.02,6.6,10.51,4.98,7.13,0.24,25.76,2.02,9.18,7.57
12,有利网,A,84.3,7.43,33.69,9.98,3.34,3.0,23.32,1.06,0.98,205.43
13,金开贷,A,83.49,9.93,-17.83,8.34,0.4,0.98,0.17,5.63,17.53,69.54
14,银客理财,A,83.34,6.71,-85.96,8.68,1.1,0.74,23.32,3.87,7.33,88.08
15,凤凰金融,A,83.23,10.69,35.35,7.44,15.77,0.66,23.32,1.71,4.04,412.71
16,翼龙贷网,A,82.92,14.06,33.95,8.63,6.06,2.15,23.32,1.22,2.83,138.17
17,积木盒子,A,82.87,5.71,6.99,8.04,3.85,0.99,23.32,0.25,0.43,58.66
18,麻袋理财,A,81.8,9.97,34.69,9.28,7.54,3.5,25.76,0.53,0.98,203.43
19,短融网,A,81.49,8.77,23.66,9.89,1.28,0.43,23.32,10.53,4.32,3.43
20,德众金融,A,80.94,12.34,4.83,8.04,0.97,0.96,0.53,3.3,8.29,64.97
21,海融易,A,80.74,6.25,42.37,7.2,2.82,0.6,2.4,2.31,22.36,132.17
22,爱钱进,A,80.63,15.29,81.69,11.99,5.67,5.02,23.32,2.15,2.0,34.19
23,小牛在线,A,80.47,10.31,27.8,10.83,15.68,0.42,26.69,2.63,4.65,12.5
24,北京众信金融,A,80.31,11.31,2.69,9.43,3.14,0.92,23.32,6.52,22.88,227.87
25,PPmoney,B+,79.41,3.22,35.55,9.46,11.3,1.04,26.69,2.21,3.88,117.1
26,红岭创投,B+,79.39,36.53,101.89,9.11,3.51,0.36,26.69,2.7,7.3,163.94
27,链家理财,B+,79.29,3.2,-68.0,7.67,5.28,0.33,23.32,1.51,5.65,4.32
28,你我贷,B+,79.17,10.11,19.82,11.84,4.4,4.09,25.76,0.5,0.56,56.14
29,金宝保,B+,77.27,6.73,-88.39,5.9,1.32,0.97,0.7,2.0,1.02,14.26
30,团贷网,B+,76.29,6.97,22.6,10.97,10.81,0.97,26.69,1.22,2.31,41.59
31,银湖网,B+,75.94,5.18,17.79,11.5,0.76,1.75,23.32,4.81,7.75,3.77
32,理财范,B+,75.41,13.07,14.4,9.65,2.13,0.94,23.32,10.08,16.61,157.24
33,鑫合汇,B+,74.87,8.66,4.81,8.8,18.79,0.1,14.03,26.94,79.72,45.58
34,理想宝,B+,74.62,6.16,-7.47,9.41,1.69,0.41,26.69,6.52,14.06,3.02
35,玖融网,B+,74.4,8.67,37.33,12.61,0.62,1.24,1.06,1.86,3.41,6.07
36,腾邦创投,B+,73.22,8.57,-103.71,13.94,0.95,0.02,26.69,2.18,11.5,15.7
37,道口贷,B+,72.33,6.39,31.94,9.18,1.4,0.72,23.32,4.36,9.82,29.7
38,民贷天下,B+,71.86,13.97,5.77,6.92,11.51,0.29,26.69,3.15,8.22,5.52
39,铜掌柜,B+,71.37,5.22,-2.01,9.02,4.12,0.36,14.03,10.63,17.71,34.78
40,91旺财,B+,70.95,12.13,30.42,7.83,2.99,0.22,23.32,5.36,9.46,1.1
41,人人聚财,B+,70.3,6.18,-33.38,12.62,1.43,1.54,26.69,11.7,2.7,34.26
42,诺诺镑客,B+,70.27,17.31,50.68,11.46,1.27,3.0,25.76,0.81,1.02,24.34
43,万盈金融,B+,70.23,27.54,46.35,13.24,0.95,1.37,26.69,2.74,5.19,5.78
44,恒大金服,B+,70.19,89.93,51.59,7.32,0.44,2.63,26.69,7.07,10.99,0.02
45,生菜金融,B+,70.12,8.56,-14.85,8.42,1.09,0.99,25.76,1.29,5.29,15.85
46,付融宝,B+,70.02,5.87,24.63,10.1,1.02,0.84,2.84,26.68,8.0,71.65
47,和信贷,B,68.75,7.88,31.93,13.46,1.45,1.09,23.32,4.83,8.37,8.16
48,壹佰金融,B,67.98,13.11,18.91,12.17,2.14,0.47,26.69,4.16,8.2,4.63
49,银豆网,B,67.33,7.29,55.69,12.7,0.79,1.76,23.32,6.26,15.51,128.08
50,广州e贷,B,67.06,5.82,35.15,10.24,0.65,0.74,26.69,8.86,19.39,1.57
51,合拍在线,B,65.97,6.41,-5.5,10.27,1.06,0.34,26.69,10.33,20.37,2.04
52,钜宝盆,B,65.7,34.56,35.85,8.87,5.37,3.74,25.76,1.3,4.82,19.81
53,鹏金所,B,65.51,3.82,-262.8,7.11,0.71,0.56,26.69,47.64,95.38,0.16
