序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,陆金服, 0,A+,96.39,80.5,79.7,0.51,8.5,2012-06-01,上海,10.98,18.78,100.0,24.7,0.66,2.96,35.07
2,人人贷, 0,A+,94.37,92.0,85.0,1.83,12.15,2010-10-01,北京,5.76,9.29,13.42,34.4,0.83,1.9,50.79
3,宜人贷, 2,A+,92.63,92.0,85.0,1.53,7.5,2012-07-01,北京,5.76,-26.88,17.41,34.4,0.52,1.44,175.69
4,玖富普惠, 0,A+,91.41,89.5,82.5,0.99,8.5,2013-03-01,北京,5.44,-10.23,83.87,34.4,0.38,1.52,0.01
5,拍拍贷, -2,A+,89.12,80.0,78.6,0.59,12.36,2007-06-01,上海,4.14,4.6,20.23,24.7,0.25,0.96,82.5
6,微贷网, 2,A+,88.8,88.0,81.0,0.29,6.63,2011-08-01,浙江,5.32,0.41,35.9,14.59,1.04,3.75,76.43
7,51人品, -1,A+,87.02,82.5,82.1,0.31,9.8,2015-01-01,浙江,3.63,2.33,62.76,14.59,0.56,1.97,29.6
8,小赢网金, -1,A+,86.31,80.0,78.6,0.71,7.83,2014-08-01,广东,4.84,-9.31,47.34,19.76,0.28,1.49,28.38
9,翼龙贷, 1,A+,85.37,81.0,80.8,0.55,8.65,2014-04-01,北京,3.21,-31.34,11.06,34.4,0.43,1.85,35.59
10,麻袋财富, 1,A,84.75,79.0,78.4,1.5,9.81,2014-12-01,上海,6.25,-8.41,13.44,24.7,0.35,1.3,28.81
11,爱钱进, -2,A,84.52,83.0,82.2,0.44,9.35,2014-05-01,北京,7.75,48.88,19.24,34.4,0.76,1.17,30.84
12,你我贷, 0,A,83.37,78.0,75.7,0.97,11.23,2011-06-01,上海,76.13,4.26,24.69,24.7,0.24,1.15,58.39
13,桔子理财, 1,A,83.01,83.0,79.2,0.36,8.6,2014-06-01,广东,6.25,20.13,14.82,21.32,0.25,0.74,57.5
14,凤凰金融, -1,A,82.97,86.5,81.9,0.84,8.24,2014-12-01,北京,12.4,17.04,16.87,34.4,0.28,1.05,52.07
15,有利网, 0,A,82.6,91.0,83.8,0.51,9.64,2013-02-01,北京,5.78,-104.42,11.54,34.4,0.36,0.8,85.32
16,积木盒子, 0,A,82.6,95.5,84.7,1.05,8.68,2013-08-01,北京,93.14,-36.02,8.59,34.4,0.34,1.2,0.01
17,铜板街, 1,A,82.15,81.0,72.8,0.23,8.05,2012-09-01,浙江,6.25,0.32,19.95,14.55,0.9,1.45,137.29
18,挖财财米, 1,A,81.87,85.5,74.7,0.43,7.8,2015-10-01,浙江,6.25,-30.76,22.01,14.55,0.31,0.81,97.68
19,点融网, -2,A,81.27,87.0,79.0,0.51,10.2,2014-11-01,上海,6.66,-58.21,5.85,24.7,0.36,0.58,0.79
20,PPmoney网贷, 1,A,80.72,87.5,81.6,0.85,9.49,2012-12-01,广东,5.87,-17.45,19.93,19.76,0.31,1.09,41.02
