序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,陆金服, 0,A+,96.42,77.5,76.92,2.21,8.46,2012-06-01,上海,1.21,20.63,100.0,24.92,0.77,1.88,86.26
2,人人贷, 1,A+,94.3,89.0,82.83,1.83,9.52,2010-10-01,北京,5.72,17.85,14.97,33.3,3.58,2.75,53.93
3,拍拍贷, -1,A+,92.46,77.5,72.92,0.59,12.36,2007-06-01,上海,4.5,4.54,18.6,24.92,0.64,1.08,97.11
4,玖富普惠, 1,A+,91.07,83.0,79.83,2.96,5.5,2013-03-01,北京,7.34,-9.56,95.41,33.3,0.51,2.57,5.99
5,宜人贷, -1,A+,88.46,89.0,83.83,1.53,7.5,2012-07-01,北京,5.21,-23.26,19.06,33.3,2.71,2.47,18.46
6,51人品, 0,A+,87.76,83.0,79.83,1.4,9.8,2015-01-01,浙江,3.63,4.65,9.76,15.84,1.22,0.96,29.6
7,小赢网金, 1,A+,86.65,78.0,70.0,0.83,7.85,2014-08-01,广东,5.48,-6.39,41.04,20.02,0.33,0.53,35.16
8,微贷网, -1,A+,85.7,80.0,76.33,0.35,6.89,2011-08-01,浙江,4.96,4.59,37.57,14.06,1.9,2.84,84.36
9,爱钱进, 1,A+,85.42,81.5,79.58,1.89,10.29,2014-05-01,北京,8.56,-16.98,73.3,33.3,2.06,5.49,31.57
10,翼龙贷, -1,A,84.77,79.0,74.17,0.7,9.17,2014-04-01,北京,3.53,48.88,11.81,33.3,0.97,1.8,38.2
11,麻袋财富, 0,A,84.35,73.0,70.67,1.43,10.35,2014-12-01,上海,6.25,-29.69,12.94,24.92,1.96,2.02,7.56
12,你我贷, 0,A,84.26,68.0,69.83,0.96,10.28,2011-06-01,上海,6.88,-3.35,24.59,24.92,0.78,1.22,56.66
13,凤凰金融, 1,A,83.8,80.0,79.33,1.32,8.4,2014-12-01,北京,15.95,25.06,19.3,33.3,0.71,1.11,55.07
14,桔子理财, 1,A,82.94,74.0,75.6,0.36,8.6,2014-06-01,广东,8.14,10.15,15.5,21.32,0.49,0.74,46.86
15,有利网, -2,A,82.4,87.0,80.5,1.14,9.5,2013-02-01,北京,7.27,-85.75,14.39,33.3,0.88,0.99,94.64
16,积木盒子, 0,A,82.36,90.0,81.0,1.05,9.85,2013-08-01,北京,1.05,-48.79,9.28,33.3,1.76,2.33,1.58
17,点融网, 0,A,82.24,79.0,68.17,1.74,9.63,2014-11-01,上海,6.63,-130.6,4.65,24.92,0.28,0.45,5.75
18,铜板街, 1,A,82.16,82.0,77.4,0.23,8.05,2012-09-01,浙江,6.22,-1.09,15.58,14.55,0.4,1.91,481.18
19,挖财财米, -1,A,81.97,84.0,79.5,0.43,7.98,2015-10-01,浙江,2.58,-58.78,21.55,14.55,0.17,0.93,289.29
20,友金所, 3,A,81.5,80.0,67.33,2.25,9.0,2014-10-01,广东,9.71,-150.41,2.57,20.02,0.93,0.52,20.85
21,PPmoney网贷, -1,A,80.2,84.0,79.5,0.93,8.79,2012-12-01,广东,5.32,-25.8,20.5,20.02,0.27,0.35,43.74
22,投哪网, -1,B+,79.64,82.0,72.67,1.09,9.12,2012-07-01,广东,1.45,-136.67,3.06,20.02,1.0,0.96,18.0
23,和信贷, -1,B+,79.48,77.0,81.83,0.08,8.38,2013-08-01,北京,3.11,5.41,9.54,33.3,0.84,2.01,1.94
24,网信普惠, 1,B+,79.3,89.0,79.5,0.18,11.0,2013-07-01,北京,7.25,19.24,6.46,33.3,2.11,2.93,83.74
25,团贷网, -1,B+,78.67,83.0,76.83,1.42,10.57,2012-07-01,广东,18.89,-54.31,8.1,20.02,2.4,2.17,44.09
26,首E家, 1,B+,78.4,78.5,75.2,0.33,7.15,2015-07-01,北京,3.11,9.91,5.55,33.3,0.29,0.78,2.65
27,信而富, -1,B+,78.12,84.5,81.08,0.76,9.0,2014-07-01,上海,6.35,-47.0,5.8,23.04,0.83,1.62,42.61
28,洋钱罐, 5,B+,77.85,84.5,81.08,0.41,11.95,2015-09-01,北京,1.9,-10.01,24.9,33.3,0.23,0.44,5.29
29,向上金服, 5,B+,77.24,85.0,76.17,0.2,9.31,2013-08-01,北京,7.25,-38.33,7.99,33.3,1.12,1.05,0.25
30,搜易贷, -1,B+,76.3,79.0,78.17,0.79,8.6,2014-09-01,北京,2.53,-61.11,2.74,33.3,1.05,1.52,0.87
31,红岭创投, -3,B+,75.29,80.0,80.5,0.08,9.43,2009-03-01,广东,5.35,-9.27,44.59,20.02,1.61,4.41,72.7
32,91旺财, -1,B+,74.66,76.0,76.5,0.16,7.15,2014-03-01,北京,4.65,-29.31,7.94,33.3,3.09,7.63,189.35
33,捞财宝, 2,B+,73.0,71.5,72.0,0.77,9.85,2015-07-01,上海,6.0,-28.46,11.43,24.92,1.16,3.62,541.84
34,e融所, 2,B+,72.54,73.0,70.17,2.32,10.43,2015-11-01,广东,0.99,-36.9,1.02,20.02,0.87,1.35,0.47
35,海融易, 2,B+,71.83,78.0,74.5,0.04,12.0,2014-12-01,山东,8.33,-22.57,3.76,29.42,26.51,31.62,0.86
36,博金贷, 4,B+,71.44,78.0,75.8,0.4,9.07,2014-09-01,江西,7.14,-9.04,4.97,0.56,1.34,3.22,9.69
37,钜宝盆, -5,B+,70.67,62.5,71.42,2.35,9.0,2015-05-01,上海,6.84,-111.95,7.61,24.92,1.33,10.0,10.55
38,笑脸金融, 1,B,69.51,74.5,71.6,0.24,7.0,2015-07-01,广东,5.38,-13.27,10.06,20.02,0.2,0.45,11.87
39,首金网, 5,B,68.56,82.0,71.67,0.5,8.61,2015-12-01,北京,8.2,-72.56,3.38,33.3,0.45,0.71,2.85
40,网利宝, 2,B,67.65,82.0,79.67,0.34,8.98,2014-08-01,北京,4.57,-40.86,5.36,33.3,6.91,9.29,19.33
41,民贷天下, -3,B,67.1,80.0,67.83,1.27,10.08,2014-12-01,广东,4.74,-43.55,4.4,20.02,0.32,0.34,3.25
42,嘉石榴, -1,B,66.49,75.0,73.8,0.51,8.45,2015-06-01,浙江,3.95,-51.34,1.31,14.06,1.27,3.03,5.54
43,钱香, 0,B,65.86,83.0,74.83,0.34,9.43,2015-05-01,上海,6.25,-5.88,1.67,24.92,4.86,9.66,32.9
44,鹏金所, 2,B,64.95,75.0,73.8,0.47,7.08,2015-01-01,广东,1.45,-29.27,1.29,20.02,1.11,2.8,2.3
45,麦子金服财富, 0,B,64.31,78.0,74.5,0.47,7.08,2009-06-01,上海,1.45,-29.27,1.29,20.02,1.11,2.8,2.3
46,拓道金服, 0,B,63.6,77.0,72.0,0.23,8.82,2013-12-01,浙江,4.21,-9.41,4.93,14.06,1.37,3.38,9.39
47,生菜金融, 1,B,63.45,75.5,67.58,1.45,10.85,2014-09-01,上海,6.54,-156.23,0.41,24.92,2.09,2.66,2.54
48,e路同心, -1,B,63.14,70.0,68.67,0.99,8.19,2014-08-01,广东,1.3,-98.91,0.63,20.02,0.49,0.64,0.88
49,奇乐融, 1,B,62.95,79.0,69.17,0.36,6.88,2015-10-01,安徽,14.35,-13.74,1.23,0.67,2.18,5.83,6.32
50,达人贷, 0,B,61.87,74.5,71.6,0.92,13.28,2014-12-01,广东,8.87,-2.22,0.91,20.02,0.66,0.71,7.03
