序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
1,宜人贷, 0,A+,92.5,67.5,89,3.4,11.62,2012-07-01,北京,10.19,21.55,28.07,23.87,2.08,2.47,156.15
2,拍拍贷, 0,A+,90.36,52.5,73,0.91,14.59,2007-06-01,上海,9.53,0.6,26.19,27.05,0.91,2.84,136.72
3,陆金服, 0,A+,89.51,82.5,77,3.53,8.14,2012-06-01,上海,10.51,28.83,82.49,27.05,0.99,2.68,115.42
4,人人贷, 0,A+,88.89,81.25,83,2.87,9.54,2010-10-01,北京,5.12,29.79,7.37,23.87,2.74,2.18,40.44
5,宜贷网, 0,A+,88.09,85.0,78,0.21,10.74,2014-01-01,上海,10.02,2.69,52.98,2.97,1.63,8.04,149.02
6,微贷网, 1,A+,87.21,80.0,77,0.49,7.7,2011-08-01,浙江,5.7,4.17,47.81,18.3,0.52,1.57,179.23
7,开鑫金服, -1,A+,86.46,65.0,94,1.63,6.93,2012-12-01,江苏,30.85,-17.61,11.4,3.77,3.37,16.16,5.73
8,小赢理财, 1,A+,85.89,46.0,72,1.13,7.62,2014-08-01,广东,2.24,-51.83,24.07,23.29,0.46,0.71,118.21
9,投哪网, -1,A+,85.64,61.25,78,0.74,8.22,2012-07-01,广东,6.68,0.97,9.53,23.29,2.18,2.7,46.81
10,凤凰金融, 1,A+,85.35,42.0,90,1.23,6.62,2014-12-01,北京,5.31,-28.14,21.25,23.87,3.16,10.71,351.4
11,点融网, -1,A,84.98,81.25,73,1.27,12.61,2014-11-01,上海,8.83,-3.07,24.46,27.05,0.33,0.73,0.83
12,团贷网, 1,A,84.36,67.5,72,0.73,9.61,2012-07-01,广东,2.81,17.04,44.92,23.29,1.86,4.0,29.48
13,有利网, -1,A,84.07,76.25,83,1.01,9.55,2013-02-01,北京,6.25,52.59,15.73,23.87,0.61,0.91,62.0
14,翼龙贷, 0,A,83.69,78.75,83,1.16,8.86,2011-04-01,北京,4.37,-57.1,11.35,23.87,0.98,2.06,66.48
15,麻袋理财, 0,A,83.32,80.0,89,2.2,7.94,2014-12-01,上海,13.49,-57.87,7.31,27.05,0.57,1.03,14.85
16,爱钱进, 2,A,82.02,65.0,83,3.46,10.29,2014-05-01,北京,12.86,80.88,45.45,23.87,1.11,1.77,19.05
17,海融易, -1,A,81.41,53.75,62,0.6,7.25,2014-12-01,山东,5.7,383.22,3.59,2.54,4.22,17.32,276.61
18,积木盒子, -1,A,81.17,80.0,89,1.27,8.83,2013-08-01,北京,18.35,0.17,14.03,23.87,0.26,0.41,48.73
19,鑫合汇, 0,A,81.06,70.0,83,0.09,7.37,2013-12-01,浙江,1.79,-8.9,100.0,18.3,2.25,10.54,16.67
20,你我贷, 0,A,80.88,87.5,84,1.37,10.55,2011-06-01,上海,9.73,2.55,13.06,27.05,0.36,0.56,52.8
21,小牛在线, 0,A,80.42,70.0,83,0.19,9.35,2013-06-01,广东,2.09,2.28,29.11,23.29,2.09,3.78,67.05
22,Ppmoney, 1,A,80.11,76.25,89,0.48,9.0,2012-12-01,广东,13.86,-1.02,14.81,23.29,0.54,0.51,37.03
23,和信贷, -1,B+,79.95,77.5,77,0.13,11.56,2013-08-01,北京,15.19,-14.49,7.01,23.87,3.68,9.98,24.25
24,民贷天下, 1,B+,79.23,76.25,78,0.73,7.25,2014-12-01,广东,1.82,5.73,11.63,23.29,0.09,1.34,10.11
25,东方汇, -1,B+,78.89,57.5,84,0.35,5.16,2014-06-01,上海,1.82,-28.79,7.64,27.05,2.3,9.06,13.14
26,财富星球, 2,B+,78.77,82.5,83,0.84,8.4,2013-10-01,北京,70.84,-298.98,1.23,23.87,1.64,7.29,10.76
27,博金贷, 2,B+,77.18,85.0,72,0.25,6.2,2014-09-01,江西,8.28,12.45,14.82,0.44,1.74,8.95,45.8
28,银湖网, -1,B+,76.65,75.0,77,3.56,12.03,2014-07-01,北京,11.03,0.18,5.04,23.87,1.56,2.58,1.87
29,道口贷, -3,B+,76.26,72.5,78,0.41,8.37,2014-12-01,北京,8.44,19.46,5.9,23.87,2.82,8.02,81.17
30,融金所, 2,B+,75.03,37.0,71,0.16,9.99,2013-05-01,广东,6.69,5.69,7.13,23.29,2.01,4.61,77.55
31,金开贷, -1,B+,74.86,84.0,89,0.92,7.69,2013-12-01,陕西,4.86,-22.33,0.7,0.17,2.82,9.3,3.24
32,人人聚财, -1,B+,74.5,44.25,68,1.08,9.8,2011-11-01,广东,3.65,23.52,4.05,23.29,8.14,2.86,27.53
33,理财范, 0,B+,74.28,70.0,72,0.86,9.39,2014-03-01,北京,5.99,24.0,3.91,23.87,1.99,4.52,58.93
34,玖融网, 0,B+,73.78,43.0,84,1.13,11.92,2013-07-01,湖北,9.81,2.47,0.95,1.26,1.39,3.05,3.54
35,短融网, 2,B+,73.64,80.0,72,1.62,9.72,2014-06-01,北京,11.21,3.33,2.4,23.87,1.31,2.02,55.74
36,众信金融, 0,B+,73.57,47.5,68,0.72,8.39,2014-06-01,北京,1.15,-73.11,2.59,23.87,7.78,18.02,103.0
37,生菜金融, -2,B+,73.29,29.0,62,0.76,9.22,2014-09-01,上海,3.5,20.88,8.62,27.05,1.16,4.61,3.0
38,友金所, 0,B+,73.18,47.5,66,3.95,9.0,2014-10-01,广东,22.61,83.49,8.9,23.29,4.09,4.79,9.72
39,首金网, 1,B+,72.96,65.0,89,1.34,9.12,2015-12-01,北京,6.54,-5.73,4.09,23.87,0.47,1.49,19.21
40,付融宝, 4,B+,72.89,70.0,78,1.01,10.32,2013-11-01,江苏,10.23,1.14,5.57,3.77,2.63,4.86,107.03
41,银豆网, -2,B+,72.59,65.0,84,1.41,12.85,2014-02-01,北京,5.15,74.83,4.72,23.87,0.89,5.07,6.26
42,链链金融, 1,B+,72.09,77.5,78,0.97,6.0,2014-11-01,北京,10.45,66.37,2.17,23.87,0.58,1.93,17.73
43,广信贷, -1,B+,71.77,65.0,77,0.96,11.94,2013-01-01,北京,6.01,9.01,2.68,23.87,1.03,3.76,19.08
44,爱钱帮, 3,B+,71.35,70.0,83,0.28,9.66,2014-03-01,北京,5.65,-88.82,3.62,23.87,0.51,3.32,157.19
45,拓道金服, 0,B+,70.74,80.0,83,0.46,9.42,2013-12-01,浙江,10.23,29.73,5.03,18.3,1.26,3.19,21.22
46,红岭创投, 3,B+,70.24,55.0,72,0.23,8.8,2009-03-01,广东,3.57,-4.81,37.03,23.29,2.42,8.97,219.13
47,铜掌柜, -1,B+,70.16,77.5,77,0.19,7.36,2014-10-01,浙江,1.27,3.27,2.92,18.3,4.98,10.0,20.4
48,联金所, 2,B,69.97,56.5,79,2.83,12.0,2013-11-01,广东,4.45,2.2,1.71,23.29,0.94,2.1,8.2
49,口袋理财, 2,B,69.36,52.5,61,0.09,8.05,2015-11-01,上海,3.2,-55.84,13.52,27.05,0.33,0.5,60.33
50,广州e贷, -2,B,69.24,77.5,94,0.84,9.09,2015-01-01,广东,3.27,-2.9,0.98,23.29,1.52,3.43,1.85
51,图腾贷, 1,B,68.67,70.0,84,0.52,12.9,2014-09-01,四川,5.18,41.06,3.55,2.97,0.81,2.82,10.38
52,米缸金融, 3,B,68.31,47.0,67,1.01,7.92,2015-02-01,上海,14.85,-7.31,2.29,27.05,3.21,6.24,5.47
53,理想宝, 1,B,68.28,74.0,78,0.45,9.97,2014-05-01,广东,1.77,17.35,2.71,23.29,5.13,8.1,5.87
54,向上金服, -1,B,68.18,67.5,72,0.29,9.69,2013-08-01,北京,0.09,101.71,28.59,23.87,6.48,25.93,3.18
55,e融所, 1,B,67.92,50.5,89,0.55,10.18,2015-11-01,广东,13.51,36.64,5.93,23.29,1.67,4.04,5.81
56,联连理财, 1,B,67.79,42.5,67,0.06,14.13,2015-12-01,上海,9.96,-16.51,4.79,27.05,0.15,0.54,22.54
57,奇乐融, 1,B,67.21,77.5,67,0.58,6.88,2015-10-01,安徽,0.3,51.26,1.02,0.53,0.5,1.73,2.54
58,鹏金所, 1,B,67.05,48.0,84,0.8,6.72,2015-01-01,广东,5.7,-0.76,12.48,23.29,1.89,8.77,6.39
