序号,平台名称,变化,等级,综合评分,信披评分,合规评分,期限,利率,上线时间,所在地区,偿兑性,资金流入率,运营,地域性,投资,借款,流动性
59,汉金所, 2,B,66.81,45.5,67,0.72,8.13,2015-03-01,湖北,5.37,-91.92,0.65,1.26,2.89,7.69,2.58
60,万盈金融, 2,B,66.77,65.0,66,1.02,11.63,2015-05-01,广东,5.26,23.02,1.99,23.29,2.45,4.99,2.37
61,腾邦创投, -1,B,66.65,42.0,80,0.0,15.0,2014-09-01,广东,0.07,-10.67,0.19,23.29,0.89,17.32,0.5
62,可溯金融, 4,B,66.47,57.5,89,0.33,9.05,2014-09-01,浙江,5.05,19.41,4.03,18.3,1.71,3.4,14.15
63,抱财网, 1,B,65.8,67.5,83,1.1,9.72,2014-03-01,北京,2.69,67.09,3.36,23.87,5.59,13.75,7.26
64,中瑞财富, -1,B,65.24,21.5,62,0.22,7.36,2014-05-01,北京,8.19,-21.49,4.81,23.87,8.87,26.72,21.25
65,果树财富, 0,B,65.11,57.5,78,0.15,11.9,2014-08-01,广东,9.25,30.41,1.26,23.29,1.59,2.43,4.79
66,e路同心, 1,B,64.95,51.5,72,1.17,11.42,2014-08-01,广东,5.17,-1.03,5.86,23.29,1.02,2.88,7.21
67,钜宝盆, 4,B,64.45,67.75,78,4.04,8.0,2015-05-01,上海,5.54,1.89,5.63,27.05,0.61,3.11,11.41
68,珠宝贷, 0,B,64.24,62.5,89,0.33,9.84,2014-09-01,广东,3.11,-2.12,3.62,23.29,5.69,19.01,2.06
69,永利宝, 0,B,64.14,67.5,56,1.3,9.49,2013-11-01,上海,2.84,-50.74,0.67,27.05,0.43,0.85,6.25
70,合拍在线, 0,B,64.09,75.0,78,0.08,10.76,2012-06-01,广东,1.82,-0.41,1.42,23.29,6.45,20.21,6.17
71,立业贷, 2,B,63.87,70.0,79,1.09,12.38,2014-02-01,广东,7.87,5.87,0.6,23.29,1.83,3.06,7.66
72,看看钱包, 0,B,63.8,35.5,90,0.35,8.55,2015-06-01,湖南,6.76,13.58,0.27,0.25,13.35,40.04,3.53
73,金联储, 1,B,63.63,71.5,88,0.17,10.78,2014-09-01,北京,0.88,-65.26,1.85,23.87,1.84,4.36,7.29
74,杉易贷, 2,B,63.44,0.0,0,0.73,9.29,2014-09-01,广东,6.09,23.02,1.07,23.29,0.71,3.1,1.1
75,沪商财富, 0,B,62.87,44.0,79,0.85,13.91,2014-06-01,上海,5.05,42.6,1.23,27.05,1.99,4.49,20.48
76,91旺财, 2,B,62.4,82.5,89,0.21,7.17,2014-03-01,北京,5.74,2.85,11.1,23.87,2.27,8.15,63.88
77,民投金服, 0,B,62.29,0.0,0,0.23,6.77,2015-01-01,广东,13.75,30.91,1.28,23.29,3.66,6.38,1.18
78,新联在线, 1,B,61.73,50.5,84,0.47,11.25,2013-07-01,广东,0.27,-17.06,2.36,23.29,4.64,8.78,2.91
79,信用宝, 1,B,61.51,0.0,0,0.14,12.02,2013-05-01,北京,1.57,-127.94,1.07,23.87,1.01,15.57,12.03
80,网利宝, 0,B,60.71,0.0,0,0.51,8.2,2014-09-01,北京,4.73,18.25,9.29,23.87,4.88,12.12,37.73
