序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,89.92,11.05,0.0,5.45,4.45,0.73,7.49,0.56,12.83,3.96
2,宜人贷,A+,88.29,39.45,0.0,12.0,17.69,5.69,5.28,7.95,7.43,19.27
3,人人贷,A+,87.59,26.56,0.0,9.75,6.13,3.62,5.28,21.18,13.28,63.32
4,拍拍贷,A+,87.24,5.32,0.0,13.53,0.74,1.15,7.49,5.85,1.81,38.88
5,开鑫贷,A+,86.68,31.85,0.0,8.68,23.1,1.43,5.95,14.23,536.19,59.38
6,积木盒子,A+,86.21,30.29,0.0,8.68,21.41,0.63,5.28,3.33,9.59,30.6
7,微贷网,A+,85.92,11.65,0.0,10.97,26.29,0.61,11.8,1.56,6.41,105.27
8,有利网,A,84.99,45.14,0.0,7.81,19.51,2.25,5.28,1.7,0.85,230.24
9,投哪网,A,84.46,39.73,0.0,10.65,25.01,0.57,16.7,4.62,13.02,53.16
10,小牛在线,A,84.24,12.08,0.0,12.89,43.94,1.49,16.7,18.41,39.36,65.96
11,翼龙贷网,A,83.79,45.07,0.0,17.14,26.54,1.63,5.28,1.65,7.15,133.25
12,鑫合汇,A,83.36,15.54,0.0,9.38,100.0,0.16,11.8,145.73,1084.77,299.33
13,金宝保,A,82.27,21.22,0.0,6.64,10.52,1.0,0.86,6.81,398.17,53.95
14,红岭创投,A,81.28,31.58,0.0,9.55,94.68,0.34,16.7,9.96,104.82,348.51
15,爱投资,A,80.77,30.65,0.0,11.4,19.85,1.3,5.28,12.32,26.2,773.26
16,PPmoney,A,80.49,36.32,0.0,9.7,68.75,0.4,16.7,5.82,13.32,233.28
17,365易贷,B+,79.63,23.84,0.0,14.83,3.76,0.68,5.95,7.16,33.15,20.73
18,抱财网,B+,79.22,45.15,0.0,13.07,6.92,0.5,10.28,391.92,588.79,13.53
19,爱钱进,B+,79.03,23.13,0.0,13.16,21.16,5.06,5.28,7.65,6.3,148.23
20,合拍在线,B+,78.31,16.85,0.0,11.97,7.64,0.31,16.7,39.09,145.64,7.95
21,一起好,B+,77.97,13.69,0.0,15.9,8.77,0.8,2.21,4.75,15.9,63.67
22,宜贷网,B+,77.79,15.42,0.0,11.01,36.13,0.33,3.93,3.39,40.19,11.68
23,你我贷,B+,77.56,14.84,0.0,10.99,16.38,4.43,7.49,4.09,16.69,38.61
24,广信贷,B+,77.34,8.02,0.0,16.84,2.78,0.26,5.28,23.31,41.37,23.02
25,银客网,B+,76.86,22.06,0.01,9.72,18.28,0.72,5.28,39.93,272.09,22.33
26,团贷网,B+,76.17,22.14,0.0,12.77,14.38,0.66,16.7,1.75,4.35,36.58
27,珠宝贷,B+,75.95,15.03,0.0,9.31,14.84,0.33,16.7,128.8,615.04,1.69
28,京金联,B+,75.82,9.25,0.0,10.65,7.92,0.8,11.28,29.02,193.67,9.92
29,银湖网,B+,75.63,42.61,0.0,12.76,6.23,2.69,5.28,4.36,15.89,5.19
30,理财范,B+,75.55,12.6,0.0,10.84,7.9,1.11,5.28,75.95,149.0,122.11
31,玖融网,B+,75.37,17.3,0.0,16.21,2.45,0.64,2.21,7.23,11.96,10.99
32,短融网,B+,74.46,20.28,0.0,11.45,5.86,0.2,5.28,1678.22,792.05,6.91
33,理想宝,B+,73.21,11.92,0.0,12.51,12.5,0.46,16.7,46.58,160.22,213.05
34,和信贷,B+,72.84,8.73,0.0,14.09,6.72,0.75,5.28,14.22,41.21,8.26
35,温州贷,B+,72.68,4.3,0.0,10.05,7.17,0.13,11.8,19.59,134.72,8.04
36,信融财富,B+,72.56,34.29,0.0,16.11,6.94,0.81,16.7,6.57,19.19,25.79
37,北京众信金融,B+,72.24,19.5,0.0,9.9,24.91,0.96,5.28,80.71,906.76,53.9
38,诺诺镑客,B+,71.98,46.66,0.0,11.63,3.26,3.54,7.49,0.43,1.28,103.14
39,招商贷,B+,71.87,13.51,0.0,14.84,9.64,0.02,0.77,120.14,115.99,3.25
40,德众金融,B+,71.46,11.24,0.0,8.49,3.97,1.69,5.09,34.13,177.16,71.68
41,金开贷,B+,70.9,9.33,0.0,6.2,4.0,1.0,1.15,27.23,279.95,62.09
42,银豆网,B+,70.35,8.75,0.0,9.28,4.98,0.92,5.28,57.57,259.58,12.07
43,皮城金融,B,69.97,15.12,0.0,8.03,8.84,0.58,11.8,49.24,698.52,12.18
44,麻袋理财,B,69.84,69.47,0.0,12.06,36.15,4.79,7.28,1.91,3.3,128.57
45,金融工场,B,69.6,65.8,0.0,9.11,29.52,0.26,5.28,1539.99,3980.51,256.48
46,腾邦创投,B,69.11,39.56,0.0,13.1,12.92,0.92,16.7,18.56,203.45,9.68
47,财富中国,B,68.64,30.21,0.0,12.48,15.87,0.72,16.7,17.05,103.72,1.36
48,铜掌柜,B,68.42,77.27,0.0,10.87,41.34,0.21,11.8,154.12,302.72,107.85
49,民贷天下,B,68.06,60.98,0.0,9.39,18.15,0.62,16.7,500.59,1428.93,7.32
50,链家理财,B,68.02,47.83,0.0,6.81,69.95,0.27,8.28,7.49,97.43,311.35
51,鹏金所,B,67.96,23.71,0.0,7.56,32.81,0.47,9.28,74.63,432.42,2.85
52,91旺财,B,66.95,12.36,0.0,8.78,13.18,0.27,5.28,108.53,178.03,12.06
53,道口贷,B,66.09,46.09,0.0,8.06,9.21,0.61,5.28,17.88,187.32,46.95
54,贷贷兴隆,B,65.64,31.89,0.0,4.64,2.6,0.65,0.86,0.97,236.12,34.2
55,金联储,B,65.55,18.95,0.0,10.16,19.42,0.57,5.28,1764.03,1202.48,9.37
56,网利宝,B,65.51,40.03,0.0,11.35,17.97,0.47,5.28,563.52,867.25,21.95
57,生菜金融,B,64.71,35.36,0.0,9.34,4.41,0.83,7.49,14.2,23.31,26.84
58,口贷网,B,63.22,40.05,0.0,17.57,2.58,0.48,3.93,46.46,456.45,13.12
59,付融宝,B,63.12,78.71,0.0,12.37,5.6,0.84,5.95,78.33,202.6,159.32
60,迷你贷,B,61.57,37.45,0.0,17.38,4.13,0.16,16.7,77.68,171.06,30.03
