序号,平台名称,等级,得分,偿兑性,资金流入率,利率,运营,期限,地域性,投资,借款,流动性
1,陆金所,A+,91.52,16.35,53.4,6.67,100.0,2.92,22.06,0.59,2.36,12.01
2,宜人贷,A+,88.31,11.59,57.16,11.51,9.42,5.07,25.32,2.55,2.49,71.5
3,开鑫贷,A+,87.14,5.77,-47.81,7.17,3.08,1.75,3.88,3.95,11.49,77.3
4,拍拍贷,A+,86.72,13.81,33.33,17.52,2.75,1.61,22.06,2.37,3.4,279.82
5,点融网,A+,85.37,13.46,81.62,10.04,16.78,2.91,22.06,0.53,6.09,36.56
6,人人贷,A+,85.19,15.87,40.21,8.71,5.55,2.6,25.32,4.91,4.93,70.51
7,宜贷网,A,84.59,6.38,9.09,10.84,15.09,0.45,1.89,1.52,6.11,6.31
8,投哪网,A,83.85,6.65,19.4,10.16,6.79,1.25,26.84,1.85,2.4,37.52
9,积木盒子,A,82.88,7.65,26.13,7.89,8.77,0.83,25.32,0.32,0.59,112.54
10,微贷网,A,82.81,12.7,20.74,9.74,16.64,0.49,13.05,1.19,2.59,9.77
11,有利网,A,82.77,15.18,28.23,10.07,6.26,3.03,25.32,1.22,1.0,184.08
12,鑫合汇,A,81.48,6.32,-0.66,9.06,24.17,0.1,13.05,23.46,69.2,57.25
13,金开贷,A,80.79,10.55,7.38,8.53,0.81,1.39,0.23,5.15,17.85,70.27
14,翼龙贷网,A,80.32,14.55,47.9,8.36,8.83,2.22,25.32,1.34,2.85,143.64
15,银客理财,A,80.28,10.61,14.46,9.59,6.59,0.94,25.32,3.01,10.98,158.38
16,链家理财,A,80.22,8.02,-42.98,7.93,18.6,0.33,25.32,2.15,8.23,18.17
17,你我贷,B+,79.84,12.31,22.93,11.62,6.87,4.3,22.06,0.5,0.58,50.35
18,银湖网,B+,78.53,15.24,33.77,10.49,2.44,1.95,25.32,3.21,4.72,2.29
19,麻袋理财,B+,78.28,13.27,26.32,10.3,10.19,4.37,22.06,0.75,1.25,122.39
20,红岭创投,B+,77.76,6.22,-2.55,8.94,24.58,0.27,26.84,3.14,9.08,209.18
21,凤凰金融,B+,77.21,11.82,64.0,7.5,19.56,0.69,25.32,1.98,3.48,473.4
22,爱钱进,B+,76.9,16.45,91.6,12.26,8.88,5.76,25.32,2.05,2.14,26.2
23,搜易贷,B+,76.38,11.63,24.67,7.23,16.86,0.86,25.32,2.66,4.56,9.42
24,小牛在线,B+,75.91,14.05,20.58,11.5,20.69,0.41,26.84,2.63,4.35,38.57
25,德众金融,B+,75.74,11.71,33.35,8.26,1.68,1.32,0.61,2.87,7.27,57.67
26,北京众信金融,B+,74.92,9.48,23.21,9.77,5.41,1.18,25.32,8.36,28.46,233.45
27,东方汇,B+,74.57,9.25,1.68,5.09,11.18,0.27,22.06,2.45,10.81,7.37
28,PPmoney,B+,74.15,3.82,33.51,8.91,16.38,0.83,26.84,2.17,3.47,99.41
29,金宝保,B+,73.87,10.47,-163.19,6.48,0.89,1.1,0.86,3.13,20.84,30.95
30,爱投资,B+,73.72,9.29,7.94,12.27,6.25,1.68,25.32,3.59,5.56,94.7
31,腾邦创投,B+,73.64,17.02,-83.72,12.87,2.25,0.03,26.84,5.42,18.03,30.55
32,小赢理财,B+,73.52,15.14,20.07,6.82,27.43,0.94,26.84,1.57,5.79,74.52
33,短融网,B+,73.45,8.59,1.74,9.54,1.59,0.3,25.32,11.1,4.54,1.67
34,诺诺镑客,B+,72.37,28.01,69.28,11.6,2.51,3.07,22.06,0.86,1.09,21.26
35,道口贷,B+,72.35,9.15,1.91,8.9,1.99,0.65,25.32,4.17,10.17,22.69
36,合拍在线,B+,72.33,9.04,4.76,11.7,2.48,0.42,26.84,10.6,20.52,3.0
37,91旺财,B+,72.31,7.03,-48.54,7.78,2.11,0.22,25.32,3.32,11.91,0.35
38,民贷天下,B+,71.03,30.94,5.18,6.37,16.52,0.22,26.84,26.71,57.52,4.52
39,理财范,B+,70.75,18.09,40.91,10.87,4.75,1.05,25.32,9.69,16.05,136.96
40,团贷网,B+,70.43,7.88,25.14,11.85,15.73,0.99,26.84,1.27,2.46,34.85
41,玖融网,B+,70.19,8.02,15.91,12.83,0.7,0.89,1.46,2.24,3.15,4.18
42,理想宝,B,69.73,7.35,-32.38,10.05,2.59,0.42,26.84,7.38,12.8,2.32
43,万盈金融,B,68.86,20.03,85.3,14.35,2.0,1.55,26.84,3.54,6.56,4.35
44,人人聚财,B,67.2,14.29,-11.32,12.03,4.42,1.07,26.84,3.02,1.95,32.78
45,皮城金融,B,65.71,13.4,-6.83,8.05,3.07,0.66,13.05,3.41,20.55,8.03
46,珠宝贷,B,65.18,7.63,12.44,12.03,3.98,0.53,26.84,11.13,24.5,0.75
47,铜掌柜,B,65.14,7.15,2.71,9.43,8.51,0.23,13.05,12.34,19.02,11.47
48,银豆网,B,65.12,7.26,48.01,12.72,1.15,1.8,25.32,7.9,20.5,130.13
49,广州e贷,B,65.02,7.27,19.67,10.33,1.22,0.63,26.84,8.66,17.15,1.36
50,鹏金所,B,64.95,6.27,-13.23,7.24,5.31,0.54,26.84,9.23,21.41,0.69
51,金融工场,B,64.7,1.69,-16.53,8.39,2.64,0.63,25.32,25.27,32.36,56.25
52,付融宝,B,64.45,13.18,4.92,11.11,2.32,0.75,3.88,9.67,11.74,67.79
53,网利宝,B,63.55,11.48,-12.83,9.81,4.55,0.48,25.32,25.08,37.9,7.56
54,中瑞财富,B,63.53,4.16,-126.12,7.38,1.09,0.26,25.32,43.91,15.44,1.06
55,和信贷,B,62.24,8.42,30.3,13.07,2.5,0.91,25.32,4.91,8.37,5.37
56,钜宝盆,B,61.88,23.55,80.93,7.92,8.61,5.06,22.06,1.11,3.28,12.91
57,生菜金融,B,61.71,13.34,1.81,8.36,2.08,0.85,22.06,1.62,4.37,15.6
58,向上金服,B,61.67,1.68,83.79,9.06,6.61,0.32,25.32,11.19,10.18,4.13
59,金联储,B,61.52,11.0,4.19,9.94,5.57,0.36,25.32,18.65,35.4,3.2
60,奇乐融,B,61.47,39.14,28.74,7.8,4.46,0.57,0.61,11.18,38.69,7.21
61,抱财网,B,61.31,5.85,16.31,11.37,1.56,0.74,25.32,20.6,30.86,7.38
62,友金所,B,61.28,17.81,65.62,10.0,1.66,5.31,26.84,3.54,8.29,10.47
63,一起好,B,61.25,5.54,3.69,13.72,1.78,0.95,1.46,2.08,3.3,29.42
64,邦帮堂,B,60.95,12.36,96.34,9.45,2.84,1.5,25.32,6.47,15.87,8.45
65,融金所,B,60.12,6.04,10.14,12.91,3.48,0.68,26.84,2.1,4.31,12.33
